filter,wavemin,wavecenter,wavemax,bandwidth,backmag,zpphot,transmission_file
Zbb,0.8107,0.9037,0.9967,0.186,19.6914,4564590399.386499,iris_filter_Zbb.txt
Ybb,0.933,1.042,1.151,0.218,19.4725,4564590399.386499,iris_filter_Ybb.txt
Jbb,1.135,1.262,1.389,0.254,19.0399,4564590399.386499,iris_filter_Jbb.txt
Hbb,1.474,1.637,1.8,0.326,18.5,4564590399.386499,iris_filter_Hbb.txt
Kbb,1.975,2.1935,2.412,0.437,15.2106,4564590399.386499,iris_filter_Kbb.txt
Z,0.83,0.8775,0.925,0.095,19.7489,4564590399.386499,iris_filter_Z.txt
Y,0.97,1.02,1.07,0.1,19.4613,4564590399.386499,iris_filter_Y.txt
J,1.166,1.248,1.33,0.164,19.0452,4564590399.386499,iris_filter_J.txt
H,1.485,1.633,1.781,0.296,18.561,4564590399.386499,iris_filter_H.txt
Ks,1.99,2.145,2.3,0.31,15.5371,4564590399.386499,iris_filter_Ks.txt
K,2.0,2.2,2.4,0.4,15.1028,4564590399.386499,iris_filter_K.txt
ZN1,0.826,0.8475,0.869,0.043,19.8203,4564590399.386499,iris_filter_ZN1.txt
ZN2,0.8602,0.8826,0.905,0.0448,19.7304,4564590399.386499,iris_filter_ZN2.txt
ZN3,0.8958,0.9191,0.9424,0.0466,19.6826,4564590399.386499,iris_filter_ZN3.txt
ZN4,0.9329,0.95715,0.9814,0.0485,19.6333,4564590399.386499,iris_filter_ZN4.txt
YN1,0.9714,0.99665,1.0219,0.0505,19.5185,4564590399.386499,iris_filter_YN1.txt
YN2,1.0116,1.03785,1.0641,0.0525,19.4225,4564590399.386499,iris_filter_YN2.txt
YN3,1.0533,1.08065,1.108,0.0547,19.3211,4564590399.386499,iris_filter_YN3.txt
JN1,1.156,1.18565,1.2153,0.0592999,19.1724,4564590399.386499,iris_filter_JN1.txt
JN2,1.2031,1.23395,1.2648,0.0617,19.0575,4564590399.386499,iris_filter_JN2.txt
JN3,1.2521,1.2842,1.3163,0.0642,18.9387,4564590399.386499,iris_filter_JN3.txt
JN4,1.3031,1.3365,1.3699,0.0668,18.935,4564590399.386499,iris_filter_JN4.txt
HN1,1.474,1.51175,1.5495,0.0755,18.7464,4564590399.386499,iris_filter_HN1.txt
HN2,1.534,1.5733,1.6126,0.0785999,18.5983,4564590399.386499,iris_filter_HN2.txt
HN3,1.5965,1.6374,1.6783,0.0818,18.5298,4564590399.386499,iris_filter_HN3.txt
HN4,1.6615,1.7041,1.7467,0.0852001,18.4572,4564590399.386499,iris_filter_HN4.txt
HN5,1.7292,1.7735,1.8178,0.0886,18.2998,4564590399.386499,iris_filter_HN5.txt
KN1,1.96,2.0102,2.0604,0.1004,16.6347,4564590399.386499,iris_filter_KN1.txt
KN2,2.0398,2.09205,2.1443,0.1045,16.1176,4564590399.386499,iris_filter_KN2.txt
KN3,2.1229,2.1773,2.2317,0.1088,15.376,4564590399.386499,iris_filter_KN3.txt
KN4,2.2094,2.266,2.3226,0.1132,14.3844,4564590399.386499,iris_filter_KN4.txt
KN5,2.2993,2.35825,2.4172,0.1179,13.4797,4564590399.386499,iris_filter_KN5.txt
CaIIw,0.8473,0.85805,0.8688,0.0215,20.0592,4564590399.386499,iris_filter_CaIIw.txt
PaBetaw,1.275,1.2915,1.308,0.033,18.934,4564590399.386499,iris_filter_PaBetaw.txt
FeIIw,1.637,1.658,1.679,0.0420001,18.5071,4564590399.386499,iris_filter_FeIIw.txt
Br_Gammaw,2.155,2.1825,2.21,0.055000099999999996,15.3558,4564590399.386499,iris_filter_Br_Gammaw.txt
COw,2.2877,2.31685,2.346,0.0583,13.7953,4564590399.386499,iris_filter_COw.txt
HeI,1.0776,1.09125,1.1049,0.0273,19.9322,4564590399.386499,iris_filter_HeI.txt
Jcont,1.2072,1.21325,1.2193,0.0121,19.0973,4564590399.386499,iris_filter_Jcont.txt
PaBeta,1.275,1.2815,1.288,0.013,18.9097,4564590399.386499,iris_filter_PaBeta.txt
Hcont,1.5725,1.5804,1.5883,0.0158,18.5741,4564590399.386499,iris_filter_Hcont.txt
FeII,1.637,1.6455,1.654,0.0170001,18.5144,4564590399.386499,iris_filter_FeII.txt
H2one,2.11,2.121,2.132,0.0220001,15.932,4564590399.386499,iris_filter_H2one.txt
Kcont,2.133,2.1435,2.154,0.0210001,15.7989,4564590399.386499,iris_filter_Kcont.txt
Br_Gamma,2.155,2.166,2.177,0.0220001,15.5561,4564590399.386499,iris_filter_Br_Gamma.txt
H2two,2.251,2.262,2.273,0.0220001,14.5253,4564590399.386499,iris_filter_H2two.txt
CO,2.276,2.289,2.302,0.026,14.1868,4564590399.386499,iris_filter_CO.txt
KN45,2.275,2.33,2.385,0.10999999999999988,24.342468785309812,367796637.6700748,iris_filter_KN45.txt
YJ,0.925,1.1325,1.34,0.41500000000000004,24.928937988639444,9190159897.890907,iris_filter_YJ.txt
HK,1.572,1.992,2.412,0.8399999999999999,21.527614429016097,4564590399.386499,iris_filter_HK.txt
