#wavelength,transmission
2.047250000000000014e+00,0.000000000000000000e+00
2.047369400000000006e+00,0.000000000000000000e+00
2.047488799999999998e+00,0.000000000000000000e+00
2.047608100000000153e+00,0.000000000000000000e+00
2.047727500000000145e+00,0.000000000000000000e+00
2.047846799999999856e+00,0.000000000000000000e+00
2.047966199999999848e+00,0.000000000000000000e+00
2.048085599999999840e+00,0.000000000000000000e+00
2.048204899999999995e+00,0.000000000000000000e+00
2.048324299999999987e+00,0.000000000000000000e+00
2.048443600000000142e+00,0.000000000000000000e+00
2.048563000000000134e+00,0.000000000000000000e+00
2.048682299999999845e+00,0.000000000000000000e+00
2.048801699999999837e+00,0.000000000000000000e+00
2.048921099999999829e+00,0.000000000000000000e+00
2.049040399999999984e+00,0.000000000000000000e+00
2.049159799999999976e+00,0.000000000000000000e+00
2.049279100000000131e+00,0.000000000000000000e+00
2.049398500000000123e+00,0.000000000000000000e+00
2.049517900000000115e+00,0.000000000000000000e+00
2.049637199999999826e+00,0.000000000000000000e+00
2.049756599999999818e+00,0.000000000000000000e+00
2.049875899999999973e+00,0.000000000000000000e+00
2.049995299999999965e+00,0.000000000000000000e+00
2.050114699999999957e+00,0.000000000000000000e+00
2.050234000000000112e+00,0.000000000000000000e+00
2.050353400000000104e+00,0.000000000000000000e+00
2.050472699999999815e+00,0.000000000000000000e+00
2.050592099999999807e+00,0.000000000000000000e+00
2.050711499999999798e+00,0.000000000000000000e+00
2.050830799999999954e+00,0.000000000000000000e+00
2.050950199999999946e+00,0.000000000000000000e+00
2.051069500000000101e+00,0.000000000000000000e+00
2.051188900000000093e+00,0.000000000000000000e+00
2.051308300000000084e+00,0.000000000000000000e+00
2.051427599999999796e+00,0.000000000000000000e+00
2.051546999999999787e+00,0.000000000000000000e+00
2.051666299999999943e+00,0.000000000000000000e+00
2.051785699999999935e+00,0.000000000000000000e+00
2.051905099999999926e+00,0.000000000000000000e+00
2.052024400000000082e+00,0.000000000000000000e+00
2.052143800000000073e+00,0.000000000000000000e+00
2.052263099999999785e+00,0.000000000000000000e+00
2.052382500000000221e+00,0.000000000000000000e+00
2.052501900000000212e+00,0.000000000000000000e+00
2.052621199999999924e+00,0.000000000000000000e+00
2.052740599999999915e+00,0.000000000000000000e+00
