#wavelength,transmission
2.047250000000000014e+00,0.000000000000000000e+00
2.047386700000000115e+00,0.000000000000000000e+00
2.047523400000000215e+00,0.000000000000000000e+00
2.047660099999999872e+00,0.000000000000000000e+00
2.047796799999999973e+00,0.000000000000000000e+00
2.047933500000000073e+00,0.000000000000000000e+00
2.048070200000000174e+00,0.000000000000000000e+00
2.048206899999999830e+00,0.000000000000000000e+00
2.048343599999999931e+00,0.000000000000000000e+00
2.048480300000000032e+00,0.000000000000000000e+00
2.048617000000000132e+00,0.000000000000000000e+00
2.048753699999999789e+00,0.000000000000000000e+00
2.048890399999999890e+00,0.000000000000000000e+00
2.049027000000000154e+00,0.000000000000000000e+00
2.049163699999999810e+00,0.000000000000000000e+00
2.049300399999999911e+00,0.000000000000000000e+00
2.049437100000000012e+00,0.000000000000000000e+00
2.049573800000000112e+00,0.000000000000000000e+00
2.049710500000000213e+00,0.000000000000000000e+00
2.049847199999999869e+00,0.000000000000000000e+00
2.049983899999999970e+00,0.000000000000000000e+00
2.050120600000000071e+00,0.000000000000000000e+00
2.050257300000000171e+00,0.000000000000000000e+00
2.050393999999999828e+00,0.000000000000000000e+00
2.050530699999999928e+00,0.000000000000000000e+00
2.050667400000000029e+00,0.000000000000000000e+00
2.050804100000000130e+00,0.000000000000000000e+00
2.050940799999999786e+00,0.000000000000000000e+00
2.051077400000000051e+00,0.000000000000000000e+00
2.051214100000000151e+00,0.000000000000000000e+00
2.051350799999999808e+00,0.000000000000000000e+00
2.051487499999999908e+00,0.000000000000000000e+00
2.051624200000000009e+00,0.000000000000000000e+00
2.051760900000000110e+00,0.000000000000000000e+00
2.051897600000000210e+00,0.000000000000000000e+00
2.052034299999999867e+00,0.000000000000000000e+00
2.052170999999999967e+00,0.000000000000000000e+00
2.052307700000000068e+00,0.000000000000000000e+00
2.052444400000000169e+00,0.000000000000000000e+00
2.052581099999999825e+00,0.000000000000000000e+00
2.052717799999999926e+00,0.000000000000000000e+00
2.052854500000000026e+00,0.000000000000000000e+00
2.052991200000000127e+00,0.000000000000000000e+00
2.053127799999999947e+00,0.000000000000000000e+00
2.053264500000000048e+00,0.000000000000000000e+00
2.053401200000000149e+00,0.000000000000000000e+00
2.053537899999999805e+00,0.000000000000000000e+00
2.053674599999999906e+00,0.000000000000000000e+00
2.053811300000000006e+00,0.000000000000000000e+00
2.053948000000000107e+00,0.000000000000000000e+00
2.054084700000000208e+00,0.000000000000000000e+00
2.054221399999999864e+00,0.000000000000000000e+00
2.054358099999999965e+00,0.000000000000000000e+00
2.054494800000000065e+00,0.000000000000000000e+00
2.054631500000000166e+00,0.000000000000000000e+00
2.054768199999999823e+00,0.000000000000000000e+00
2.054904899999999923e+00,0.000000000000000000e+00
2.055041600000000024e+00,0.000000000000000000e+00
2.055178199999999844e+00,0.000000000000000000e+00
2.055314899999999945e+00,0.000000000000000000e+00
2.055451600000000045e+00,0.000000000000000000e+00
2.055588300000000146e+00,0.000000000000000000e+00
2.055724999999999802e+00,0.000000000000000000e+00
2.055861699999999903e+00,0.000000000000000000e+00
2.055998400000000004e+00,0.000000000000000000e+00
2.056135100000000104e+00,0.000000000000000000e+00
2.056271800000000205e+00,0.000000000000000000e+00
2.056408499999999862e+00,0.000000000000000000e+00
2.056545199999999962e+00,0.000000000000000000e+00
2.056681900000000063e+00,0.000000000000000000e+00
2.056818600000000163e+00,0.000000000000000000e+00
2.056955299999999820e+00,0.000000000000000000e+00
2.057091999999999921e+00,0.000000000000000000e+00
2.057228700000000021e+00,0.000000000000000000e+00
2.057365299999999841e+00,0.000000000000000000e+00
2.057501999999999942e+00,0.000000000000000000e+00
2.057638700000000043e+00,0.000000000000000000e+00
2.057775400000000143e+00,0.000000000000000000e+00
2.057912099999999800e+00,0.000000000000000000e+00
2.058048799999999900e+00,0.000000000000000000e+00
2.058185500000000001e+00,0.000000000000000000e+00
2.058322200000000102e+00,0.000000000000000000e+00
2.058458900000000202e+00,0.000000000000000000e+00
2.058595599999999859e+00,0.000000000000000000e+00
2.058732299999999960e+00,0.000000000000000000e+00
2.058869000000000060e+00,0.000000000000000000e+00
2.059005700000000161e+00,0.000000000000000000e+00
2.059142399999999817e+00,0.000000000000000000e+00
2.059279099999999918e+00,0.000000000000000000e+00
2.059415700000000182e+00,0.000000000000000000e+00
2.059552399999999839e+00,0.000000000000000000e+00
2.059689099999999939e+00,0.000000000000000000e+00
2.059825800000000040e+00,0.000000000000000000e+00
2.059962500000000141e+00,0.000000000000000000e+00
2.060099199999999797e+00,0.000000000000000000e+00
2.060235899999999898e+00,0.000000000000000000e+00
2.060372599999999998e+00,0.000000000000000000e+00
2.060509300000000099e+00,0.000000000000000000e+00
2.060646000000000200e+00,0.000000000000000000e+00
2.060782699999999856e+00,0.000000000000000000e+00
2.060919399999999957e+00,0.000000000000000000e+00
2.061056100000000058e+00,0.000000000000000000e+00
2.061192800000000158e+00,0.000000000000000000e+00
2.061329499999999815e+00,0.000000000000000000e+00
2.061466100000000079e+00,0.000000000000000000e+00
2.061602800000000180e+00,0.000000000000000000e+00
2.061739499999999836e+00,0.000000000000000000e+00
2.061876199999999937e+00,0.000000000000000000e+00
2.062012900000000037e+00,0.000000000000000000e+00
2.062149600000000138e+00,0.000000000000000000e+00
2.062286299999999795e+00,0.000000000000000000e+00
2.062422999999999895e+00,0.000000000000000000e+00
2.062559699999999996e+00,0.000000000000000000e+00
2.062696400000000096e+00,0.000000000000000000e+00
2.062833100000000197e+00,0.000000000000000000e+00
2.062969799999999854e+00,0.000000000000000000e+00
2.063106499999999954e+00,0.000000000000000000e+00
2.063243200000000055e+00,0.000000000000000000e+00
2.063379900000000156e+00,0.000000000000000000e+00
2.063516499999999976e+00,0.000000000000000000e+00
2.063653200000000076e+00,0.000000000000000000e+00
2.063789900000000177e+00,0.000000000000000000e+00
2.063926599999999834e+00,0.000000000000000000e+00
2.064063299999999934e+00,0.000000000000000000e+00
2.064200000000000035e+00,0.000000000000000000e+00
2.064336700000000135e+00,0.000000000000000000e+00
2.064473399999999792e+00,0.000000000000000000e+00
2.064610099999999893e+00,0.000000000000000000e+00
2.064746799999999993e+00,0.000000000000000000e+00
2.064883500000000094e+00,0.000000000000000000e+00
2.065020200000000195e+00,0.000000000000000000e+00
2.065156899999999851e+00,0.000000000000000000e+00
2.065293599999999952e+00,0.000000000000000000e+00
2.065430300000000052e+00,0.000000000000000000e+00
2.065566899999999873e+00,0.000000000000000000e+00
2.065703599999999973e+00,0.000000000000000000e+00
2.065840300000000074e+00,0.000000000000000000e+00
2.065977000000000174e+00,0.000000000000000000e+00
2.066113699999999831e+00,0.000000000000000000e+00
2.066250399999999932e+00,0.000000000000000000e+00
2.066387100000000032e+00,0.000000000000000000e+00
2.066523800000000133e+00,0.000000000000000000e+00
2.066660499999999789e+00,0.000000000000000000e+00
2.066797199999999890e+00,0.000000000000000000e+00
2.066933899999999991e+00,0.000000000000000000e+00
2.067070600000000091e+00,0.000000000000000000e+00
2.067207300000000192e+00,0.000000000000000000e+00
2.067343999999999848e+00,0.000000000000000000e+00
2.067480699999999949e+00,0.000000000000000000e+00
2.067617300000000213e+00,0.000000000000000000e+00
2.067753999999999870e+00,0.000000000000000000e+00
2.067890699999999971e+00,0.000000000000000000e+00
2.068027400000000071e+00,0.000000000000000000e+00
2.068164100000000172e+00,0.000000000000000000e+00
2.068300799999999828e+00,0.000000000000000000e+00
2.068437499999999929e+00,0.000000000000000000e+00
2.068574200000000030e+00,0.000000000000000000e+00
2.068710900000000130e+00,0.000000000000000000e+00
2.068847599999999787e+00,0.000000000000000000e+00
2.068984299999999887e+00,0.000000000000000000e+00
2.069120999999999988e+00,0.000000000000000000e+00
2.069257700000000089e+00,0.000000000000000000e+00
2.069394400000000189e+00,0.000000000000000000e+00
2.069531099999999846e+00,0.000000000000000000e+00
2.069667700000000110e+00,0.000000000000000000e+00
2.069804400000000211e+00,0.000000000000000000e+00
2.069941099999999867e+00,0.000000000000000000e+00
2.070077799999999968e+00,0.000000000000000000e+00
2.070214500000000069e+00,0.000000000000000000e+00
2.070351200000000169e+00,0.000000000000000000e+00
2.070487899999999826e+00,0.000000000000000000e+00
2.070624599999999926e+00,0.000000000000000000e+00
2.070761300000000027e+00,0.000000000000000000e+00
2.070898000000000128e+00,0.000000000000000000e+00
2.071034699999999784e+00,0.000000000000000000e+00
2.071171399999999885e+00,0.000000000000000000e+00
2.071308099999999985e+00,0.000000000000000000e+00
2.071444800000000086e+00,0.000000000000000000e+00
2.071581500000000187e+00,0.000000000000000000e+00
2.071718199999999843e+00,0.000000000000000000e+00
2.071854800000000107e+00,0.000000000000000000e+00
2.071991500000000208e+00,0.000000000000000000e+00
2.072128199999999865e+00,0.000000000000000000e+00
2.072264899999999965e+00,0.000000000000000000e+00
2.072401600000000066e+00,0.000000000000000000e+00
2.072538300000000167e+00,0.000000000000000000e+00
2.072674999999999823e+00,0.000000000000000000e+00
2.072811699999999924e+00,0.000000000000000000e+00
2.072948400000000024e+00,0.000000000000000000e+00
2.073085100000000125e+00,0.000000000000000000e+00
2.073221799999999782e+00,0.000000000000000000e+00
2.073358499999999882e+00,0.000000000000000000e+00
2.073495199999999983e+00,0.000000000000000000e+00
2.073631900000000083e+00,0.000000000000000000e+00
2.073768600000000184e+00,0.000000000000000000e+00
2.073905200000000004e+00,0.000000000000000000e+00
2.074041900000000105e+00,0.000000000000000000e+00
2.074178600000000205e+00,0.000000000000000000e+00
2.074315299999999862e+00,0.000000000000000000e+00
2.074451999999999963e+00,0.000000000000000000e+00
2.074588700000000063e+00,0.000000000000000000e+00
2.074725400000000164e+00,0.000000000000000000e+00
2.074862099999999820e+00,0.000000000000000000e+00
2.074998799999999921e+00,0.000000000000000000e+00
2.075135500000000022e+00,0.000000000000000000e+00
2.075272200000000122e+00,0.000000000000000000e+00
2.075408899999999779e+00,0.000000000000000000e+00
2.075545599999999880e+00,0.000000000000000000e+00
2.075682299999999980e+00,0.000000000000000000e+00
2.075819000000000081e+00,0.000000000000000000e+00
2.075955599999999901e+00,0.000000000000000000e+00
2.076092300000000002e+00,0.000000000000000000e+00
2.076229000000000102e+00,0.000000000000000000e+00
2.076365700000000203e+00,0.000000000000000000e+00
2.076502399999999859e+00,0.000000000000000000e+00
2.076639099999999960e+00,0.000000000000000000e+00
2.076775800000000061e+00,0.000000000000000000e+00
2.076912500000000161e+00,0.000000000000000000e+00
2.077049199999999818e+00,0.000000000000000000e+00
2.077185899999999918e+00,0.000000000000000000e+00
2.077322600000000019e+00,0.000000000000000000e+00
2.077459300000000120e+00,0.000000000000000000e+00
2.077596000000000220e+00,0.000000000000000000e+00
2.077732699999999877e+00,0.000000000000000000e+00
2.077869399999999978e+00,0.000000000000000000e+00
2.078005999999999798e+00,0.000000000000000000e+00
2.078142699999999898e+00,0.000000000000000000e+00
2.078279399999999999e+00,0.000000000000000000e+00
2.078416100000000100e+00,0.000000000000000000e+00
2.078552800000000200e+00,0.000000000000000000e+00
2.078689499999999857e+00,0.000000000000000000e+00
2.078826199999999957e+00,0.000000000000000000e+00
2.078962900000000058e+00,0.000000000000000000e+00
2.079099600000000159e+00,0.000000000000000000e+00
2.079236299999999815e+00,0.000000000000000000e+00
2.079372999999999916e+00,0.000000000000000000e+00
2.079509700000000016e+00,0.000000000000000000e+00
2.079646400000000117e+00,0.000000000000000000e+00
2.079783100000000218e+00,0.000000000000000000e+00
2.079919799999999874e+00,0.000000000000000000e+00
2.080056400000000139e+00,0.000000000000000000e+00
2.080193099999999795e+00,0.000000000000000000e+00
2.080329799999999896e+00,0.000000000000000000e+00
2.080466499999999996e+00,0.000000000000000000e+00
2.080603200000000097e+00,0.000000000000000000e+00
2.080739900000000198e+00,0.000000000000000000e+00
2.080876599999999854e+00,0.000000000000000000e+00
2.081013299999999955e+00,0.000000000000000000e+00
2.081150000000000055e+00,0.000000000000000000e+00
2.081286700000000156e+00,0.000000000000000000e+00
2.081423399999999813e+00,0.000000000000000000e+00
2.081560099999999913e+00,0.000000000000000000e+00
2.081696800000000014e+00,0.000000000000000000e+00
2.081833500000000114e+00,0.000000000000000000e+00
2.081970200000000215e+00,0.000000000000000000e+00
2.082106800000000035e+00,0.000000000000000000e+00
2.082243500000000136e+00,0.000000000000000000e+00
2.082380199999999792e+00,0.000000000000000000e+00
2.082516899999999893e+00,0.000000000000000000e+00
2.082653599999999994e+00,0.000000000000000000e+00
2.082790300000000094e+00,0.000000000000000000e+00
2.082927000000000195e+00,0.000000000000000000e+00
2.083063699999999852e+00,0.000000000000000000e+00
2.083200399999999952e+00,0.000000000000000000e+00
2.083337100000000053e+00,0.000000000000000000e+00
2.083473800000000153e+00,0.000000000000000000e+00
2.083610499999999810e+00,0.000000000000000000e+00
2.083747199999999911e+00,0.000000000000000000e+00
2.083883900000000011e+00,0.000000000000000000e+00
2.084020600000000112e+00,0.000000000000000000e+00
2.084157199999999932e+00,0.000000000000000000e+00
2.084293900000000033e+00,0.000000000000000000e+00
2.084430600000000133e+00,0.000000000000000000e+00
2.084567299999999790e+00,0.000000000000000000e+00
2.084703999999999890e+00,0.000000000000000000e+00
2.084840699999999991e+00,0.000000000000000000e+00
2.084977400000000092e+00,0.000000000000000000e+00
2.085114100000000192e+00,0.000000000000000000e+00
2.085250799999999849e+00,0.000000000000000000e+00
2.085387499999999950e+00,0.000000000000000000e+00
2.085524200000000050e+00,0.000000000000000000e+00
2.085660900000000151e+00,0.000000000000000000e+00
2.085797599999999807e+00,0.000000000000000000e+00
2.085934299999999908e+00,0.000000000000000000e+00
2.086071000000000009e+00,0.000000000000000000e+00
2.086207700000000109e+00,0.000000000000000000e+00
2.086344299999999929e+00,0.000000000000000000e+00
2.086481000000000030e+00,0.000000000000000000e+00
2.086617700000000131e+00,0.000000000000000000e+00
2.086754399999999787e+00,0.000000000000000000e+00
2.086891099999999888e+00,0.000000000000000000e+00
2.087027799999999989e+00,0.000000000000000000e+00
2.087164500000000089e+00,0.000000000000000000e+00
2.087301200000000190e+00,0.000000000000000000e+00
2.087437899999999846e+00,0.000000000000000000e+00
2.087574599999999947e+00,0.000000000000000000e+00
2.087711300000000048e+00,0.000000000000000000e+00
2.087848000000000148e+00,0.000000000000000000e+00
2.087984699999999805e+00,0.000000000000000000e+00
2.088121399999999905e+00,0.000000000000000000e+00
2.088258100000000006e+00,0.000000000000000000e+00
2.088394699999999826e+00,0.000000000000000000e+00
2.088531399999999927e+00,0.000000000000000000e+00
2.088668100000000027e+00,0.000000000000000000e+00
2.088804800000000128e+00,0.000000000000000000e+00
2.088941499999999785e+00,0.000000000000000000e+00
2.089078199999999885e+00,0.000000000000000000e+00
2.089214899999999986e+00,0.000000000000000000e+00
2.089351600000000087e+00,0.000000000000000000e+00
2.089488300000000187e+00,0.000000000000000000e+00
2.089624999999999844e+00,0.000000000000000000e+00
2.089761699999999944e+00,0.000000000000000000e+00
2.089898400000000045e+00,0.000000000000000000e+00
2.090035100000000146e+00,0.000000000000000000e+00
2.090171799999999802e+00,0.000000000000000000e+00
2.090308499999999903e+00,0.000000000000000000e+00
2.090445100000000167e+00,0.000000000000000000e+00
2.090581799999999824e+00,0.000000000000000000e+00
2.090718499999999924e+00,0.000000000000000000e+00
2.090855200000000025e+00,0.000000000000000000e+00
2.090991900000000125e+00,0.000000000000000000e+00
2.091128599999999782e+00,0.000000000000000000e+00
2.091265299999999883e+00,0.000000000000000000e+00
2.091401999999999983e+00,0.000000000000000000e+00
2.091538700000000084e+00,0.000000000000000000e+00
2.091675400000000185e+00,0.000000000000000000e+00
2.091812099999999841e+00,0.000000000000000000e+00
2.091948799999999942e+00,0.000000000000000000e+00
2.092085500000000042e+00,0.000000000000000000e+00
2.092222200000000143e+00,0.000000000000000000e+00
2.092358899999999799e+00,0.000000000000000000e+00
2.092495500000000064e+00,0.000000000000000000e+00
2.092632200000000164e+00,0.000000000000000000e+00
2.092768899999999821e+00,0.000000000000000000e+00
2.092905599999999922e+00,0.000000000000000000e+00
2.093042300000000022e+00,0.000000000000000000e+00
2.093179000000000123e+00,0.000000000000000000e+00
2.093315699999999779e+00,0.000000000000000000e+00
2.093452399999999880e+00,0.000000000000000000e+00
2.093589099999999981e+00,0.000000000000000000e+00
2.093725800000000081e+00,0.000000000000000000e+00
2.093862500000000182e+00,0.000000000000000000e+00
2.093999199999999838e+00,0.000000000000000000e+00
2.094135899999999939e+00,4.133253099999999970e-17
2.094272600000000040e+00,4.133253099999999970e-17
2.094409300000000140e+00,4.133253099999999970e-17
2.094545899999999961e+00,8.266506199999999941e-17
2.094682600000000061e+00,8.266506199999999941e-17
2.094819300000000162e+00,8.266506199999999941e-17
2.094955999999999818e+00,8.266506199999999941e-17
2.095092699999999919e+00,8.266506199999999941e-17
2.095229400000000020e+00,1.239975900000000083e-16
2.095366100000000120e+00,1.653301199999999946e-16
2.095502800000000221e+00,1.653301199999999946e-16
2.095639499999999877e+00,2.066626600000000038e-16
2.095776199999999978e+00,2.479951900000000148e-16
2.095912900000000079e+00,2.479951900000000148e-16
2.096049600000000179e+00,3.306602499999999874e-16
2.096186299999999836e+00,4.133253100000000094e-16
2.096322999999999936e+00,4.546578399999999710e-16
2.096459700000000037e+00,5.373228999999999930e-16
2.096596299999999857e+00,6.199879700000000132e-16
2.096732999999999958e+00,7.439855599999999968e-16
2.096869700000000059e+00,8.266506200000000187e-16
2.097006400000000159e+00,9.919807500000000608e-16
2.097143099999999816e+00,1.157310899999999902e-15
2.097279799999999916e+00,1.363973499999999917e-15
2.097416500000000017e+00,1.570636199999999913e-15
2.097553200000000118e+00,1.859963900000000041e-15
2.097689900000000218e+00,2.149291599999999972e-15
2.097826599999999875e+00,2.562616899999999983e-15
2.097963299999999975e+00,2.975942199999999994e-15
2.098100000000000076e+00,3.471932599999999922e-15
2.098236700000000177e+00,4.050587999999999783e-15
2.098373399999999833e+00,4.711908499999999955e-15
2.098510099999999934e+00,5.497226600000000208e-15
2.098646800000000034e+00,6.406542299999999752e-15
2.098783399999999855e+00,7.439855600000000165e-15
2.098920099999999955e+00,8.679831499999999410e-15
