#wavelength,transmission
2.162199999999999900e+00,0.000000000000000000e+00
2.162327499999999958e+00,0.000000000000000000e+00
2.162455000000000016e+00,0.000000000000000000e+00
2.162582500000000074e+00,0.000000000000000000e+00
2.162710000000000132e+00,0.000000000000000000e+00
2.162837500000000190e+00,0.000000000000000000e+00
2.162965100000000085e+00,0.000000000000000000e+00
2.163092600000000143e+00,0.000000000000000000e+00
2.163220100000000201e+00,0.000000000000000000e+00
2.163347599999999815e+00,0.000000000000000000e+00
2.163475099999999873e+00,0.000000000000000000e+00
2.163602599999999931e+00,0.000000000000000000e+00
2.163730099999999990e+00,0.000000000000000000e+00
2.163857699999999884e+00,0.000000000000000000e+00
2.163985199999999942e+00,0.000000000000000000e+00
2.164112700000000000e+00,0.000000000000000000e+00
2.164240200000000058e+00,0.000000000000000000e+00
2.164367700000000116e+00,0.000000000000000000e+00
2.164495200000000175e+00,0.000000000000000000e+00
2.164622699999999789e+00,0.000000000000000000e+00
2.164750199999999847e+00,0.000000000000000000e+00
2.164877800000000185e+00,0.000000000000000000e+00
2.165005299999999799e+00,0.000000000000000000e+00
2.165132799999999857e+00,0.000000000000000000e+00
2.165260299999999916e+00,0.000000000000000000e+00
2.165387799999999974e+00,0.000000000000000000e+00
2.165515300000000032e+00,0.000000000000000000e+00
2.165642800000000090e+00,0.000000000000000000e+00
2.165770399999999984e+00,0.000000000000000000e+00
2.165897900000000043e+00,0.000000000000000000e+00
2.166025400000000101e+00,0.000000000000000000e+00
2.166152900000000159e+00,0.000000000000000000e+00
2.166280400000000217e+00,0.000000000000000000e+00
2.166407899999999831e+00,0.000000000000000000e+00
2.166535399999999889e+00,0.000000000000000000e+00
2.166662999999999784e+00,0.000000000000000000e+00
2.166790499999999842e+00,0.000000000000000000e+00
2.166917999999999900e+00,0.000000000000000000e+00
2.167045499999999958e+00,0.000000000000000000e+00
2.167173000000000016e+00,0.000000000000000000e+00
2.167300500000000074e+00,0.000000000000000000e+00
2.167428000000000132e+00,0.000000000000000000e+00
2.167555600000000027e+00,0.000000000000000000e+00
2.167683100000000085e+00,0.000000000000000000e+00
2.167810600000000143e+00,0.000000000000000000e+00
2.167938100000000201e+00,0.000000000000000000e+00
2.168065599999999815e+00,0.000000000000000000e+00
2.168193099999999873e+00,0.000000000000000000e+00
2.168320599999999931e+00,0.000000000000000000e+00
2.168448099999999990e+00,0.000000000000000000e+00
2.168575699999999884e+00,0.000000000000000000e+00
2.168703199999999942e+00,0.000000000000000000e+00
2.168830700000000000e+00,0.000000000000000000e+00
2.168958200000000058e+00,0.000000000000000000e+00
2.169085700000000116e+00,0.000000000000000000e+00
2.169213200000000175e+00,0.000000000000000000e+00
2.169340699999999789e+00,0.000000000000000000e+00
2.169468300000000127e+00,0.000000000000000000e+00
2.169595800000000185e+00,0.000000000000000000e+00
2.169723299999999799e+00,0.000000000000000000e+00
2.169850799999999857e+00,0.000000000000000000e+00
2.169978299999999916e+00,0.000000000000000000e+00
2.170105799999999974e+00,0.000000000000000000e+00
2.170233300000000032e+00,0.000000000000000000e+00
2.170360899999999926e+00,0.000000000000000000e+00
2.170488399999999984e+00,0.000000000000000000e+00
