#wavelength,transmission
2.173315000000000108e+00,0.000000000000000000e+00
2.173460099999999784e+00,0.000000000000000000e+00
2.173605199999999904e+00,0.000000000000000000e+00
2.173750200000000188e+00,0.000000000000000000e+00
2.173895299999999864e+00,0.000000000000000000e+00
2.174040399999999984e+00,0.000000000000000000e+00
2.174185399999999824e+00,0.000000000000000000e+00
2.174330499999999944e+00,0.000000000000000000e+00
2.174475600000000064e+00,0.000000000000000000e+00
2.174620599999999904e+00,0.000000000000000000e+00
2.174765700000000024e+00,0.000000000000000000e+00
2.174910800000000144e+00,0.000000000000000000e+00
2.175055799999999984e+00,0.000000000000000000e+00
2.175200900000000104e+00,0.000000000000000000e+00
2.175345999999999780e+00,0.000000000000000000e+00
2.175491000000000064e+00,0.000000000000000000e+00
2.175636100000000184e+00,0.000000000000000000e+00
2.175781199999999860e+00,0.000000000000000000e+00
2.175926200000000144e+00,0.000000000000000000e+00
2.176071299999999820e+00,0.000000000000000000e+00
2.176216300000000103e+00,0.000000000000000000e+00
2.176361399999999779e+00,0.000000000000000000e+00
2.176506499999999900e+00,0.000000000000000000e+00
2.176651500000000183e+00,0.000000000000000000e+00
2.176796599999999859e+00,0.000000000000000000e+00
2.176941699999999980e+00,0.000000000000000000e+00
2.177086699999999819e+00,0.000000000000000000e+00
2.177231799999999939e+00,0.000000000000000000e+00
2.177376900000000060e+00,0.000000000000000000e+00
2.177521899999999899e+00,0.000000000000000000e+00
2.177667000000000019e+00,0.000000000000000000e+00
2.177812100000000139e+00,0.000000000000000000e+00
2.177957099999999979e+00,0.000000000000000000e+00
2.178102200000000099e+00,0.000000000000000000e+00
2.178247300000000219e+00,0.000000000000000000e+00
2.178392300000000059e+00,0.000000000000000000e+00
2.178537400000000179e+00,0.000000000000000000e+00
2.178682499999999855e+00,0.000000000000000000e+00
2.178827500000000139e+00,0.000000000000000000e+00
2.178972599999999815e+00,0.000000000000000000e+00
2.179117600000000099e+00,0.000000000000000000e+00
2.179262700000000219e+00,0.000000000000000000e+00
2.179407799999999895e+00,0.000000000000000000e+00
2.179552800000000179e+00,0.000000000000000000e+00
2.179697899999999855e+00,0.000000000000000000e+00
2.179842999999999975e+00,0.000000000000000000e+00
2.179987999999999815e+00,0.000000000000000000e+00
2.180133099999999935e+00,0.000000000000000000e+00
2.180278200000000055e+00,0.000000000000000000e+00
2.180423199999999895e+00,0.000000000000000000e+00
2.180568300000000015e+00,0.000000000000000000e+00
2.180713400000000135e+00,0.000000000000000000e+00
2.180858399999999975e+00,0.000000000000000000e+00
2.181003500000000095e+00,0.000000000000000000e+00
2.181148600000000215e+00,0.000000000000000000e+00
2.181293600000000055e+00,0.000000000000000000e+00
2.181438700000000175e+00,0.000000000000000000e+00
2.181583799999999851e+00,0.000000000000000000e+00
2.181728800000000135e+00,0.000000000000000000e+00
2.181873899999999811e+00,0.000000000000000000e+00
2.182018900000000095e+00,0.000000000000000000e+00
2.182164000000000215e+00,0.000000000000000000e+00
