#wavelength,transmission
8.049349799999999666e-01,1.225735199999999988e-08
8.049886600000000225e-01,1.280621100000000008e-08
8.050423399999999674e-01,1.337887500000000008e-08
8.050960200000000233e-01,1.397633899999999942e-08
8.051496999999999682e-01,1.459964200000000007e-08
8.052033800000000241e-01,1.524986099999999960e-08
8.052570500000000298e-01,1.592812000000000062e-08
8.053107299999999746e-01,1.663558400000000061e-08
8.053644100000000305e-01,1.737346799999999975e-08
8.054180899999999754e-01,1.814303399999999999e-08
8.054717700000000313e-01,1.894559499999999965e-08
8.055254499999999762e-01,1.978251500000000011e-08
8.055791300000000321e-01,2.065521400000000072e-08
8.056328099999999770e-01,2.156516699999999851e-08
8.056864900000000329e-01,2.251390899999999975e-08
8.057401699999999778e-01,2.350303299999999936e-08
8.057938500000000337e-01,2.453419800000000011e-08
8.058475299999999786e-01,2.560912699999999868e-08
8.059012100000000345e-01,2.672960899999999957e-08
8.059548899999999794e-01,2.789750700000000107e-08
8.060085700000000353e-01,2.911475500000000096e-08
8.060622400000000409e-01,3.038336199999999776e-08
8.061159199999999858e-01,3.170541799999999926e-08
8.061696000000000417e-01,3.308309099999999841e-08
8.062232799999999866e-01,3.451863600000000268e-08
8.062769600000000425e-01,3.601439699999999826e-08
8.063306399999999874e-01,3.757280500000000238e-08
8.063843200000000433e-01,3.919638899999999733e-08
8.064379999999999882e-01,4.088777299999999903e-08
8.064916800000000441e-01,4.264968499999999695e-08
8.065453599999999890e-01,4.448495499999999985e-08
8.065990400000000449e-01,4.639652600000000291e-08
8.066527199999999898e-01,4.838744999999999962e-08
8.067064000000000457e-01,5.046089999999999891e-08
8.067600799999999905e-01,5.262016599999999735e-08
8.068137600000000464e-01,5.486866799999999989e-08
8.068674300000000521e-01,5.720995399999999933e-08
8.069211099999999970e-01,5.964770800000000534e-08
8.069747900000000529e-01,6.218575400000000607e-08
8.070284699999999978e-01,6.482806099999999948e-08
8.070821500000000537e-01,6.757874900000000188e-08
8.071358299999999986e-01,7.044209399999999992e-08
8.071895100000000545e-01,7.342253100000000113e-08
8.072431899999999994e-01,7.652466599999999809e-08
8.072968700000000553e-01,7.975327500000000447e-08
8.073505500000000001e-01,8.311331500000000231e-08
8.074042299999999450e-01,8.660993000000000348e-08
8.074579100000000009e-01,9.024845300000000398e-08
8.075115899999999458e-01,9.403441999999999507e-08
8.075652700000000017e-01,9.797357100000000655e-08
8.076189499999999466e-01,1.020718599999999975e-07
8.076726199999999523e-01,1.063354700000000032e-07
8.077263000000000082e-01,1.107707899999999990e-07
8.077799799999999530e-01,1.153844699999999937e-07
8.078336600000000089e-01,1.201834099999999900e-07
8.078873399999999538e-01,1.251747300000000074e-07
8.079410200000000097e-01,1.303658500000000027e-07
8.079946999999999546e-01,1.357644499999999885e-07
8.080483800000000105e-01,1.413784699999999948e-07
8.081020599999999554e-01,1.472161699999999942e-07
8.081557400000000113e-01,1.532861099999999890e-07
8.082094199999999562e-01,1.595971400000000013e-07
8.082631000000000121e-01,1.661584499999999893e-07
8.083167799999999570e-01,1.729795700000000063e-07
8.083704600000000129e-01,1.800703499999999962e-07
8.084241399999999578e-01,1.874410299999999937e-07
8.084778099999999634e-01,1.951021899999999967e-07
8.085314900000000193e-01,2.030648099999999979e-07
8.085851699999999642e-01,2.113402600000000020e-07
8.086388500000000201e-01,2.199403199999999923e-07
8.086925299999999650e-01,2.288771899999999931e-07
8.087462100000000209e-01,2.381635100000000103e-07
8.087998899999999658e-01,2.478123700000000145e-07
8.088535700000000217e-01,2.578373400000000236e-07
8.089072499999999666e-01,2.682524499999999769e-07
8.089609300000000225e-01,2.790722399999999962e-07
8.090146099999999674e-01,2.903117599999999889e-07
8.090682900000000233e-01,3.019866199999999876e-07
8.091219699999999682e-01,3.141129400000000223e-07
8.091756500000000241e-01,3.267074400000000230e-07
8.092293299999999689e-01,3.397874200000000120e-07
8.092829999999999746e-01,3.533707900000000008e-07
8.093366800000000305e-01,3.674760699999999904e-07
8.093903599999999754e-01,3.821224499999999768e-07
8.094440400000000313e-01,3.973297900000000042e-07
8.094977199999999762e-01,4.131186400000000258e-07
8.095514000000000321e-01,4.295102499999999930e-07
8.096050799999999770e-01,4.465266300000000198e-07
8.096587600000000329e-01,4.641905299999999931e-07
8.097124399999999778e-01,4.825255199999999685e-07
8.097661200000000337e-01,5.015559600000000085e-07
8.098197999999999785e-01,5.213070400000000101e-07
8.098734800000000345e-01,5.418048499999999588e-07
8.099271599999999793e-01,5.630763500000000312e-07
8.099808400000000352e-01,5.851494299999999659e-07
8.100345199999999801e-01,6.080529400000000193e-07
8.100881899999999858e-01,6.318167000000000489e-07
8.101418700000000417e-01,6.564715800000000154e-07
8.101955499999999866e-01,6.820494500000000128e-07
8.102492300000000425e-01,7.085832999999999629e-07
8.103029099999999874e-01,7.361072300000000023e-07
