#wavelength,transmission
1.555149899999999974e+00,0.000000000000000000e+00
1.555240699999999920e+00,0.000000000000000000e+00
1.555331599999999925e+00,0.000000000000000000e+00
1.555422400000000094e+00,0.000000000000000000e+00
1.555513200000000040e+00,0.000000000000000000e+00
1.555603999999999987e+00,0.000000000000000000e+00
1.555694799999999933e+00,0.000000000000000000e+00
1.555785699999999938e+00,0.000000000000000000e+00
1.555876500000000107e+00,0.000000000000000000e+00
1.555967300000000053e+00,0.000000000000000000e+00
1.556058100000000000e+00,0.000000000000000000e+00
1.556148899999999946e+00,0.000000000000000000e+00
1.556239799999999951e+00,0.000000000000000000e+00
1.556330599999999897e+00,0.000000000000000000e+00
1.556421400000000066e+00,0.000000000000000000e+00
1.556512200000000012e+00,0.000000000000000000e+00
1.556602999999999959e+00,0.000000000000000000e+00
1.556693899999999964e+00,0.000000000000000000e+00
1.556784699999999910e+00,0.000000000000000000e+00
1.556875500000000079e+00,0.000000000000000000e+00
1.556966300000000025e+00,0.000000000000000000e+00
1.557057099999999972e+00,0.000000000000000000e+00
1.557147999999999977e+00,0.000000000000000000e+00
1.557238799999999923e+00,0.000000000000000000e+00
1.557329600000000092e+00,0.000000000000000000e+00
1.557420400000000038e+00,0.000000000000000000e+00
1.557511199999999985e+00,0.000000000000000000e+00
1.557602099999999989e+00,0.000000000000000000e+00
1.557692899999999936e+00,0.000000000000000000e+00
1.557783700000000104e+00,0.000000000000000000e+00
1.557874500000000051e+00,0.000000000000000000e+00
1.557965299999999997e+00,0.000000000000000000e+00
1.558056200000000002e+00,0.000000000000000000e+00
1.558146999999999949e+00,0.000000000000000000e+00
1.558237799999999895e+00,0.000000000000000000e+00
1.558328600000000064e+00,0.000000000000000000e+00
1.558419500000000069e+00,0.000000000000000000e+00
1.558510300000000015e+00,0.000000000000000000e+00
1.558601099999999962e+00,0.000000000000000000e+00
1.558691899999999908e+00,0.000000000000000000e+00
1.558782700000000077e+00,0.000000000000000000e+00
1.558873600000000081e+00,0.000000000000000000e+00
1.558964400000000028e+00,0.000000000000000000e+00
1.559055199999999974e+00,0.000000000000000000e+00
1.559145999999999921e+00,0.000000000000000000e+00
1.559236800000000089e+00,0.000000000000000000e+00
1.559327700000000094e+00,0.000000000000000000e+00
1.559418500000000041e+00,0.000000000000000000e+00
1.559509299999999987e+00,0.000000000000000000e+00
1.559600099999999934e+00,0.000000000000000000e+00
1.559690900000000102e+00,0.000000000000000000e+00
1.559781800000000107e+00,0.000000000000000000e+00
1.559872600000000054e+00,0.000000000000000000e+00
1.559963400000000000e+00,0.000000000000000000e+00
1.560054199999999947e+00,0.000000000000000000e+00
1.560144999999999893e+00,0.000000000000000000e+00
1.560235899999999898e+00,0.000000000000000000e+00
1.560326700000000066e+00,0.000000000000000000e+00
1.560417500000000013e+00,0.000000000000000000e+00
1.560508299999999959e+00,0.000000000000000000e+00
1.560599099999999906e+00,0.000000000000000000e+00
1.560689999999999911e+00,0.000000000000000000e+00
1.560780800000000079e+00,0.000000000000000000e+00
1.560871600000000026e+00,0.000000000000000000e+00
1.560962399999999972e+00,0.000000000000000000e+00
1.561053199999999919e+00,0.000000000000000000e+00
1.561144099999999924e+00,0.000000000000000000e+00
1.561234900000000092e+00,0.000000000000000000e+00
1.561325700000000039e+00,0.000000000000000000e+00
1.561416499999999985e+00,0.000000000000000000e+00
1.561507299999999931e+00,0.000000000000000000e+00
1.561598199999999936e+00,0.000000000000000000e+00
1.561689000000000105e+00,0.000000000000000000e+00
1.561779800000000051e+00,0.000000000000000000e+00
1.561870599999999998e+00,0.000000000000000000e+00
1.561961399999999944e+00,0.000000000000000000e+00
1.562052299999999949e+00,0.000000000000000000e+00
1.562143099999999896e+00,0.000000000000000000e+00
1.562233900000000064e+00,0.000000000000000000e+00
1.562324700000000011e+00,0.000000000000000000e+00
1.562415600000000016e+00,0.000000000000000000e+00
1.562506399999999962e+00,0.000000000000000000e+00
1.562597199999999908e+00,0.000000000000000000e+00
1.562688000000000077e+00,0.000000000000000000e+00
1.562778800000000023e+00,0.000000000000000000e+00
1.562869700000000028e+00,0.000000000000000000e+00
1.562960499999999975e+00,0.000000000000000000e+00
1.563051299999999921e+00,0.000000000000000000e+00
1.563142100000000090e+00,0.000000000000000000e+00
1.563232900000000036e+00,0.000000000000000000e+00
1.563323800000000041e+00,0.000000000000000000e+00
1.563414599999999988e+00,0.000000000000000000e+00
1.563505399999999934e+00,0.000000000000000000e+00
1.563596200000000103e+00,0.000000000000000000e+00
1.563687000000000049e+00,0.000000000000000000e+00
1.563777900000000054e+00,0.000000000000000000e+00
1.563868700000000000e+00,0.000000000000000000e+00
1.563959499999999947e+00,0.000000000000000000e+00
1.564050299999999893e+00,0.000000000000000000e+00
1.564141100000000062e+00,0.000000000000000000e+00
1.564232000000000067e+00,0.000000000000000000e+00
1.564322800000000013e+00,0.000000000000000000e+00
1.564413599999999960e+00,0.000000000000000000e+00
1.564504399999999906e+00,0.000000000000000000e+00
1.564595200000000075e+00,0.000000000000000000e+00
