#wavelength,transmission
1.555149899999999974e+00,0.000000000000000000e+00
1.555253900000000078e+00,0.000000000000000000e+00
1.555357799999999902e+00,0.000000000000000000e+00
1.555461800000000006e+00,0.000000000000000000e+00
1.555565700000000051e+00,0.000000000000000000e+00
1.555669699999999933e+00,0.000000000000000000e+00
1.555773599999999979e+00,0.000000000000000000e+00
1.555877600000000083e+00,0.000000000000000000e+00
1.555981499999999906e+00,0.000000000000000000e+00
1.556085500000000010e+00,0.000000000000000000e+00
1.556189400000000056e+00,0.000000000000000000e+00
1.556293399999999938e+00,0.000000000000000000e+00
1.556397299999999984e+00,0.000000000000000000e+00
1.556501300000000088e+00,0.000000000000000000e+00
1.556605199999999911e+00,0.000000000000000000e+00
1.556709200000000015e+00,0.000000000000000000e+00
1.556813100000000061e+00,0.000000000000000000e+00
1.556917099999999943e+00,0.000000000000000000e+00
1.557020999999999988e+00,0.000000000000000000e+00
1.557125000000000092e+00,0.000000000000000000e+00
1.557228999999999974e+00,0.000000000000000000e+00
1.557332900000000020e+00,0.000000000000000000e+00
1.557436899999999902e+00,0.000000000000000000e+00
1.557540799999999948e+00,0.000000000000000000e+00
1.557644800000000052e+00,0.000000000000000000e+00
1.557748700000000097e+00,0.000000000000000000e+00
1.557852699999999979e+00,0.000000000000000000e+00
1.557956600000000025e+00,0.000000000000000000e+00
1.558060599999999907e+00,0.000000000000000000e+00
1.558164499999999952e+00,0.000000000000000000e+00
1.558268500000000056e+00,0.000000000000000000e+00
1.558372400000000102e+00,0.000000000000000000e+00
1.558476399999999984e+00,0.000000000000000000e+00
1.558580300000000030e+00,0.000000000000000000e+00
1.558684299999999912e+00,0.000000000000000000e+00
1.558788199999999957e+00,0.000000000000000000e+00
1.558892200000000061e+00,0.000000000000000000e+00
1.558996100000000107e+00,0.000000000000000000e+00
1.559100099999999989e+00,0.000000000000000000e+00
1.559204000000000034e+00,0.000000000000000000e+00
1.559307999999999916e+00,0.000000000000000000e+00
1.559411899999999962e+00,0.000000000000000000e+00
1.559515900000000066e+00,0.000000000000000000e+00
1.559619899999999948e+00,0.000000000000000000e+00
1.559723799999999994e+00,0.000000000000000000e+00
1.559827800000000098e+00,0.000000000000000000e+00
1.559931699999999921e+00,0.000000000000000000e+00
