#wavelength,transmission
1.410749999999999948e+00,0.000000000000000000e+00
1.410979800000000006e+00,0.000000000000000000e+00
1.411209600000000064e+00,0.000000000000000000e+00
1.411439300000000063e+00,0.000000000000000000e+00
1.411669099999999899e+00,0.000000000000000000e+00
1.411898899999999957e+00,0.000000000000000000e+00
1.412128599999999956e+00,0.000000000000000000e+00
1.412358400000000014e+00,0.000000000000000000e+00
1.412588200000000072e+00,0.000000000000000000e+00
1.412817900000000071e+00,0.000000000000000000e+00
1.413047699999999907e+00,0.000000000000000000e+00
1.413277399999999906e+00,0.000000000000000000e+00
1.413507199999999964e+00,0.000000000000000000e+00
1.413737000000000021e+00,0.000000000000000000e+00
1.413966700000000021e+00,0.000000000000000000e+00
1.414196500000000079e+00,0.000000000000000000e+00
1.414426299999999914e+00,0.000000000000000000e+00
1.414655999999999914e+00,0.000000000000000000e+00
1.414885799999999971e+00,0.000000000000000000e+00
1.415115600000000029e+00,0.000000000000000000e+00
1.415345300000000028e+00,0.000000000000000000e+00
1.415575100000000086e+00,0.000000000000000000e+00
1.415804899999999922e+00,0.000000000000000000e+00
1.416034599999999921e+00,0.000000000000000000e+00
1.416264399999999979e+00,0.000000000000000000e+00
1.416494200000000037e+00,0.000000000000000000e+00
1.416723900000000036e+00,0.000000000000000000e+00
1.416953700000000094e+00,0.000000000000000000e+00
1.417183400000000093e+00,0.000000000000000000e+00
1.417413199999999929e+00,0.000000000000000000e+00
1.417642999999999986e+00,0.000000000000000000e+00
1.417872699999999986e+00,0.000000000000000000e+00
1.418102500000000044e+00,0.000000000000000000e+00
1.418332300000000101e+00,0.000000000000000000e+00
1.418562000000000101e+00,0.000000000000000000e+00
1.418791799999999936e+00,0.000000000000000000e+00
1.419021599999999994e+00,0.000000000000000000e+00
1.419251299999999993e+00,0.000000000000000000e+00
1.419481100000000051e+00,0.000000000000000000e+00
1.419710900000000109e+00,0.000000000000000000e+00
1.419940600000000108e+00,0.000000000000000000e+00
1.420170399999999944e+00,0.000000000000000000e+00
1.420400200000000002e+00,0.000000000000000000e+00
1.420629900000000001e+00,0.000000000000000000e+00
1.420859700000000059e+00,0.000000000000000000e+00
1.421089499999999894e+00,0.000000000000000000e+00
1.421319199999999894e+00,0.000000000000000000e+00
1.421548999999999952e+00,0.000000000000000000e+00
1.421778699999999951e+00,0.000000000000000000e+00
1.422008500000000009e+00,0.000000000000000000e+00
1.422238300000000066e+00,0.000000000000000000e+00
1.422468000000000066e+00,0.000000000000000000e+00
1.422697799999999901e+00,0.000000000000000000e+00
1.422927599999999959e+00,0.000000000000000000e+00
1.423157299999999958e+00,0.000000000000000000e+00
1.423387100000000016e+00,0.000000000000000000e+00
1.423616900000000074e+00,0.000000000000000000e+00
1.423846600000000073e+00,0.000000000000000000e+00
1.424076399999999909e+00,0.000000000000000000e+00
1.424306199999999967e+00,0.000000000000000000e+00
1.424535899999999966e+00,0.000000000000000000e+00
1.424765700000000024e+00,0.000000000000000000e+00
1.424995500000000082e+00,0.000000000000000000e+00
1.425225200000000081e+00,0.000000000000000000e+00
1.425454999999999917e+00,0.000000000000000000e+00
1.425684799999999974e+00,0.000000000000000000e+00
1.425914499999999974e+00,0.000000000000000000e+00
1.426144300000000031e+00,4.901856800000000222e-17
1.426374000000000031e+00,4.901856800000000222e-17
1.426603800000000088e+00,9.803713499999999722e-17
1.426833599999999924e+00,9.803713499999999722e-17
1.427063299999999924e+00,9.803713499999999722e-17
1.427293099999999981e+00,1.960742699999999944e-16
1.427522900000000039e+00,1.960742699999999944e-16
1.427752600000000038e+00,2.941114100000000031e-16
1.427982400000000096e+00,3.921485399999999889e-16
1.428212199999999932e+00,4.901856799999999729e-16
1.428441899999999931e+00,6.862599500000000413e-16
1.428671699999999989e+00,8.823342200000000111e-16
1.428901500000000047e+00,1.127427099999999990e-15
1.429131200000000046e+00,1.470556999999999926e-15
1.429361000000000104e+00,1.960742699999999895e-15
1.429590799999999939e+00,2.499946900000000091e-15
1.429820499999999939e+00,3.235225499999999937e-15
1.430050299999999996e+00,4.215596799999999894e-15
1.430279999999999996e+00,5.490079600000000330e-15
1.430509800000000054e+00,7.058673700000000099e-15
