#wavelength,transmission
2.004499899999999890e+00,0.000000000000000000e+00
2.004617000000000093e+00,0.000000000000000000e+00
2.004734099999999852e+00,0.000000000000000000e+00
2.004851200000000055e+00,0.000000000000000000e+00
2.004968299999999815e+00,0.000000000000000000e+00
2.005085499999999854e+00,0.000000000000000000e+00
2.005202600000000057e+00,0.000000000000000000e+00
2.005319699999999816e+00,0.000000000000000000e+00
2.005436800000000019e+00,0.000000000000000000e+00
2.005553899999999778e+00,0.000000000000000000e+00
2.005670999999999982e+00,0.000000000000000000e+00
2.005788100000000185e+00,0.000000000000000000e+00
2.005905199999999944e+00,0.000000000000000000e+00
2.006022300000000147e+00,0.000000000000000000e+00
2.006139399999999906e+00,0.000000000000000000e+00
2.006256500000000109e+00,0.000000000000000000e+00
2.006373599999999868e+00,0.000000000000000000e+00
2.006490799999999908e+00,0.000000000000000000e+00
2.006607900000000111e+00,0.000000000000000000e+00
2.006724999999999870e+00,0.000000000000000000e+00
2.006842100000000073e+00,0.000000000000000000e+00
2.006959199999999832e+00,0.000000000000000000e+00
2.007076300000000035e+00,0.000000000000000000e+00
2.007193399999999794e+00,0.000000000000000000e+00
2.007310499999999998e+00,0.000000000000000000e+00
2.007427600000000201e+00,0.000000000000000000e+00
2.007544699999999960e+00,0.000000000000000000e+00
2.007661800000000163e+00,0.000000000000000000e+00
2.007779000000000202e+00,0.000000000000000000e+00
2.007896099999999961e+00,0.000000000000000000e+00
2.008013200000000165e+00,0.000000000000000000e+00
2.008130299999999924e+00,0.000000000000000000e+00
2.008247400000000127e+00,0.000000000000000000e+00
2.008364499999999886e+00,0.000000000000000000e+00
2.008481600000000089e+00,0.000000000000000000e+00
2.008598699999999848e+00,0.000000000000000000e+00
2.008715800000000051e+00,0.000000000000000000e+00
2.008832899999999810e+00,0.000000000000000000e+00
2.008950000000000014e+00,0.000000000000000000e+00
2.009067100000000217e+00,0.000000000000000000e+00
2.009184299999999812e+00,0.000000000000000000e+00
2.009301400000000015e+00,0.000000000000000000e+00
2.009418500000000218e+00,0.000000000000000000e+00
2.009535599999999977e+00,0.000000000000000000e+00
2.009652700000000181e+00,0.000000000000000000e+00
2.009769799999999940e+00,0.000000000000000000e+00
2.009886900000000143e+00,0.000000000000000000e+00
2.010003999999999902e+00,0.000000000000000000e+00
2.010121100000000105e+00,0.000000000000000000e+00
2.010238199999999864e+00,0.000000000000000000e+00
2.010355300000000067e+00,0.000000000000000000e+00
2.010472500000000107e+00,0.000000000000000000e+00
2.010589599999999866e+00,0.000000000000000000e+00
2.010706700000000069e+00,0.000000000000000000e+00
2.010823799999999828e+00,0.000000000000000000e+00
2.010940900000000031e+00,0.000000000000000000e+00
2.011057999999999790e+00,0.000000000000000000e+00
2.011175099999999993e+00,0.000000000000000000e+00
2.011292200000000197e+00,0.000000000000000000e+00
2.011409299999999956e+00,0.000000000000000000e+00
2.011526400000000159e+00,0.000000000000000000e+00
2.011643499999999918e+00,0.000000000000000000e+00
2.011760600000000121e+00,0.000000000000000000e+00
2.011877800000000160e+00,0.000000000000000000e+00
2.011994899999999920e+00,0.000000000000000000e+00
2.012112000000000123e+00,0.000000000000000000e+00
2.012229099999999882e+00,0.000000000000000000e+00
2.012346200000000085e+00,0.000000000000000000e+00
2.012463299999999844e+00,0.000000000000000000e+00
2.012580400000000047e+00,0.000000000000000000e+00
2.012697499999999806e+00,0.000000000000000000e+00
2.012814600000000009e+00,0.000000000000000000e+00
2.012931700000000212e+00,0.000000000000000000e+00
2.013048799999999972e+00,0.000000000000000000e+00
2.013165900000000175e+00,0.000000000000000000e+00
2.013283100000000214e+00,0.000000000000000000e+00
2.013400199999999973e+00,0.000000000000000000e+00
2.013517300000000176e+00,0.000000000000000000e+00
2.013634399999999935e+00,0.000000000000000000e+00
2.013751500000000139e+00,0.000000000000000000e+00
2.013868599999999898e+00,0.000000000000000000e+00
2.013985700000000101e+00,0.000000000000000000e+00
2.014102799999999860e+00,0.000000000000000000e+00
2.014219900000000063e+00,0.000000000000000000e+00
2.014336999999999822e+00,0.000000000000000000e+00
2.014454100000000025e+00,0.000000000000000000e+00
2.014571300000000065e+00,0.000000000000000000e+00
2.014688399999999824e+00,0.000000000000000000e+00
2.014805500000000027e+00,0.000000000000000000e+00
2.014922599999999786e+00,0.000000000000000000e+00
2.015039699999999989e+00,0.000000000000000000e+00
2.015156800000000192e+00,0.000000000000000000e+00
2.015273899999999951e+00,0.000000000000000000e+00
2.015391000000000155e+00,0.000000000000000000e+00
2.015508099999999914e+00,0.000000000000000000e+00
2.015625200000000117e+00,0.000000000000000000e+00
2.015742299999999876e+00,0.000000000000000000e+00
2.015859400000000079e+00,0.000000000000000000e+00
2.015976600000000118e+00,0.000000000000000000e+00
2.016093699999999878e+00,0.000000000000000000e+00
2.016210800000000081e+00,0.000000000000000000e+00
2.016327899999999840e+00,0.000000000000000000e+00
2.016445000000000043e+00,0.000000000000000000e+00
2.016562099999999802e+00,0.000000000000000000e+00
2.016679200000000005e+00,0.000000000000000000e+00
2.016796300000000208e+00,0.000000000000000000e+00
2.016913399999999967e+00,0.000000000000000000e+00
2.017030500000000171e+00,0.000000000000000000e+00
2.017147599999999930e+00,0.000000000000000000e+00
2.017264799999999969e+00,0.000000000000000000e+00
2.017381900000000172e+00,0.000000000000000000e+00
2.017498999999999931e+00,0.000000000000000000e+00
2.017616100000000134e+00,0.000000000000000000e+00
2.017733199999999893e+00,0.000000000000000000e+00
2.017850300000000097e+00,0.000000000000000000e+00
2.017967399999999856e+00,0.000000000000000000e+00
2.018084500000000059e+00,0.000000000000000000e+00
2.018201599999999818e+00,0.000000000000000000e+00
2.018318700000000021e+00,0.000000000000000000e+00
2.018435799999999780e+00,0.000000000000000000e+00
2.018552899999999983e+00,0.000000000000000000e+00
2.018670100000000023e+00,0.000000000000000000e+00
2.018787199999999782e+00,0.000000000000000000e+00
2.018904299999999985e+00,0.000000000000000000e+00
2.019021400000000188e+00,0.000000000000000000e+00
2.019138499999999947e+00,0.000000000000000000e+00
2.019255600000000150e+00,0.000000000000000000e+00
2.019372699999999909e+00,0.000000000000000000e+00
2.019489800000000113e+00,0.000000000000000000e+00
2.019606899999999872e+00,0.000000000000000000e+00
2.019724000000000075e+00,0.000000000000000000e+00
2.019841099999999834e+00,0.000000000000000000e+00
2.019958200000000037e+00,0.000000000000000000e+00
2.020075400000000077e+00,0.000000000000000000e+00
2.020192499999999836e+00,0.000000000000000000e+00
2.020309600000000039e+00,0.000000000000000000e+00
2.020426699999999798e+00,0.000000000000000000e+00
2.020543800000000001e+00,0.000000000000000000e+00
2.020660900000000204e+00,0.000000000000000000e+00
2.020777999999999963e+00,0.000000000000000000e+00
2.020895100000000166e+00,0.000000000000000000e+00
2.021012199999999925e+00,0.000000000000000000e+00
2.021129300000000129e+00,0.000000000000000000e+00
2.021246399999999888e+00,0.000000000000000000e+00
2.021363599999999927e+00,0.000000000000000000e+00
2.021480700000000130e+00,0.000000000000000000e+00
2.021597799999999889e+00,0.000000000000000000e+00
2.021714900000000092e+00,0.000000000000000000e+00
2.021831999999999852e+00,0.000000000000000000e+00
2.021949100000000055e+00,0.000000000000000000e+00
2.022066199999999814e+00,0.000000000000000000e+00
2.022183300000000017e+00,0.000000000000000000e+00
2.022300400000000220e+00,0.000000000000000000e+00
2.022417499999999979e+00,0.000000000000000000e+00
2.022534600000000182e+00,0.000000000000000000e+00
2.022651699999999941e+00,0.000000000000000000e+00
2.022768899999999981e+00,0.000000000000000000e+00
2.022886000000000184e+00,0.000000000000000000e+00
2.023003099999999943e+00,0.000000000000000000e+00
2.023120200000000146e+00,0.000000000000000000e+00
2.023237299999999905e+00,0.000000000000000000e+00
2.023354400000000108e+00,0.000000000000000000e+00
2.023471499999999867e+00,0.000000000000000000e+00
2.023588600000000071e+00,0.000000000000000000e+00
2.023705699999999830e+00,0.000000000000000000e+00
2.023822800000000033e+00,0.000000000000000000e+00
2.023939899999999792e+00,0.000000000000000000e+00
2.024056999999999995e+00,0.000000000000000000e+00
2.024174200000000035e+00,0.000000000000000000e+00
2.024291299999999794e+00,0.000000000000000000e+00
2.024408399999999997e+00,0.000000000000000000e+00
2.024525500000000200e+00,0.000000000000000000e+00
2.024642599999999959e+00,0.000000000000000000e+00
2.024759700000000162e+00,0.000000000000000000e+00
2.024876799999999921e+00,0.000000000000000000e+00
2.024993900000000124e+00,0.000000000000000000e+00
2.025110999999999883e+00,0.000000000000000000e+00
2.025228100000000087e+00,0.000000000000000000e+00
2.025345199999999846e+00,0.000000000000000000e+00
2.025462399999999885e+00,0.000000000000000000e+00
2.025579500000000088e+00,0.000000000000000000e+00
2.025696599999999847e+00,0.000000000000000000e+00
2.025813700000000050e+00,0.000000000000000000e+00
2.025930799999999810e+00,0.000000000000000000e+00
2.026047900000000013e+00,0.000000000000000000e+00
2.026165000000000216e+00,0.000000000000000000e+00
2.026282099999999975e+00,0.000000000000000000e+00
2.026399200000000178e+00,0.000000000000000000e+00
2.026516299999999937e+00,0.000000000000000000e+00
2.026633400000000140e+00,0.000000000000000000e+00
2.026750499999999899e+00,0.000000000000000000e+00
2.026867699999999939e+00,0.000000000000000000e+00
2.026984800000000142e+00,0.000000000000000000e+00
2.027101899999999901e+00,0.000000000000000000e+00
2.027219000000000104e+00,0.000000000000000000e+00
2.027336099999999863e+00,0.000000000000000000e+00
2.027453200000000066e+00,0.000000000000000000e+00
2.027570299999999826e+00,0.000000000000000000e+00
2.027687400000000029e+00,0.000000000000000000e+00
2.027804499999999788e+00,0.000000000000000000e+00
2.027921599999999991e+00,0.000000000000000000e+00
2.028038700000000194e+00,0.000000000000000000e+00
2.028155899999999789e+00,0.000000000000000000e+00
2.028272999999999993e+00,0.000000000000000000e+00
2.028390100000000196e+00,0.000000000000000000e+00
2.028507199999999955e+00,0.000000000000000000e+00
2.028624300000000158e+00,0.000000000000000000e+00
2.028741399999999917e+00,0.000000000000000000e+00
2.028858500000000120e+00,0.000000000000000000e+00
2.028975599999999879e+00,0.000000000000000000e+00
2.029092700000000082e+00,0.000000000000000000e+00
2.029209799999999841e+00,0.000000000000000000e+00
2.029326900000000045e+00,0.000000000000000000e+00
2.029443999999999804e+00,0.000000000000000000e+00
2.029561199999999843e+00,0.000000000000000000e+00
2.029678300000000046e+00,0.000000000000000000e+00
2.029795399999999805e+00,0.000000000000000000e+00
2.029912500000000009e+00,0.000000000000000000e+00
2.030029600000000212e+00,0.000000000000000000e+00
2.030146699999999971e+00,0.000000000000000000e+00
2.030263800000000174e+00,0.000000000000000000e+00
2.030380899999999933e+00,0.000000000000000000e+00
2.030498000000000136e+00,0.000000000000000000e+00
2.030615099999999895e+00,0.000000000000000000e+00
2.030732200000000098e+00,0.000000000000000000e+00
2.030849299999999857e+00,0.000000000000000000e+00
2.030966499999999897e+00,0.000000000000000000e+00
2.031083600000000100e+00,0.000000000000000000e+00
2.031200699999999859e+00,0.000000000000000000e+00
2.031317800000000062e+00,0.000000000000000000e+00
2.031434899999999821e+00,0.000000000000000000e+00
2.031552000000000024e+00,0.000000000000000000e+00
2.031669099999999784e+00,0.000000000000000000e+00
2.031786199999999987e+00,0.000000000000000000e+00
2.031903300000000190e+00,0.000000000000000000e+00
2.032020399999999949e+00,0.000000000000000000e+00
2.032137500000000152e+00,0.000000000000000000e+00
2.032254700000000192e+00,0.000000000000000000e+00
2.032371799999999951e+00,0.000000000000000000e+00
2.032488900000000154e+00,0.000000000000000000e+00
2.032605999999999913e+00,0.000000000000000000e+00
2.032723100000000116e+00,0.000000000000000000e+00
2.032840199999999875e+00,0.000000000000000000e+00
2.032957300000000078e+00,0.000000000000000000e+00
2.033074399999999837e+00,0.000000000000000000e+00
2.033191500000000040e+00,0.000000000000000000e+00
2.033308599999999799e+00,0.000000000000000000e+00
2.033425700000000003e+00,0.000000000000000000e+00
2.033542800000000206e+00,0.000000000000000000e+00
2.033659999999999801e+00,0.000000000000000000e+00
2.033777100000000004e+00,0.000000000000000000e+00
2.033894200000000207e+00,0.000000000000000000e+00
2.034011299999999967e+00,0.000000000000000000e+00
2.034128400000000170e+00,0.000000000000000000e+00
2.034245499999999929e+00,0.000000000000000000e+00
2.034362600000000132e+00,0.000000000000000000e+00
2.034479699999999891e+00,0.000000000000000000e+00
2.034596800000000094e+00,0.000000000000000000e+00
2.034713899999999853e+00,0.000000000000000000e+00
2.034831000000000056e+00,0.000000000000000000e+00
2.034948099999999815e+00,0.000000000000000000e+00
2.035065299999999855e+00,0.000000000000000000e+00
2.035182400000000058e+00,0.000000000000000000e+00
2.035299499999999817e+00,0.000000000000000000e+00
2.035416600000000020e+00,0.000000000000000000e+00
2.035533699999999779e+00,0.000000000000000000e+00
2.035650799999999983e+00,0.000000000000000000e+00
2.035767900000000186e+00,0.000000000000000000e+00
2.035884999999999945e+00,0.000000000000000000e+00
2.036002100000000148e+00,0.000000000000000000e+00
2.036119199999999907e+00,0.000000000000000000e+00
2.036236300000000110e+00,0.000000000000000000e+00
2.036353500000000150e+00,0.000000000000000000e+00
2.036470599999999909e+00,0.000000000000000000e+00
2.036587700000000112e+00,0.000000000000000000e+00
2.036704799999999871e+00,0.000000000000000000e+00
2.036821900000000074e+00,0.000000000000000000e+00
2.036938999999999833e+00,0.000000000000000000e+00
2.037056100000000036e+00,0.000000000000000000e+00
2.037173199999999795e+00,0.000000000000000000e+00
2.037290299999999998e+00,0.000000000000000000e+00
2.037407400000000202e+00,0.000000000000000000e+00
2.037524499999999961e+00,0.000000000000000000e+00
2.037641600000000164e+00,0.000000000000000000e+00
2.037758800000000203e+00,0.000000000000000000e+00
2.037875899999999962e+00,0.000000000000000000e+00
2.037993000000000166e+00,0.000000000000000000e+00
2.038110099999999925e+00,0.000000000000000000e+00
2.038227200000000128e+00,0.000000000000000000e+00
2.038344299999999887e+00,0.000000000000000000e+00
2.038461400000000090e+00,0.000000000000000000e+00
2.038578499999999849e+00,0.000000000000000000e+00
2.038695600000000052e+00,0.000000000000000000e+00
2.038812699999999811e+00,0.000000000000000000e+00
2.038929800000000014e+00,0.000000000000000000e+00
2.039047000000000054e+00,0.000000000000000000e+00
2.039164099999999813e+00,0.000000000000000000e+00
2.039281200000000016e+00,0.000000000000000000e+00
2.039398300000000219e+00,0.000000000000000000e+00
2.039515399999999978e+00,0.000000000000000000e+00
2.039632500000000181e+00,0.000000000000000000e+00
2.039749599999999941e+00,0.000000000000000000e+00
2.039866700000000144e+00,0.000000000000000000e+00
2.039983799999999903e+00,0.000000000000000000e+00
2.040100900000000106e+00,0.000000000000000000e+00
2.040217999999999865e+00,0.000000000000000000e+00
2.040335100000000068e+00,0.000000000000000000e+00
2.040452300000000108e+00,0.000000000000000000e+00
2.040569399999999867e+00,0.000000000000000000e+00
2.040686500000000070e+00,0.000000000000000000e+00
2.040803599999999829e+00,0.000000000000000000e+00
2.040920700000000032e+00,0.000000000000000000e+00
2.041037799999999791e+00,0.000000000000000000e+00
2.041154899999999994e+00,0.000000000000000000e+00
2.041272000000000197e+00,0.000000000000000000e+00
2.041389099999999956e+00,0.000000000000000000e+00
2.041506200000000160e+00,0.000000000000000000e+00
2.041623299999999919e+00,0.000000000000000000e+00
2.041740400000000122e+00,0.000000000000000000e+00
2.041857600000000161e+00,0.000000000000000000e+00
2.041974699999999920e+00,0.000000000000000000e+00
2.042091800000000124e+00,0.000000000000000000e+00
2.042208899999999883e+00,0.000000000000000000e+00
2.042326000000000086e+00,0.000000000000000000e+00
2.042443099999999845e+00,0.000000000000000000e+00
2.042560200000000048e+00,0.000000000000000000e+00
2.042677299999999807e+00,0.000000000000000000e+00
2.042794400000000010e+00,0.000000000000000000e+00
2.042911500000000213e+00,0.000000000000000000e+00
2.043028599999999972e+00,0.000000000000000000e+00
2.043145800000000012e+00,0.000000000000000000e+00
2.043262900000000215e+00,0.000000000000000000e+00
2.043379999999999974e+00,0.000000000000000000e+00
2.043497100000000177e+00,0.000000000000000000e+00
2.043614199999999936e+00,0.000000000000000000e+00
2.043731300000000140e+00,0.000000000000000000e+00
2.043848399999999899e+00,0.000000000000000000e+00
2.043965500000000102e+00,0.000000000000000000e+00
2.044082599999999861e+00,0.000000000000000000e+00
2.044199700000000064e+00,0.000000000000000000e+00
2.044316799999999823e+00,0.000000000000000000e+00
2.044433900000000026e+00,0.000000000000000000e+00
2.044551100000000066e+00,0.000000000000000000e+00
2.044668199999999825e+00,0.000000000000000000e+00
2.044785300000000028e+00,0.000000000000000000e+00
2.044902399999999787e+00,0.000000000000000000e+00
2.045019499999999990e+00,0.000000000000000000e+00
2.045136600000000193e+00,0.000000000000000000e+00
2.045253699999999952e+00,0.000000000000000000e+00
2.045370800000000155e+00,0.000000000000000000e+00
2.045487899999999915e+00,0.000000000000000000e+00
2.045605000000000118e+00,0.000000000000000000e+00
2.045722099999999877e+00,0.000000000000000000e+00
2.045839299999999916e+00,0.000000000000000000e+00
2.045956400000000119e+00,0.000000000000000000e+00
2.046073499999999878e+00,0.000000000000000000e+00
2.046190600000000082e+00,0.000000000000000000e+00
2.046307699999999841e+00,0.000000000000000000e+00
2.046424800000000044e+00,0.000000000000000000e+00
2.046541899999999803e+00,0.000000000000000000e+00
2.046659000000000006e+00,0.000000000000000000e+00
2.046776100000000209e+00,0.000000000000000000e+00
2.046893199999999968e+00,0.000000000000000000e+00
2.047010300000000171e+00,0.000000000000000000e+00
2.047127399999999930e+00,0.000000000000000000e+00
2.047244599999999970e+00,0.000000000000000000e+00
2.047361700000000173e+00,0.000000000000000000e+00
2.047478799999999932e+00,0.000000000000000000e+00
2.047595900000000135e+00,0.000000000000000000e+00
2.047712999999999894e+00,0.000000000000000000e+00
2.047830100000000098e+00,0.000000000000000000e+00
2.047947199999999857e+00,0.000000000000000000e+00
2.048064300000000060e+00,0.000000000000000000e+00
2.048181399999999819e+00,0.000000000000000000e+00
2.048298500000000022e+00,0.000000000000000000e+00
2.048415599999999781e+00,0.000000000000000000e+00
2.048532699999999984e+00,0.000000000000000000e+00
2.048649900000000024e+00,0.000000000000000000e+00
2.048766999999999783e+00,0.000000000000000000e+00
2.048884099999999986e+00,0.000000000000000000e+00
2.049001200000000189e+00,0.000000000000000000e+00
2.049118299999999948e+00,0.000000000000000000e+00
2.049235400000000151e+00,0.000000000000000000e+00
2.049352499999999910e+00,4.272996500000000003e-17
2.049469600000000113e+00,4.272996500000000003e-17
2.049586699999999873e+00,4.272996500000000003e-17
2.049703800000000076e+00,4.272996500000000003e-17
2.049820899999999835e+00,8.545993000000000006e-17
2.049938099999999874e+00,8.545993000000000006e-17
2.050055200000000077e+00,8.545993000000000006e-17
2.050172299999999836e+00,8.545993000000000006e-17
2.050289400000000040e+00,8.545993000000000006e-17
2.050406499999999799e+00,1.281898899999999887e-16
2.050523600000000002e+00,1.709198600000000001e-16
2.050640700000000205e+00,1.709198600000000001e-16
2.050757799999999964e+00,1.709198600000000001e-16
2.050874900000000167e+00,2.136498199999999887e-16
2.050991999999999926e+00,2.563797899999999755e-16
2.051109100000000129e+00,2.563797899999999755e-16
2.051226199999999888e+00,3.418397200000000002e-16
2.051343399999999928e+00,3.418397200000000002e-16
2.051460500000000131e+00,4.272996499999999756e-16
2.051577599999999890e+00,5.127595799999999510e-16
2.051694700000000093e+00,5.554895399999999643e-16
2.051811799999999852e+00,6.409494699999999890e-16
2.051928900000000056e+00,7.264094000000000137e-16
2.052045999999999815e+00,8.545992999999999513e-16
2.052163100000000018e+00,9.400592300000000746e-16
2.052280200000000221e+00,1.110979099999999925e-15
2.052397299999999980e+00,1.239168999999999961e-15
2.052514400000000183e+00,1.452818800000000027e-15
2.052631499999999942e+00,1.623738700000000070e-15
2.052748699999999982e+00,1.880118500000000142e-15
2.052865800000000185e+00,2.136498199999999838e-15
2.052982899999999944e+00,2.435608000000000114e-15
2.053100000000000147e+00,2.777447699999999822e-15
2.053217099999999906e+00,3.162017400000000127e-15
2.053334200000000109e+00,3.589317100000000242e-15
2.053451299999999868e+00,4.102076599999999616e-15
2.053568400000000072e+00,4.700296100000000185e-15
2.053685499999999831e+00,5.383975600000000372e-15
2.053802600000000034e+00,6.153115000000000194e-15
2.053919699999999793e+00,7.007714299999999652e-15
2.054036899999999832e+00,7.947773500000000324e-15
2.054154000000000035e+00,9.058752600000000249e-15
2.054271099999999795e+00,1.034065199999999936e-14
2.054388199999999998e+00,1.179346999999999953e-14
2.054505300000000201e+00,1.341720900000000033e-14
2.054622399999999960e+00,1.525459700000000036e-14
2.054739500000000163e+00,1.734836600000000064e-14
2.054856599999999922e+00,1.974124399999999976e-14
2.054973700000000125e+00,2.247596200000000051e-14
2.055090799999999884e+00,2.555251899999999991e-14
2.055207900000000087e+00,2.901364600000000074e-14
2.055324999999999847e+00,3.298753300000000243e-14
2.055442199999999886e+00,3.743144900000000221e-14
2.055559300000000089e+00,4.255904499999999892e-14
2.055676399999999848e+00,4.828485999999999945e-14
2.055793500000000051e+00,5.477981500000000285e-14
2.055910599999999810e+00,6.221482900000000222e-14
2.056027700000000014e+00,7.054717200000000407e-14
2.056144800000000217e+00,7.999049399999999482e-14
2.056261899999999976e+00,9.071571600000000507e-14
2.056379000000000179e+00,1.028082999999999962e-13
2.056496099999999938e+00,1.165246100000000079e-13
2.056613200000000141e+00,1.319928599999999910e-13
2.056730400000000181e+00,1.494694199999999966e-13
2.056847499999999940e+00,1.692533899999999938e-13
2.056964600000000143e+00,1.915584300000000112e-13
2.057081699999999902e+00,2.167691099999999903e-13
2.057198800000000105e+00,2.452272700000000055e-13
2.057315899999999864e+00,2.773174699999999872e-13
2.057433000000000067e+00,3.135524800000000198e-13
2.057550099999999826e+00,3.544023300000000066e-13
2.057667200000000030e+00,4.005079599999999905e-13
2.057784299999999789e+00,4.524248699999999990e-13
2.057901399999999992e+00,5.109649200000000490e-13
2.058018500000000195e+00,5.769399899999999774e-13
2.058135699999999790e+00,6.512046700000000220e-13
2.058252799999999993e+00,7.348699399999999633e-13
2.058369900000000197e+00,8.290040500000000172e-13
2.058486999999999956e+00,9.349316299999999066e-13
2.058604100000000159e+00,1.054148200000000078e-12
2.058721199999999918e+00,1.188234900000000079e-12
2.058838300000000121e+00,1.338986199999999960e-12
2.058955399999999880e+00,1.508453199999999928e-12
2.059072500000000083e+00,1.698857900000000093e-12
2.059189599999999842e+00,1.912806900000000033e-12
2.059306700000000045e+00,2.153077500000000122e-12
2.059423799999999805e+00,2.422874499999999927e-12
2.059540999999999844e+00,2.725744499999999827e-12
2.059658100000000047e+00,3.065618600000000017e-12
2.059775199999999806e+00,3.446855399999999886e-12
2.059892300000000009e+00,3.874496799999999869e-12
2.060009400000000213e+00,4.353969799999999759e-12
2.060126499999999972e+00,4.891384499999999876e-12
2.060243600000000175e+00,5.493663400000000185e-12
2.060360699999999934e+00,6.168369499999999609e-12
2.060477800000000137e+00,6.924006200000000329e-12
2.060594899999999896e+00,7.770059599999999883e-12
2.060712000000000099e+00,8.717083800000000023e-12
2.060829200000000139e+00,9.776829599999999419e-12
2.060946299999999898e+00,1.096237299999999998e-11
2.061063400000000101e+00,1.228819800000000055e-11
2.061180499999999860e+00,1.377067099999999929e-11
2.061297600000000063e+00,1.542765400000000150e-11
2.061414699999999822e+00,1.727922900000000152e-11
2.061531800000000025e+00,1.934770100000000062e-11
2.061648899999999784e+00,2.165772500000000120e-11
2.061765999999999988e+00,2.423686300000000030e-11
2.061883100000000191e+00,2.711566699999999879e-11
2.062000199999999950e+00,3.032802000000000106e-11
2.062117300000000153e+00,3.391148299999999892e-11
2.062234500000000192e+00,3.790788799999999717e-11
2.062351599999999952e+00,4.236351300000000163e-11
2.062468700000000155e+00,4.732980300000000227e-11
2.062585799999999914e+00,5.286363300000000233e-11
2.062702900000000117e+00,5.902811399999999887e-11
2.062819999999999876e+00,6.589328100000000513e-11
2.062937100000000079e+00,7.353647499999999964e-11
2.063054199999999838e+00,8.204358399999999632e-11
2.063171300000000041e+00,9.150946699999999851e-11
2.063288399999999800e+00,1.020393300000000048e-10
2.063405500000000004e+00,1.137493000000000044e-10
2.063522600000000207e+00,1.267681000000000071e-10
2.063639799999999802e+00,1.412378699999999934e-10
2.063756900000000005e+00,1.573157499999999952e-10
2.063874000000000208e+00,1.751754699999999921e-10
2.063991099999999967e+00,1.950088299999999907e-10
2.064108200000000171e+00,2.170277100000000084e-10
