#wavelength,transmission
2.138449899999999904e+00,0.000000000000000000e+00
2.138574100000000033e+00,0.000000000000000000e+00
2.138698199999999883e+00,0.000000000000000000e+00
2.138822400000000012e+00,0.000000000000000000e+00
2.138946600000000142e+00,0.000000000000000000e+00
2.139070699999999992e+00,0.000000000000000000e+00
2.139194900000000121e+00,0.000000000000000000e+00
2.139318999999999971e+00,0.000000000000000000e+00
2.139443200000000100e+00,0.000000000000000000e+00
2.139567399999999786e+00,0.000000000000000000e+00
2.139691500000000079e+00,0.000000000000000000e+00
2.139815700000000209e+00,0.000000000000000000e+00
2.139939899999999895e+00,0.000000000000000000e+00
2.140064000000000188e+00,0.000000000000000000e+00
2.140188199999999874e+00,0.000000000000000000e+00
2.140312300000000167e+00,0.000000000000000000e+00
2.140436499999999853e+00,0.000000000000000000e+00
2.140560699999999983e+00,0.000000000000000000e+00
2.140684799999999832e+00,0.000000000000000000e+00
2.140808999999999962e+00,0.000000000000000000e+00
2.140933200000000092e+00,0.000000000000000000e+00
2.141057299999999941e+00,0.000000000000000000e+00
2.141181500000000071e+00,0.000000000000000000e+00
2.141305599999999920e+00,0.000000000000000000e+00
2.141429800000000050e+00,0.000000000000000000e+00
2.141554000000000180e+00,0.000000000000000000e+00
2.141678100000000029e+00,0.000000000000000000e+00
2.141802300000000159e+00,0.000000000000000000e+00
2.141926400000000008e+00,0.000000000000000000e+00
2.142050600000000138e+00,0.000000000000000000e+00
2.142174799999999824e+00,0.000000000000000000e+00
2.142298900000000117e+00,0.000000000000000000e+00
2.142423099999999803e+00,0.000000000000000000e+00
2.142547299999999932e+00,0.000000000000000000e+00
2.142671399999999782e+00,0.000000000000000000e+00
2.142795599999999911e+00,0.000000000000000000e+00
2.142919700000000205e+00,0.000000000000000000e+00
2.143043899999999891e+00,0.000000000000000000e+00
2.143168100000000020e+00,0.000000000000000000e+00
2.143292199999999870e+00,0.000000000000000000e+00
2.143416399999999999e+00,0.000000000000000000e+00
2.143540600000000129e+00,0.000000000000000000e+00
2.143664699999999979e+00,0.000000000000000000e+00
2.143788900000000108e+00,0.000000000000000000e+00
2.143912999999999958e+00,0.000000000000000000e+00
2.144037200000000087e+00,0.000000000000000000e+00
2.144161400000000217e+00,0.000000000000000000e+00
2.144285500000000066e+00,0.000000000000000000e+00
