#wavelength,transmission
1.493400000000000061e+00,0.000000000000000000e+00
1.493919859929965011e+00,0.000000000000000000e+00
1.494439719859929960e+00,0.000000000000000000e+00
1.494959579789894910e+00,0.000000000000000000e+00
1.495479439719860082e+00,0.000000000000000000e+00
1.495999299649825032e+00,0.000000000000000000e+00
1.496519159579789982e+00,0.000000000000000000e+00
1.497039019509754931e+00,0.000000000000000000e+00
1.497558879439719881e+00,0.000000000000000000e+00
1.498078739369684831e+00,0.000000000000000000e+00
1.498598599299649781e+00,0.000000000000000000e+00
1.499118459229614952e+00,0.000000000000000000e+00
1.499638319159579902e+00,0.000000000000000000e+00
1.500158179089544852e+00,0.000000000000000000e+00
1.500678039019509802e+00,0.000000000000000000e+00
1.501197898949474752e+00,0.000000000000000000e+00
1.501717758879439701e+00,0.000000000000000000e+00
1.502237618809404651e+00,0.000000000000000000e+00
1.502757478739369823e+00,0.000000000000000000e+00
1.503277338669334773e+00,0.000000000000000000e+00
1.503797198599299723e+00,0.000000000000000000e+00
1.504317058529264672e+00,0.000000000000000000e+00
1.504836918459229622e+00,0.000000000000000000e+00
1.505356778389194572e+00,0.000000000000000000e+00
1.505876638319159744e+00,0.000000000000000000e+00
1.506396498249124694e+00,0.000000000000000000e+00
1.506916358179089643e+00,0.000000000000000000e+00
1.507436218109054593e+00,0.000000000000000000e+00
1.507956078039019543e+00,0.000000000000000000e+00
1.508475937968984493e+00,0.000000000000000000e+00
1.508995797898949442e+00,0.000000000000000000e+00
1.509515657828914614e+00,0.000000000000000000e+00
1.510035517758879564e+00,0.000000000000000000e+00
1.510555377688844514e+00,0.000000000000000000e+00
1.511075237618809464e+00,4.996003610813204555e-17
1.511595097548774413e+00,4.996003610813204555e-17
1.512114957478739363e+00,9.992007221626409110e-17
1.512634817408704313e+00,1.498801083243961428e-16
1.513154677338669485e+00,2.997602166487922856e-16
1.513674537268634435e+00,4.996003610813204432e-16
1.514194397198599384e+00,9.492406860545089209e-16
1.514714257128564334e+00,1.648681191568357423e-15
1.515234117058529284e+00,2.897682094271658728e-15
1.515753976988494234e+00,5.145883719137600723e-15
1.516273836918459184e+00,8.942846463355635618e-15
1.516793696848424355e+00,1.553757122962906768e-14
1.517313556778389305e+00,2.687849942617503921e-14
1.517833416708354255e+00,4.626299343613027178e-14
1.518353276638319205e+00,7.923661726749742734e-14
1.518873136568284155e+00,1.349420575280646568e-13
1.519392996498249104e+00,2.287170453030284888e-13
1.519912856428214276e+00,3.857414387908875445e-13
1.520432716358179226e+00,6.472822278169587460e-13
1.520952576288144176e+00,1.080685541055004331e-12
1.521472436218109126e+00,1.795313897545725013e-12
1.521992296148074075e+00,2.967626144823043433e-12
1.522512156078039025e+00,4.881045567728392921e-12
1.523032016008003975e+00,7.988060213293124757e-12
1.523551875937969147e+00,1.300774488122158410e-11
1.524071735867934096e+00,2.107634067272101868e-11
1.524591595797899046e+00,3.397981895858492862e-11
1.525111455727863996e+00,5.451039619686071092e-11
1.525631315657828946e+00,8.701064868610330905e-11
1.526151175587793896e+00,1.381976033609788704e-10
1.526671035517758845e+00,2.184060932108877699e-10
1.527190895447724017e+00,3.434520168266175233e-10
1.527710755377688967e+00,5.374098666077742337e-10
1.528230615307653917e+00,8.367281367771539428e-10
1.528750475237618867e+00,1.296293672403692240e-09
1.529270335167583816e+00,1.998314413942381572e-09
1.529790195097548766e+00,3.065256098944146774e-09
