#wavelength,transmission
1.578424899999999909e+00,0.000000000000000000e+00
1.578552799999999978e+00,0.000000000000000000e+00
1.578680700000000048e+00,0.000000000000000000e+00
1.578808500000000059e+00,0.000000000000000000e+00
1.578936399999999907e+00,0.000000000000000000e+00
1.579064299999999976e+00,0.000000000000000000e+00
1.579192099999999988e+00,0.000000000000000000e+00
1.579320000000000057e+00,0.000000000000000000e+00
1.579447899999999905e+00,0.000000000000000000e+00
1.579575799999999974e+00,0.000000000000000000e+00
1.579703599999999986e+00,0.000000000000000000e+00
1.579831500000000055e+00,0.000000000000000000e+00
1.579959399999999903e+00,0.000000000000000000e+00
1.580087199999999914e+00,0.000000000000000000e+00
1.580215099999999984e+00,0.000000000000000000e+00
1.580343000000000053e+00,0.000000000000000000e+00
1.580470800000000065e+00,0.000000000000000000e+00
1.580598699999999912e+00,0.000000000000000000e+00
1.580726599999999982e+00,0.000000000000000000e+00
1.580854399999999993e+00,0.000000000000000000e+00
1.580982300000000063e+00,0.000000000000000000e+00
1.581110199999999910e+00,0.000000000000000000e+00
1.581237999999999921e+00,0.000000000000000000e+00
1.581365899999999991e+00,0.000000000000000000e+00
1.581493800000000061e+00,0.000000000000000000e+00
1.581621699999999908e+00,0.000000000000000000e+00
1.581749499999999919e+00,0.000000000000000000e+00
1.581877399999999989e+00,0.000000000000000000e+00
1.582005300000000059e+00,0.000000000000000000e+00
1.582133100000000070e+00,0.000000000000000000e+00
1.582260999999999918e+00,0.000000000000000000e+00
1.582388899999999987e+00,0.000000000000000000e+00
1.582516699999999998e+00,0.000000000000000000e+00
1.582644600000000068e+00,0.000000000000000000e+00
1.582772499999999916e+00,0.000000000000000000e+00
1.582900299999999927e+00,0.000000000000000000e+00
1.583028199999999996e+00,0.000000000000000000e+00
1.583156100000000066e+00,0.000000000000000000e+00
1.583283999999999914e+00,0.000000000000000000e+00
1.583411799999999925e+00,0.000000000000000000e+00
1.583539699999999995e+00,0.000000000000000000e+00
1.583667600000000064e+00,0.000000000000000000e+00
1.583795400000000075e+00,0.000000000000000000e+00
1.583923299999999923e+00,0.000000000000000000e+00
1.584051199999999993e+00,0.000000000000000000e+00
1.584179000000000004e+00,0.000000000000000000e+00
1.584306900000000073e+00,0.000000000000000000e+00
1.584434799999999921e+00,0.000000000000000000e+00
1.584562599999999932e+00,0.000000000000000000e+00
1.584690500000000002e+00,0.000000000000000000e+00
1.584818400000000072e+00,0.000000000000000000e+00
1.584946200000000083e+00,0.000000000000000000e+00
1.585074099999999930e+00,0.000000000000000000e+00
1.585202000000000000e+00,0.000000000000000000e+00
