#wavelength,transmission
1.400300000000000100e+00,0.000000000000000000e+00
1.400544999999999929e+00,0.000000000000000000e+00
1.400789999999999980e+00,0.000000000000000000e+00
1.401034899999999972e+00,0.000000000000000000e+00
1.401279900000000023e+00,0.000000000000000000e+00
1.401524900000000073e+00,0.000000000000000000e+00
1.401769899999999902e+00,0.000000000000000000e+00
1.402014799999999894e+00,0.000000000000000000e+00
1.402259799999999945e+00,0.000000000000000000e+00
1.402504799999999996e+00,0.000000000000000000e+00
1.402749800000000047e+00,0.000000000000000000e+00
1.402994700000000039e+00,0.000000000000000000e+00
1.403239700000000090e+00,0.000000000000000000e+00
1.403484699999999918e+00,0.000000000000000000e+00
1.403729599999999911e+00,0.000000000000000000e+00
1.403974599999999961e+00,0.000000000000000000e+00
1.404219600000000012e+00,0.000000000000000000e+00
1.404464600000000063e+00,0.000000000000000000e+00
1.404709500000000055e+00,0.000000000000000000e+00
1.404954500000000106e+00,0.000000000000000000e+00
1.405199499999999935e+00,0.000000000000000000e+00
1.405444399999999927e+00,0.000000000000000000e+00
1.405689399999999978e+00,0.000000000000000000e+00
1.405934400000000029e+00,0.000000000000000000e+00
1.406179400000000079e+00,0.000000000000000000e+00
1.406424300000000072e+00,0.000000000000000000e+00
1.406669299999999900e+00,0.000000000000000000e+00
1.406914299999999951e+00,0.000000000000000000e+00
1.407159300000000002e+00,0.000000000000000000e+00
1.407404199999999994e+00,0.000000000000000000e+00
1.407649200000000045e+00,0.000000000000000000e+00
1.407894200000000096e+00,0.000000000000000000e+00
1.408139100000000088e+00,0.000000000000000000e+00
1.408384099999999917e+00,0.000000000000000000e+00
1.408629099999999967e+00,0.000000000000000000e+00
1.408874100000000018e+00,0.000000000000000000e+00
1.409119000000000010e+00,0.000000000000000000e+00
1.409364000000000061e+00,0.000000000000000000e+00
1.409608999999999890e+00,0.000000000000000000e+00
1.409853999999999941e+00,0.000000000000000000e+00
1.410098899999999933e+00,0.000000000000000000e+00
1.410343899999999984e+00,0.000000000000000000e+00
1.410588900000000034e+00,0.000000000000000000e+00
1.410833800000000027e+00,0.000000000000000000e+00
1.411078800000000077e+00,0.000000000000000000e+00
1.411323799999999906e+00,0.000000000000000000e+00
1.411568799999999957e+00,0.000000000000000000e+00
1.411813699999999949e+00,0.000000000000000000e+00
1.412058700000000000e+00,0.000000000000000000e+00
1.412303700000000051e+00,0.000000000000000000e+00
1.412548600000000043e+00,0.000000000000000000e+00
1.412793600000000094e+00,0.000000000000000000e+00
1.413038599999999922e+00,0.000000000000000000e+00
1.413283599999999973e+00,0.000000000000000000e+00
1.413528499999999966e+00,0.000000000000000000e+00
1.413773500000000016e+00,0.000000000000000000e+00
1.414018500000000067e+00,0.000000000000000000e+00
1.414263499999999896e+00,0.000000000000000000e+00
1.414508400000000110e+00,0.000000000000000000e+00
1.414753399999999939e+00,0.000000000000000000e+00
1.414998399999999990e+00,0.000000000000000000e+00
1.415243299999999982e+00,5.140332600000000097e-17
1.415488300000000033e+00,5.140332600000000097e-17
1.415733300000000083e+00,1.028066499999999998e-16
1.415978299999999912e+00,1.028066499999999998e-16
1.416223199999999904e+00,1.028066499999999998e-16
1.416468199999999955e+00,2.056132999999999997e-16
1.416713200000000006e+00,2.056132999999999997e-16
1.416958200000000057e+00,3.084199499999999995e-16
1.417203100000000049e+00,4.112265999999999994e-16
1.417448100000000100e+00,5.140332599999999974e-16
1.417693099999999928e+00,7.196465599999999971e-16
1.417937999999999921e+00,9.252598599999999968e-16
1.418182999999999971e+00,1.233679799999999998e-15
1.418428000000000022e+00,1.644906399999999997e-15
1.418673000000000073e+00,2.210343000000000189e-15
1.418917900000000065e+00,2.929989600000000179e-15
1.419162899999999894e+00,3.855249399999999792e-15
1.419407899999999945e+00,5.088929199999999790e-15
1.419652899999999995e+00,6.682432300000000375e-15
1.419897799999999988e+00,8.841372000000000757e-15
1.420142800000000038e+00,1.161715200000000028e-14
1.420387800000000089e+00,1.521538399999999844e-14
1.420632700000000082e+00,1.994449000000000078e-14
1.420877699999999910e+00,2.611288899999999919e-14
1.421122699999999961e+00,3.418321200000000157e-14
1.421367700000000012e+00,4.461808700000000056e-14
1.421612600000000004e+00,5.823996800000000549e-14
1.421857600000000055e+00,7.587130899999999413e-14
1.422102600000000105e+00,9.874578799999999677e-14
1.422347500000000098e+00,1.283540999999999973e-13
1.422592499999999927e+00,1.666495800000000017e-13
1.422837499999999977e+00,2.160995800000000080e-13
1.423082500000000028e+00,2.798396999999999754e-13
1.423327400000000020e+00,3.619308199999999823e-13
1.423572400000000071e+00,4.675646500000000377e-13
1.423817399999999900e+00,6.033722399999999833e-13
1.424062399999999950e+00,7.776295099999999892e-13
1.424307299999999943e+00,1.000925599999999941e-12
1.424552299999999994e+00,1.286830899999999995e-12
1.424797300000000044e+00,1.652411299999999967e-12
1.425042200000000037e+00,2.119256299999999882e-12
1.425287200000000087e+00,2.714763799999999807e-12
1.425532199999999916e+00,3.473322699999999930e-12
1.425777199999999967e+00,4.438471600000000286e-12
1.426022099999999959e+00,5.664852100000000041e-12
1.426267100000000010e+00,7.221447599999999918e-12
1.426512100000000061e+00,9.194512800000000169e-12
1.426757099999999889e+00,1.169250899999999965e-11
1.427002000000000104e+00,1.485119199999999899e-11
1.427246999999999932e+00,1.884024400000000161e-11
1.427491999999999983e+00,2.387191000000000142e-11
1.427736899999999975e+00,3.021065999999999802e-11
1.427981900000000026e+00,3.818619399999999956e-11
1.428226900000000077e+00,4.820891700000000243e-11
1.428471899999999906e+00,6.078864799999999913e-11
1.428716799999999898e+00,7.655816000000000263e-11
1.428961799999999949e+00,9.630181700000000161e-11
1.429206799999999999e+00,1.209906799999999923e-10
1.429451699999999992e+00,1.518252700000000038e-10
