#wavelength,transmission
1.493875000000000064e+00,0.000000000000000000e+00
1.493962000000000012e+00,0.000000000000000000e+00
1.494048999999999960e+00,0.000000000000000000e+00
1.494135900000000072e+00,0.000000000000000000e+00
1.494222900000000021e+00,0.000000000000000000e+00
1.494309799999999910e+00,0.000000000000000000e+00
1.494396800000000081e+00,0.000000000000000000e+00
1.494483800000000029e+00,0.000000000000000000e+00
1.494570699999999919e+00,0.000000000000000000e+00
1.494657700000000089e+00,0.000000000000000000e+00
1.494744700000000037e+00,0.000000000000000000e+00
1.494831599999999927e+00,0.000000000000000000e+00
1.494918600000000097e+00,0.000000000000000000e+00
1.495005600000000046e+00,0.000000000000000000e+00
1.495092499999999935e+00,0.000000000000000000e+00
1.495179500000000106e+00,0.000000000000000000e+00
1.495266399999999996e+00,0.000000000000000000e+00
1.495353399999999944e+00,0.000000000000000000e+00
1.495440399999999892e+00,0.000000000000000000e+00
1.495527300000000004e+00,0.000000000000000000e+00
1.495614299999999952e+00,0.000000000000000000e+00
1.495701299999999900e+00,0.000000000000000000e+00
1.495788200000000012e+00,0.000000000000000000e+00
1.495875199999999960e+00,0.000000000000000000e+00
1.495962100000000072e+00,0.000000000000000000e+00
1.496049100000000021e+00,0.000000000000000000e+00
1.496136099999999969e+00,0.000000000000000000e+00
1.496223000000000081e+00,0.000000000000000000e+00
1.496310000000000029e+00,0.000000000000000000e+00
1.496396999999999977e+00,0.000000000000000000e+00
1.496483900000000089e+00,0.000000000000000000e+00
1.496570900000000037e+00,0.000000000000000000e+00
1.496657899999999985e+00,0.000000000000000000e+00
1.496744800000000097e+00,0.000000000000000000e+00
1.496831800000000046e+00,0.000000000000000000e+00
1.496918699999999935e+00,0.000000000000000000e+00
1.497005700000000106e+00,0.000000000000000000e+00
1.497092700000000054e+00,0.000000000000000000e+00
1.497179599999999944e+00,0.000000000000000000e+00
1.497266599999999892e+00,0.000000000000000000e+00
1.497353600000000062e+00,0.000000000000000000e+00
1.497440499999999952e+00,0.000000000000000000e+00
1.497527499999999900e+00,0.000000000000000000e+00
1.497614500000000071e+00,0.000000000000000000e+00
1.497701399999999960e+00,0.000000000000000000e+00
1.497788399999999909e+00,0.000000000000000000e+00
1.497875300000000021e+00,0.000000000000000000e+00
1.497962299999999969e+00,0.000000000000000000e+00
1.498049299999999917e+00,0.000000000000000000e+00
