#wavelength,transmission
1.023719999999999963e+00,1.368196799999999987e-13
1.023788300000000095e+00,1.470872000000000066e-13
1.023856499999999947e+00,1.581197499999999938e-13
1.023924800000000079e+00,1.699575900000000071e-13
1.023992999999999931e+00,1.826812600000000105e-13
1.024061300000000063e+00,1.963310099999999898e-13
1.024129499999999915e+00,2.109873899999999955e-13
1.024197800000000047e+00,2.266906499999999879e-13
1.024265999999999899e+00,2.435615900000000032e-13
1.024334199999999973e+00,2.616404700000000127e-13
1.024402500000000105e+00,2.810480899999999768e-13
1.024470699999999956e+00,3.019052400000000219e-13
1.024539000000000089e+00,3.242521799999999929e-13
1.024607199999999940e+00,3.482097199999999874e-13
1.024675500000000072e+00,3.738986399999999946e-13
1.024743699999999924e+00,4.014397500000000111e-13
1.024812000000000056e+00,4.309940900000000227e-13
1.024880199999999908e+00,4.626824599999999898e-13
1.024948500000000040e+00,4.966256599999999738e-13
1.025016699999999892e+00,5.330250100000000292e-13
1.025085000000000024e+00,5.720818399999999937e-13
1.025153200000000098e+00,6.138766699999999614e-13
1.025221500000000008e+00,6.586913499999999648e-13
1.025289700000000082e+00,7.067272200000000296e-13
1.025357899999999933e+00,7.581453300000000261e-13
1.025426200000000065e+00,8.132677999999999690e-13
1.025494399999999917e+00,8.722959500000000137e-13
1.025562700000000049e+00,9.355116399999999766e-13
1.025630899999999901e+00,1.003236999999999959e-12
1.025699200000000033e+00,1.075713599999999925e-12
1.025767400000000107e+00,1.153384299999999937e-12
1.025835700000000017e+00,1.236531100000000012e-12
1.025903900000000091e+00,1.325516200000000018e-12
1.025972200000000001e+00,1.420782600000000017e-12
1.026040400000000075e+00,1.522773300000000070e-12
1.026108699999999985e+00,1.631931099999999923e-12
1.026176900000000058e+00,1.748739200000000021e-12
1.026245199999999969e+00,1.873720999999999989e-12
1.026313400000000042e+00,2.007440299999999948e-12
1.026381599999999894e+00,2.150541300000000188e-12
1.026449900000000026e+00,2.303587700000000169e-12
1.026518100000000100e+00,2.467344500000000039e-12
1.026586400000000010e+00,2.642415699999999904e-12
1.026654600000000084e+00,2.829687199999999830e-12
1.026722899999999994e+00,3.029923899999999907e-12
1.026791100000000068e+00,3.244051899999999981e-12
1.026859399999999978e+00,3.472997399999999957e-12
1.026927600000000051e+00,3.717726599999999807e-12
1.026995899999999962e+00,3.979286599999999755e-12
1.027064100000000035e+00,4.258885100000000242e-12
1.027132399999999945e+00,4.557730299999999979e-12
1.027200600000000019e+00,4.877029899999999811e-12
1.027268899999999929e+00,5.218233499999999668e-12
1.027337100000000003e+00,5.582790700000000287e-12
1.027405300000000077e+00,5.972231599999999600e-12
1.027473599999999987e+00,6.388287400000000150e-12
1.027541800000000061e+00,6.832649400000000029e-12
1.027610099999999971e+00,7.307250299999999354e-12
1.027678300000000045e+00,7.814022600000000551e-12
1.027746599999999955e+00,8.355221400000000016e-12
1.027814800000000028e+00,8.933061099999999731e-12
1.027883099999999938e+00,9.549917399999999473e-12
1.027951300000000012e+00,1.020840699999999920e-11
1.028019599999999922e+00,1.091134999999999995e-11
1.028087799999999996e+00,1.166152300000000029e-11
1.028156099999999906e+00,1.246210699999999958e-11
1.028224299999999980e+00,1.331644500000000021e-11
1.028292599999999890e+00,1.422795900000000012e-11
