#wavelength,transmission
1.107699999999999907e+00,1.015687499999999951e-16
1.107844499999999899e+00,1.015687499999999951e-16
1.107988900000000054e+00,1.015687499999999951e-16
1.108133400000000046e+00,1.015687499999999951e-16
1.108277900000000038e+00,1.523531300000000040e-16
1.108422400000000030e+00,2.031374999999999901e-16
1.108566799999999963e+00,2.031374999999999901e-16
1.108711299999999955e+00,3.047062500000000098e-16
1.108855799999999947e+00,3.047062500000000098e-16
1.109000200000000103e+00,4.062749999999999802e-16
1.109144700000000094e+00,4.570593799999999892e-16
1.109289200000000086e+00,5.078437499999999999e-16
1.109433700000000078e+00,6.094125100000000178e-16
1.109578100000000012e+00,7.109812600000000375e-16
1.109722600000000003e+00,9.141187599999999783e-16
1.109867099999999995e+00,1.015687500000000000e-15
1.110011499999999929e+00,1.218825000000000039e-15
1.110155999999999921e+00,1.472746900000000084e-15
1.110300499999999913e+00,1.726668799999999932e-15
1.110444999999999904e+00,2.031375000000000000e-15
1.110589400000000060e+00,2.386865600000000073e-15
1.110733900000000052e+00,2.843925000000000157e-15
1.110878400000000044e+00,3.351768799999999852e-15
1.111022900000000035e+00,3.961181299999999971e-15
1.111167299999999969e+00,4.621378199999999700e-15
1.111311799999999961e+00,5.433928199999999857e-15
1.111456299999999953e+00,6.398831299999999655e-15
1.111600700000000108e+00,7.516087599999999862e-15
1.111745200000000100e+00,8.836481299999999339e-15
1.111889700000000092e+00,1.036001300000000034e-14
1.112034200000000084e+00,1.218825000000000079e-14
1.112178600000000017e+00,1.432119399999999879e-14
1.112323100000000009e+00,1.680962800000000052e-14
1.112467600000000001e+00,1.970433799999999900e-14
1.112611999999999934e+00,2.315767500000000134e-14
1.112756499999999926e+00,2.711885599999999978e-14
1.112900999999999918e+00,3.174023500000000092e-14
1.113045499999999910e+00,3.717416300000000239e-14
1.113189900000000065e+00,4.347142499999999897e-14
1.113334400000000057e+00,5.088594400000000273e-14
1.113478900000000049e+00,5.951928799999999726e-14
1.113623400000000041e+00,6.957459399999999373e-14
