#wavelength,transmission
1.142944900000000041e+00,1.589838699999999903e-16
1.143037499999999929e+00,1.589838699999999903e-16
1.143130100000000038e+00,1.589838699999999903e-16
1.143222699999999925e+00,1.589838699999999903e-16
1.143315300000000034e+00,1.987298400000000060e-16
1.143407899999999922e+00,2.384757999999999987e-16
1.143500500000000031e+00,2.384757999999999987e-16
1.143593099999999918e+00,2.782217699999999897e-16
1.143685700000000027e+00,3.179677399999999807e-16
1.143778299999999915e+00,3.577137000000000228e-16
1.143870900000000024e+00,3.974596700000000137e-16
1.143963499999999911e+00,4.372056400000000047e-16
1.144056100000000020e+00,4.769516099999999957e-16
1.144148699999999907e+00,5.564435399999999794e-16
1.144241199999999958e+00,5.961895100000000197e-16
1.144333800000000068e+00,6.359354699999999632e-16
1.144426399999999955e+00,7.154274100000000437e-16
1.144519000000000064e+00,7.949193400000000274e-16
1.144611599999999951e+00,9.141572499999999511e-16
1.144704200000000061e+00,1.033395100000000083e-15
1.144796799999999948e+00,1.112887099999999955e-15
1.144889400000000057e+00,1.271870899999999934e-15
1.144981999999999944e+00,1.430854800000000091e-15
1.145074600000000054e+00,1.550092700000000016e-15
1.145167199999999941e+00,1.748822600000000012e-15
1.145259800000000050e+00,1.907806399999999990e-15
1.145352399999999937e+00,2.146282199999999841e-15
1.145445000000000046e+00,2.384758000000000086e-15
1.145537599999999934e+00,2.623233799999999937e-15
1.145630200000000043e+00,2.941201599999999857e-15
1.145722700000000094e+00,3.259169300000000190e-15
1.145815299999999981e+00,3.616882999999999967e-15
1.145907900000000090e+00,4.014342699999999975e-15
1.146000499999999978e+00,4.451548299999999839e-15
1.146093100000000087e+00,4.928499900000000329e-15
1.146185699999999974e+00,5.484943499999999706e-15
1.146278300000000083e+00,6.120878900000000372e-15
1.146370899999999970e+00,6.756814400000000232e-15
1.146463500000000080e+00,7.472241800000000573e-15
1.146556099999999967e+00,8.306907099999999656e-15
1.146648700000000076e+00,9.221064399999999993e-15
1.146741299999999963e+00,1.021471399999999995e-14
1.146833900000000073e+00,1.128785499999999969e-14
