#wavelength,transmission
1.078249900000000094e+00,2.102318200000000138e-15
1.078440099999999902e+00,2.584099400000000032e-15
1.078630299999999931e+00,3.197275600000000160e-15
1.078820499999999960e+00,3.941846599999999771e-15
1.079010699999999989e+00,4.905409100000000329e-15
1.079200900000000019e+00,6.087963099999999862e-15
1.079391100000000048e+00,7.533306799999999919e-15
1.079581300000000077e+00,9.285238599999999646e-15
1.079771500000000106e+00,1.147515300000000055e-14
1.079961699999999913e+00,1.419064800000000071e-14
1.080151899999999943e+00,1.751931800000000042e-14
1.080342099999999972e+00,2.154876099999999935e-14
1.080532300000000001e+00,2.658556500000000032e-14
1.080722500000000030e+00,3.271732700000000003e-14
1.080912700000000060e+00,4.025063399999999834e-14
1.081102900000000089e+00,4.949207399999999808e-14
1.081293099999999896e+00,6.079203399999999879e-14
1.081483200000000089e+00,7.454469899999999681e-14
1.081673399999999896e+00,9.145084099999999786e-14
1.081863599999999925e+00,1.120798400000000041e-13
1.082053799999999955e+00,1.372638599999999995e-13
1.082243999999999984e+00,1.680102600000000118e-13
1.082434200000000013e+00,2.054140100000000027e-13
1.082624400000000042e+00,2.510080300000000217e-13
1.082814600000000071e+00,3.065004699999999851e-13
1.083004800000000101e+00,3.739498500000000012e-13
1.083194999999999908e+00,4.559402600000000026e-13
1.083385199999999937e+00,5.555375800000000305e-13
1.083575399999999966e+00,6.763332800000000223e-13
1.083765599999999996e+00,8.228385799999999837e-13
1.083955800000000025e+00,1.000353100000000046e-12
1.084146000000000054e+00,1.215227500000000034e-12
1.084336200000000083e+00,1.475170400000000093e-12
1.084526399999999891e+00,1.789423200000000093e-12
1.084716599999999920e+00,2.169066799999999936e-12
1.084906799999999949e+00,2.627284599999999918e-12
1.085096999999999978e+00,3.179975200000000003e-12
1.085287200000000007e+00,3.846147299999999779e-12
1.085477299999999978e+00,4.648488300000000348e-12
1.085667500000000008e+00,5.614065499999999955e-12
1.085857700000000037e+00,6.775245900000000293e-12
1.086047900000000066e+00,8.170615799999999367e-12
1.086238100000000095e+00,9.846207199999999905e-12
1.086428299999999902e+00,1.185672400000000068e-11
1.086618499999999932e+00,1.426738200000000049e-11
1.086808699999999961e+00,1.715557299999999908e-11
1.086998899999999990e+00,2.061340500000000147e-11
1.087189100000000019e+00,2.475006600000000110e-11
1.087379300000000049e+00,2.969515700000000075e-11
1.087569500000000078e+00,3.560232000000000011e-11
1.087759700000000107e+00,4.265340799999999895e-11
1.087949899999999914e+00,5.106364399999999938e-11
1.088140099999999943e+00,6.108758500000000097e-11
1.088330299999999973e+00,7.302603699999999878e-11
1.088520500000000002e+00,8.723385300000000004e-11
1.088710700000000031e+00,1.041299700000000020e-10
1.088900900000000060e+00,1.242079800000000004e-10
1.089091100000000090e+00,1.480494100000000038e-10
1.089281299999999897e+00,1.763385099999999883e-10
1.089471400000000090e+00,2.098799399999999944e-10
1.089661599999999897e+00,2.496192700000000179e-10
1.089851799999999926e+00,2.966667500000000188e-10
1.090041999999999955e+00,3.523247400000000007e-10
1.090232199999999985e+00,4.181200799999999940e-10
1.090422400000000014e+00,4.958411200000000427e-10
1.090612600000000043e+00,5.875811100000000350e-10
1.090802800000000072e+00,6.957878699999999551e-10
1.090993000000000102e+00,8.233220200000000094e-10
1.091183199999999909e+00,9.735236800000000199e-10
1.091373399999999938e+00,1.150289799999999900e-09
1.091563599999999967e+00,1.358163500000000074e-09
1.091753799999999996e+00,1.602436799999999911e-09
1.091944000000000026e+00,1.889269599999999905e-09
1.092134200000000055e+00,2.225825899999999888e-09
1.092324400000000084e+00,2.620430900000000098e-09
1.092514599999999891e+00,3.082752000000000151e-09
1.092704799999999921e+00,3.624006000000000151e-09
1.092894999999999950e+00,4.257196500000000272e-09
1.093085199999999979e+00,4.997387700000000349e-09
1.093275299999999950e+00,5.862016300000000049e-09
1.093465499999999979e+00,6.871249199999999979e-09
1.093655700000000008e+00,8.048392299999999655e-09
1.093845900000000038e+00,9.420358299999999382e-09
1.094036100000000067e+00,1.101819900000000037e-08
1.094226300000000096e+00,1.287771499999999972e-08
1.094416499999999903e+00,1.504014600000000122e-08
1.094606699999999933e+00,1.755296299999999987e-08
1.094796899999999962e+00,2.047076399999999935e-08
1.094987099999999991e+00,2.385629299999999944e-08
1.095177300000000020e+00,2.778159800000000112e-08
1.095367500000000049e+00,3.232934800000000291e-08
1.095557700000000079e+00,3.759431699999999749e-08
1.095747900000000108e+00,4.368507299999999722e-08
1.095938099999999915e+00,5.072588500000000014e-08
1.096128299999999944e+00,5.885887799999999867e-08
1.096318499999999974e+00,6.824646899999999510e-08
1.096508700000000003e+00,7.907411599999999449e-08
1.096698900000000032e+00,9.155341300000000192e-08
1.096889100000000061e+00,1.059255800000000035e-07
1.097079300000000091e+00,1.224654000000000002e-07
1.097269400000000061e+00,1.414856000000000053e-07
1.097459600000000091e+00,1.633418499999999930e-07
1.097649799999999898e+00,1.884383000000000126e-07
1.097839999999999927e+00,2.172338500000000100e-07
1.098030199999999956e+00,2.502490700000000220e-07
1.098220399999999985e+00,2.880741000000000080e-07
1.098410600000000015e+00,3.313773599999999989e-07
1.098600800000000044e+00,3.809152999999999963e-07
1.098791000000000073e+00,4.375433399999999785e-07
1.098981200000000102e+00,5.022279699999999597e-07
1.099171399999999910e+00,5.760603599999999672e-07
1.099361599999999939e+00,6.602713600000000322e-07
1.099551799999999968e+00,7.562483000000000393e-07
1.099741999999999997e+00,8.655535600000000147e-07
1.099932200000000027e+00,9.899452500000000744e-07
1.100122400000000056e+00,1.131400100000000025e-06
1.100312600000000085e+00,1.292138800000000016e-06
1.100502799999999892e+00,1.474654000000000044e-06
1.100692999999999921e+00,1.681741499999999906e-06
1.100883199999999951e+00,1.916534400000000049e-06
