#wavelength,transmission
1.146840099999999918e+00,4.686800500000000258e-15
1.146906800000000004e+00,5.082868100000000044e-15
1.146973599999999927e+00,5.478935799999999812e-15
1.147040300000000013e+00,5.875003400000000387e-15
1.147107099999999935e+00,6.337082400000000376e-15
1.147173800000000021e+00,6.832166899999999714e-15
1.147240599999999944e+00,7.360257100000000731e-15
1.147307300000000030e+00,7.921352900000000291e-15
1.147374099999999952e+00,8.548460000000000071e-15
1.147440800000000038e+00,9.208572800000000742e-15
1.147507599999999961e+00,9.901691200000000744e-15
1.147574300000000047e+00,1.066082099999999937e-14
1.147640999999999911e+00,1.148596199999999982e-14
1.147707800000000056e+00,1.234410799999999970e-14
1.147774499999999920e+00,1.330127200000000051e-14
1.147841300000000064e+00,1.432444700000000003e-14
1.147907999999999928e+00,1.541363299999999982e-14
1.147974800000000073e+00,1.656883000000000146e-14
1.148041499999999937e+00,1.782304400000000105e-14
1.148108300000000082e+00,1.920928100000000102e-14
1.148174999999999946e+00,2.066152899999999969e-14
1.148241800000000090e+00,2.221279399999999946e-14
1.148308499999999954e+00,2.389608099999999979e-14
1.148375300000000099e+00,2.567838600000000105e-14
1.148441999999999963e+00,2.765872400000000156e-14
1.148508700000000049e+00,2.970507399999999743e-14
1.148575499999999971e+00,3.194945700000000201e-14
1.148642200000000058e+00,3.435886800000000009e-14
1.148708999999999980e+00,3.693330799999999781e-14
1.148775700000000066e+00,3.967277600000000164e-14
1.148842499999999989e+00,4.264328299999999767e-14
1.148909200000000075e+00,4.587783600000000075e-14
1.148975999999999997e+00,4.927741599999999751e-14
1.149042700000000083e+00,5.294104200000000132e-14
1.149109500000000006e+00,5.690171900000000215e-14
1.149176200000000092e+00,6.112643999999999778e-14
1.149242899999999956e+00,6.564821199999999674e-14
1.149309700000000101e+00,7.050004100000000145e-14
1.149376399999999965e+00,7.574793700000000448e-14
1.149443200000000109e+00,8.132589000000000063e-14
1.149509899999999973e+00,8.733291599999999752e-14
1.149576699999999896e+00,9.380202099999999755e-14
1.149643399999999982e+00,1.007002000000000044e-13
1.149710199999999904e+00,1.081264699999999941e-13
1.149776899999999991e+00,1.160478200000000091e-13
1.149843699999999913e+00,1.245632700000000059e-13
1.149910399999999999e+00,1.336728300000000079e-13
1.149977199999999922e+00,1.434755099999999986e-13
1.150043900000000008e+00,1.539382899999999907e-13
1.150110600000000094e+00,1.651932099999999910e-13
1.150177400000000016e+00,1.772402699999999994e-13
1.150244100000000103e+00,1.901124700000000069e-13
1.150310900000000025e+00,2.039748400000000003e-13
1.150377599999999889e+00,2.187613600000000014e-13
1.150444400000000034e+00,2.346040700000000170e-13
1.150511099999999898e+00,2.516019699999999945e-13
1.150577900000000042e+00,2.697880799999999968e-13
1.150644599999999906e+00,2.892614000000000219e-13
1.150711400000000051e+00,3.101209700000000100e-13
1.150778099999999915e+00,3.324327800000000076e-13
1.150844800000000001e+00,3.563618699999999871e-13
1.150911599999999924e+00,3.819412299999999792e-13
1.150978300000000010e+00,4.093359099999999923e-13
1.151045099999999932e+00,4.386449200000000098e-13
1.151111800000000018e+00,4.700332799999999825e-13
1.151178599999999941e+00,5.036000099999999804e-13
1.151245300000000027e+00,5.395101499999999758e-13
1.151312099999999949e+00,5.779617099999999502e-13
1.151378800000000036e+00,6.190537300000000455e-13
1.151445599999999958e+00,6.630502500000000302e-13
1.151512300000000044e+00,7.100832799999999542e-13
1.151579099999999967e+00,7.603838700000000098e-13
1.151645800000000053e+00,8.141830599999999996e-13
1.151712499999999917e+00,8.717448899999999949e-13
1.151779300000000061e+00,9.332343900000000834e-13
1.151845999999999925e+00,9.989816199999999359e-13
1.151912800000000070e+00,1.069283599999999921e-12
1.151979499999999934e+00,1.144437500000000090e-12
1.152046300000000079e+00,1.224707199999999937e-12
1.152112999999999943e+00,1.310521799999999983e-12
1.152179800000000087e+00,1.402277499999999929e-12
1.152246499999999951e+00,1.500238200000000049e-12
1.152313300000000096e+00,1.604932099999999908e-12
1.152379999999999960e+00,1.716788199999999969e-12
1.152446700000000046e+00,1.836268599999999808e-12
1.152513499999999969e+00,1.963868400000000078e-12
1.152580200000000055e+00,2.100148700000000151e-12
