#wavelength,transmission
1.899999999999999911e+00,0.000000000000000000e+00
1.900310100000000002e+00,0.000000000000000000e+00
1.900620299999999929e+00,0.000000000000000000e+00
1.900930400000000020e+00,0.000000000000000000e+00
1.901240599999999947e+00,0.000000000000000000e+00
1.901550800000000097e+00,0.000000000000000000e+00
1.901860899999999965e+00,0.000000000000000000e+00
1.902171099999999893e+00,0.000000000000000000e+00
1.902481199999999983e+00,0.000000000000000000e+00
1.902791399999999911e+00,0.000000000000000000e+00
1.903101500000000001e+00,0.000000000000000000e+00
1.903411699999999929e+00,0.000000000000000000e+00
1.903721800000000020e+00,0.000000000000000000e+00
1.904031999999999947e+00,0.000000000000000000e+00
1.904342100000000038e+00,0.000000000000000000e+00
1.904652299999999965e+00,0.000000000000000000e+00
1.904962499999999892e+00,0.000000000000000000e+00
1.905272599999999983e+00,0.000000000000000000e+00
1.905582799999999910e+00,0.000000000000000000e+00
1.905892900000000001e+00,0.000000000000000000e+00
1.906203099999999928e+00,0.000000000000000000e+00
1.906513200000000019e+00,0.000000000000000000e+00
1.906823399999999946e+00,0.000000000000000000e+00
1.907133500000000037e+00,0.000000000000000000e+00
1.907443699999999964e+00,0.000000000000000000e+00
1.907753899999999891e+00,0.000000000000000000e+00
1.908063999999999982e+00,0.000000000000000000e+00
1.908374199999999909e+00,0.000000000000000000e+00
1.908684300000000000e+00,0.000000000000000000e+00
1.908994499999999928e+00,0.000000000000000000e+00
1.909304600000000018e+00,0.000000000000000000e+00
1.909614799999999946e+00,0.000000000000000000e+00
1.909924900000000036e+00,0.000000000000000000e+00
1.910235099999999964e+00,0.000000000000000000e+00
1.910545200000000055e+00,0.000000000000000000e+00
1.910855399999999982e+00,0.000000000000000000e+00
1.911165599999999909e+00,0.000000000000000000e+00
1.911475700000000000e+00,0.000000000000000000e+00
1.911785899999999927e+00,0.000000000000000000e+00
1.912096000000000018e+00,0.000000000000000000e+00
1.912406199999999945e+00,0.000000000000000000e+00
1.912716300000000036e+00,0.000000000000000000e+00
1.913026499999999963e+00,0.000000000000000000e+00
1.913336600000000054e+00,0.000000000000000000e+00
1.913646799999999981e+00,0.000000000000000000e+00
1.913956999999999908e+00,0.000000000000000000e+00
1.914267099999999999e+00,0.000000000000000000e+00
1.914577299999999926e+00,0.000000000000000000e+00
1.914887400000000017e+00,0.000000000000000000e+00
1.915197599999999944e+00,0.000000000000000000e+00
1.915507700000000035e+00,0.000000000000000000e+00
1.915817899999999963e+00,0.000000000000000000e+00
1.916128000000000053e+00,0.000000000000000000e+00
1.916438199999999981e+00,0.000000000000000000e+00
1.916748399999999908e+00,0.000000000000000000e+00
1.917058499999999999e+00,0.000000000000000000e+00
1.917368699999999926e+00,0.000000000000000000e+00
1.917678800000000017e+00,0.000000000000000000e+00
1.917988999999999944e+00,0.000000000000000000e+00
1.918299100000000035e+00,0.000000000000000000e+00
1.918609299999999962e+00,0.000000000000000000e+00
1.918919400000000053e+00,0.000000000000000000e+00
1.919229599999999980e+00,0.000000000000000000e+00
1.919539700000000071e+00,0.000000000000000000e+00
1.919849899999999998e+00,0.000000000000000000e+00
1.920160099999999925e+00,0.000000000000000000e+00
1.920470200000000016e+00,0.000000000000000000e+00
1.920780399999999943e+00,0.000000000000000000e+00
1.921090500000000034e+00,0.000000000000000000e+00
1.921400699999999961e+00,0.000000000000000000e+00
1.921710800000000052e+00,0.000000000000000000e+00
1.922020999999999979e+00,0.000000000000000000e+00
1.922331100000000070e+00,0.000000000000000000e+00
1.922641299999999998e+00,0.000000000000000000e+00
1.922951499999999925e+00,0.000000000000000000e+00
1.923261600000000016e+00,0.000000000000000000e+00
1.923571799999999943e+00,0.000000000000000000e+00
1.923881900000000034e+00,0.000000000000000000e+00
1.924192099999999961e+00,0.000000000000000000e+00
1.924502200000000052e+00,0.000000000000000000e+00
1.924812399999999979e+00,0.000000000000000000e+00
1.925122500000000070e+00,0.000000000000000000e+00
1.925432699999999997e+00,0.000000000000000000e+00
1.925742800000000088e+00,0.000000000000000000e+00
1.926053000000000015e+00,0.000000000000000000e+00
1.926363199999999942e+00,0.000000000000000000e+00
1.926673300000000033e+00,0.000000000000000000e+00
1.926983499999999960e+00,0.000000000000000000e+00
1.927293600000000051e+00,0.000000000000000000e+00
1.927603799999999978e+00,0.000000000000000000e+00
1.927913900000000069e+00,0.000000000000000000e+00
1.928224099999999996e+00,0.000000000000000000e+00
1.928534200000000087e+00,0.000000000000000000e+00
1.928844400000000014e+00,0.000000000000000000e+00
1.929154599999999942e+00,0.000000000000000000e+00
1.929464700000000033e+00,0.000000000000000000e+00
1.929774899999999960e+00,0.000000000000000000e+00
1.930085000000000051e+00,0.000000000000000000e+00
1.930395199999999978e+00,0.000000000000000000e+00
1.930705300000000069e+00,0.000000000000000000e+00
1.931015499999999996e+00,0.000000000000000000e+00
1.931325600000000087e+00,0.000000000000000000e+00
1.931635800000000014e+00,0.000000000000000000e+00
1.931945900000000105e+00,0.000000000000000000e+00
1.932256100000000032e+00,0.000000000000000000e+00
1.932566299999999959e+00,0.000000000000000000e+00
1.932876400000000050e+00,0.000000000000000000e+00
1.933186599999999977e+00,0.000000000000000000e+00
1.933496700000000068e+00,0.000000000000000000e+00
1.933806899999999995e+00,0.000000000000000000e+00
1.934117000000000086e+00,0.000000000000000000e+00
1.934427200000000013e+00,0.000000000000000000e+00
1.934737300000000104e+00,0.000000000000000000e+00
1.935047500000000031e+00,0.000000000000000000e+00
1.935357699999999959e+00,0.000000000000000000e+00
1.935667800000000049e+00,0.000000000000000000e+00
1.935977999999999977e+00,0.000000000000000000e+00
1.936288100000000068e+00,0.000000000000000000e+00
1.936598299999999995e+00,0.000000000000000000e+00
1.936908400000000086e+00,0.000000000000000000e+00
1.937218600000000013e+00,0.000000000000000000e+00
1.937528700000000104e+00,0.000000000000000000e+00
1.937838900000000031e+00,0.000000000000000000e+00
1.938149099999999958e+00,0.000000000000000000e+00
1.938459200000000049e+00,0.000000000000000000e+00
1.938769399999999976e+00,0.000000000000000000e+00
1.939079500000000067e+00,0.000000000000000000e+00
1.939389699999999994e+00,0.000000000000000000e+00
1.939699800000000085e+00,0.000000000000000000e+00
1.940010000000000012e+00,0.000000000000000000e+00
1.940320100000000103e+00,0.000000000000000000e+00
1.940630300000000030e+00,0.000000000000000000e+00
1.940940399999999899e+00,0.000000000000000000e+00
1.941250600000000048e+00,0.000000000000000000e+00
1.941560799999999976e+00,5.305533799999999834e-17
1.941870900000000066e+00,5.305533799999999834e-17
1.942181099999999994e+00,1.061106800000000009e-16
1.942491200000000084e+00,1.061106800000000009e-16
1.942801400000000012e+00,2.122213500000000036e-16
1.943111500000000103e+00,2.652766899999999979e-16
1.943421700000000030e+00,4.244427000000000072e-16
1.943731799999999899e+00,5.836087199999999654e-16
1.944042000000000048e+00,8.488854100000000126e-16
1.944352199999999975e+00,1.167217399999999938e-15
1.944662300000000066e+00,1.697770800000000029e-15
1.944972499999999993e+00,2.440545499999999812e-15
1.945282600000000084e+00,3.395541600000000057e-15
1.945592800000000011e+00,4.881091100000000394e-15
1.945902900000000102e+00,6.897193899999999656e-15
1.946213100000000029e+00,9.762182200000000788e-15
1.946523199999999898e+00,1.379438799999999928e-14
1.946833400000000047e+00,1.947130899999999905e-14
1.947143499999999916e+00,2.737655400000000116e-14
1.947453700000000065e+00,3.851817500000000313e-14
1.947763899999999992e+00,5.390422299999999956e-14
1.948074000000000083e+00,7.544469099999999947e-14
1.948384200000000011e+00,1.052617900000000037e-13
1.948694300000000101e+00,1.466980099999999881e-13
1.949004500000000029e+00,2.039447199999999958e-13
1.949314599999999897e+00,2.830502300000000122e-13
1.949624800000000047e+00,3.920789499999999810e-13
1.949934899999999915e+00,5.419072200000000312e-13
1.950245100000000065e+00,7.476558200000000376e-13
1.950555299999999992e+00,1.029538799999999987e-12
1.950865400000000083e+00,1.414879800000000011e-12
1.951175600000000010e+00,1.940658200000000105e-12
1.951485700000000101e+00,2.656693000000000179e-12
1.951795900000000028e+00,3.629833999999999980e-12
1.952105999999999897e+00,4.949744700000000159e-12
1.952416200000000046e+00,6.736542400000000063e-12
1.952726299999999915e+00,9.150560300000000716e-12
1.953036500000000064e+00,1.240545200000000056e-11
1.953346599999999933e+00,1.678543599999999973e-11
1.953656800000000082e+00,2.266778699999999977e-11
1.953967000000000009e+00,3.055212900000000164e-11
1.954277100000000100e+00,4.109899900000000272e-11
1.954587300000000027e+00,5.517935499999999960e-11
1.954897399999999896e+00,7.394004099999999659e-11
1.955207600000000046e+00,9.888703299999999381e-11
1.955517699999999914e+00,1.319947799999999947e-10
1.955827900000000064e+00,1.758456599999999945e-10
1.956137999999999932e+00,2.338106300000000066e-10
1.956448200000000082e+00,3.102809900000000031e-10
1.956758400000000009e+00,4.109644700000000037e-10
1.957068500000000100e+00,5.432653899999999642e-10
1.957378700000000027e+00,7.167680699999999815e-10
