#wavelength,transmission
2.098929899999999904e+00,0.000000000000000000e+00
2.099099900000000130e+00,0.000000000000000000e+00
2.099269899999999911e+00,0.000000000000000000e+00
2.099439799999999856e+00,0.000000000000000000e+00
2.099609800000000082e+00,0.000000000000000000e+00
2.099779799999999863e+00,0.000000000000000000e+00
2.099949800000000089e+00,0.000000000000000000e+00
2.100119799999999870e+00,0.000000000000000000e+00
2.100289800000000096e+00,0.000000000000000000e+00
2.100459700000000041e+00,0.000000000000000000e+00
2.100629699999999822e+00,0.000000000000000000e+00
2.100799700000000048e+00,0.000000000000000000e+00
2.100969699999999829e+00,0.000000000000000000e+00
2.101139700000000055e+00,0.000000000000000000e+00
2.101309699999999836e+00,0.000000000000000000e+00
2.101479700000000062e+00,0.000000000000000000e+00
2.101649600000000007e+00,0.000000000000000000e+00
2.101819599999999788e+00,0.000000000000000000e+00
2.101989600000000014e+00,0.000000000000000000e+00
2.102159599999999795e+00,0.000000000000000000e+00
2.102329600000000021e+00,0.000000000000000000e+00
2.102499599999999802e+00,0.000000000000000000e+00
2.102669600000000028e+00,0.000000000000000000e+00
2.102839499999999973e+00,0.000000000000000000e+00
2.103009500000000198e+00,0.000000000000000000e+00
2.103179499999999980e+00,0.000000000000000000e+00
2.103349500000000205e+00,0.000000000000000000e+00
2.103519499999999987e+00,0.000000000000000000e+00
2.103689500000000212e+00,0.000000000000000000e+00
2.103859400000000157e+00,0.000000000000000000e+00
2.104029399999999939e+00,0.000000000000000000e+00
2.104199400000000164e+00,0.000000000000000000e+00
2.104369399999999946e+00,0.000000000000000000e+00
2.104539400000000171e+00,0.000000000000000000e+00
2.104709399999999953e+00,0.000000000000000000e+00
2.104879400000000178e+00,0.000000000000000000e+00
2.105049300000000123e+00,0.000000000000000000e+00
2.105219299999999905e+00,0.000000000000000000e+00
2.105389300000000130e+00,0.000000000000000000e+00
2.105559299999999912e+00,0.000000000000000000e+00
2.105729300000000137e+00,0.000000000000000000e+00
2.105899299999999918e+00,0.000000000000000000e+00
2.106069199999999864e+00,0.000000000000000000e+00
2.106239200000000089e+00,0.000000000000000000e+00
2.106409199999999871e+00,0.000000000000000000e+00
2.106579200000000096e+00,0.000000000000000000e+00
2.106749199999999878e+00,0.000000000000000000e+00
2.106919200000000103e+00,0.000000000000000000e+00
2.107089199999999884e+00,0.000000000000000000e+00
2.107259099999999830e+00,0.000000000000000000e+00
2.107429100000000055e+00,0.000000000000000000e+00
2.107599099999999837e+00,0.000000000000000000e+00
2.107769100000000062e+00,0.000000000000000000e+00
2.107939099999999844e+00,0.000000000000000000e+00
2.108109100000000069e+00,0.000000000000000000e+00
2.108279099999999850e+00,0.000000000000000000e+00
2.108448999999999796e+00,0.000000000000000000e+00
2.108619000000000021e+00,0.000000000000000000e+00
2.108788999999999803e+00,0.000000000000000000e+00
2.108959000000000028e+00,0.000000000000000000e+00
2.109128999999999809e+00,0.000000000000000000e+00
2.109299000000000035e+00,0.000000000000000000e+00
2.109468899999999980e+00,0.000000000000000000e+00
2.109638900000000206e+00,0.000000000000000000e+00
2.109808899999999987e+00,0.000000000000000000e+00
2.109978900000000213e+00,0.000000000000000000e+00
2.110148899999999994e+00,0.000000000000000000e+00
2.110318900000000220e+00,0.000000000000000000e+00
2.110488900000000001e+00,0.000000000000000000e+00
2.110658799999999946e+00,0.000000000000000000e+00
2.110828800000000172e+00,0.000000000000000000e+00
2.110998799999999953e+00,0.000000000000000000e+00
2.111168800000000179e+00,0.000000000000000000e+00
2.111338799999999960e+00,0.000000000000000000e+00
2.111508800000000186e+00,0.000000000000000000e+00
2.111678799999999967e+00,0.000000000000000000e+00
2.111848699999999912e+00,0.000000000000000000e+00
2.112018700000000138e+00,0.000000000000000000e+00
2.112188699999999919e+00,0.000000000000000000e+00
2.112358700000000145e+00,0.000000000000000000e+00
2.112528699999999926e+00,0.000000000000000000e+00
2.112698700000000152e+00,0.000000000000000000e+00
2.112868600000000097e+00,0.000000000000000000e+00
2.113038599999999878e+00,0.000000000000000000e+00
2.113208600000000104e+00,0.000000000000000000e+00
2.113378599999999885e+00,0.000000000000000000e+00
2.113548600000000111e+00,0.000000000000000000e+00
2.113718599999999892e+00,0.000000000000000000e+00
2.113888600000000118e+00,0.000000000000000000e+00
2.114058500000000063e+00,0.000000000000000000e+00
2.114228499999999844e+00,0.000000000000000000e+00
2.114398500000000070e+00,0.000000000000000000e+00
2.114568499999999851e+00,0.000000000000000000e+00
2.114738500000000077e+00,0.000000000000000000e+00
2.114908499999999858e+00,0.000000000000000000e+00
2.115078500000000084e+00,0.000000000000000000e+00
2.115248400000000029e+00,0.000000000000000000e+00
2.115418399999999810e+00,0.000000000000000000e+00
2.115588400000000036e+00,0.000000000000000000e+00
2.115758399999999817e+00,0.000000000000000000e+00
2.115928400000000043e+00,0.000000000000000000e+00
2.116098399999999824e+00,0.000000000000000000e+00
2.116268300000000213e+00,0.000000000000000000e+00
2.116438299999999995e+00,0.000000000000000000e+00
