#wavelength,transmission
1.876249999999999973e+00,0.000000000000000000e+00
1.876578400000000091e+00,0.000000000000000000e+00
1.876906699999999928e+00,0.000000000000000000e+00
1.877234999999999987e+00,0.000000000000000000e+00
1.877563400000000104e+00,0.000000000000000000e+00
1.877891699999999942e+00,0.000000000000000000e+00
1.878220100000000059e+00,0.000000000000000000e+00
1.878548399999999896e+00,0.000000000000000000e+00
1.878876699999999955e+00,0.000000000000000000e+00
1.879205100000000073e+00,0.000000000000000000e+00
1.879533399999999910e+00,0.000000000000000000e+00
1.879861800000000027e+00,0.000000000000000000e+00
1.880190100000000086e+00,0.000000000000000000e+00
1.880518399999999923e+00,0.000000000000000000e+00
1.880846800000000041e+00,0.000000000000000000e+00
1.881175100000000100e+00,0.000000000000000000e+00
1.881503499999999995e+00,0.000000000000000000e+00
1.881831800000000054e+00,0.000000000000000000e+00
1.882160099999999892e+00,0.000000000000000000e+00
1.882488500000000009e+00,0.000000000000000000e+00
1.882816800000000068e+00,0.000000000000000000e+00
1.883145199999999964e+00,0.000000000000000000e+00
1.883473500000000023e+00,0.000000000000000000e+00
1.883801800000000082e+00,0.000000000000000000e+00
1.884130199999999977e+00,0.000000000000000000e+00
1.884458500000000036e+00,0.000000000000000000e+00
1.884786800000000095e+00,0.000000000000000000e+00
1.885115199999999991e+00,0.000000000000000000e+00
1.885443500000000050e+00,0.000000000000000000e+00
1.885771899999999945e+00,0.000000000000000000e+00
1.886100200000000005e+00,0.000000000000000000e+00
1.886428500000000064e+00,0.000000000000000000e+00
1.886756899999999959e+00,0.000000000000000000e+00
1.887085200000000018e+00,0.000000000000000000e+00
1.887413599999999914e+00,0.000000000000000000e+00
1.887741899999999973e+00,0.000000000000000000e+00
1.888070200000000032e+00,0.000000000000000000e+00
1.888398599999999927e+00,0.000000000000000000e+00
1.888726899999999986e+00,0.000000000000000000e+00
1.889055300000000104e+00,0.000000000000000000e+00
1.889383599999999941e+00,0.000000000000000000e+00
1.889711900000000000e+00,0.000000000000000000e+00
1.890040299999999895e+00,0.000000000000000000e+00
1.890368599999999955e+00,0.000000000000000000e+00
1.890696900000000014e+00,0.000000000000000000e+00
1.891025299999999909e+00,0.000000000000000000e+00
1.891353599999999968e+00,0.000000000000000000e+00
1.891682000000000086e+00,0.000000000000000000e+00
1.892010299999999923e+00,0.000000000000000000e+00
1.892338599999999982e+00,0.000000000000000000e+00
1.892667000000000099e+00,0.000000000000000000e+00
1.892995299999999936e+00,0.000000000000000000e+00
1.893323700000000054e+00,0.000000000000000000e+00
1.893651999999999891e+00,0.000000000000000000e+00
