#wavelength,transmission
2.026349999999999874e+00,0.000000000000000000e+00
2.026467799999999819e+00,0.000000000000000000e+00
2.026585499999999929e+00,0.000000000000000000e+00
2.026703200000000038e+00,0.000000000000000000e+00
2.026820999999999984e+00,0.000000000000000000e+00
2.026938700000000093e+00,0.000000000000000000e+00
2.027056400000000203e+00,0.000000000000000000e+00
2.027174200000000148e+00,0.000000000000000000e+00
2.027291899999999814e+00,0.000000000000000000e+00
2.027409599999999923e+00,0.000000000000000000e+00
2.027527399999999869e+00,0.000000000000000000e+00
2.027645099999999978e+00,0.000000000000000000e+00
2.027762800000000087e+00,0.000000000000000000e+00
2.027880600000000033e+00,0.000000000000000000e+00
2.027998300000000143e+00,0.000000000000000000e+00
2.028115999999999808e+00,0.000000000000000000e+00
2.028233800000000198e+00,0.000000000000000000e+00
2.028351499999999863e+00,0.000000000000000000e+00
2.028469199999999972e+00,0.000000000000000000e+00
2.028586999999999918e+00,0.000000000000000000e+00
2.028704700000000027e+00,0.000000000000000000e+00
2.028822400000000137e+00,0.000000000000000000e+00
2.028940200000000083e+00,0.000000000000000000e+00
2.029057900000000192e+00,0.000000000000000000e+00
2.029175599999999857e+00,0.000000000000000000e+00
2.029293399999999803e+00,0.000000000000000000e+00
2.029411099999999912e+00,0.000000000000000000e+00
2.029528800000000022e+00,0.000000000000000000e+00
2.029646599999999967e+00,0.000000000000000000e+00
2.029764300000000077e+00,0.000000000000000000e+00
2.029882000000000186e+00,0.000000000000000000e+00
2.029999800000000132e+00,0.000000000000000000e+00
2.030117499999999797e+00,0.000000000000000000e+00
2.030235199999999907e+00,0.000000000000000000e+00
2.030352999999999852e+00,0.000000000000000000e+00
2.030470699999999962e+00,0.000000000000000000e+00
2.030588400000000071e+00,0.000000000000000000e+00
2.030706200000000017e+00,0.000000000000000000e+00
2.030823900000000126e+00,0.000000000000000000e+00
2.030941599999999791e+00,0.000000000000000000e+00
2.031059400000000181e+00,0.000000000000000000e+00
2.031177099999999847e+00,0.000000000000000000e+00
2.031294799999999956e+00,0.000000000000000000e+00
2.031412599999999902e+00,0.000000000000000000e+00
2.031530300000000011e+00,0.000000000000000000e+00
2.031648000000000120e+00,0.000000000000000000e+00
2.031765800000000066e+00,0.000000000000000000e+00
2.031883500000000176e+00,0.000000000000000000e+00
2.032001300000000121e+00,0.000000000000000000e+00
2.032118999999999787e+00,0.000000000000000000e+00
2.032236699999999896e+00,0.000000000000000000e+00
2.032354499999999842e+00,0.000000000000000000e+00
2.032472199999999951e+00,0.000000000000000000e+00
2.032589900000000060e+00,0.000000000000000000e+00
2.032707700000000006e+00,0.000000000000000000e+00
2.032825400000000116e+00,0.000000000000000000e+00
2.032943099999999781e+00,0.000000000000000000e+00
2.033060900000000171e+00,0.000000000000000000e+00
2.033178599999999836e+00,0.000000000000000000e+00
2.033296299999999945e+00,0.000000000000000000e+00
2.033414099999999891e+00,0.000000000000000000e+00
2.033531800000000000e+00,0.000000000000000000e+00
2.033649500000000110e+00,0.000000000000000000e+00
2.033767300000000056e+00,0.000000000000000000e+00
2.033885000000000165e+00,0.000000000000000000e+00
2.034002699999999830e+00,0.000000000000000000e+00
2.034120500000000220e+00,0.000000000000000000e+00
2.034238199999999885e+00,0.000000000000000000e+00
2.034355899999999995e+00,0.000000000000000000e+00
2.034473699999999941e+00,0.000000000000000000e+00
