#wavelength,transmission
1.890500099999999906e+00,0.000000000000000000e+00
1.890762400000000065e+00,0.000000000000000000e+00
1.891024800000000061e+00,0.000000000000000000e+00
1.891287200000000057e+00,0.000000000000000000e+00
1.891549600000000053e+00,0.000000000000000000e+00
1.891812000000000049e+00,0.000000000000000000e+00
1.892074400000000045e+00,0.000000000000000000e+00
1.892336699999999983e+00,0.000000000000000000e+00
1.892599099999999979e+00,0.000000000000000000e+00
1.892861499999999975e+00,0.000000000000000000e+00
1.893123899999999971e+00,0.000000000000000000e+00
1.893386299999999967e+00,0.000000000000000000e+00
1.893648599999999904e+00,0.000000000000000000e+00
1.893910999999999900e+00,0.000000000000000000e+00
1.894173399999999896e+00,0.000000000000000000e+00
1.894435799999999892e+00,0.000000000000000000e+00
1.894698200000000110e+00,0.000000000000000000e+00
1.894960500000000048e+00,0.000000000000000000e+00
1.895222900000000044e+00,0.000000000000000000e+00
1.895485300000000040e+00,0.000000000000000000e+00
1.895747700000000036e+00,0.000000000000000000e+00
1.896010100000000032e+00,0.000000000000000000e+00
1.896272500000000027e+00,0.000000000000000000e+00
1.896534799999999965e+00,0.000000000000000000e+00
1.896797199999999961e+00,0.000000000000000000e+00
1.897059599999999957e+00,0.000000000000000000e+00
1.897321999999999953e+00,0.000000000000000000e+00
1.897584399999999949e+00,0.000000000000000000e+00
1.897846700000000109e+00,0.000000000000000000e+00
1.898109100000000105e+00,0.000000000000000000e+00
1.898371500000000101e+00,0.000000000000000000e+00
1.898633900000000096e+00,0.000000000000000000e+00
1.898896300000000092e+00,0.000000000000000000e+00
1.899158600000000030e+00,0.000000000000000000e+00
1.899421000000000026e+00,0.000000000000000000e+00
1.899683400000000022e+00,0.000000000000000000e+00
1.899945800000000018e+00,0.000000000000000000e+00
1.900208200000000014e+00,0.000000000000000000e+00
1.900470600000000010e+00,0.000000000000000000e+00
1.900732899999999947e+00,0.000000000000000000e+00
1.900995299999999943e+00,0.000000000000000000e+00
1.901257699999999939e+00,0.000000000000000000e+00
1.901520099999999935e+00,0.000000000000000000e+00
1.901782499999999931e+00,0.000000000000000000e+00
