#wavelength,transmission
1.211249900000000101e+00,0.000000000000000000e+00
1.211320600000000081e+00,0.000000000000000000e+00
1.211391200000000001e+00,3.512318699999999984e-17
1.211461799999999922e+00,3.512318699999999984e-17
1.211532400000000065e+00,3.512318699999999984e-17
1.211602999999999986e+00,3.512318699999999984e-17
1.211673599999999906e+00,3.512318699999999984e-17
1.211744200000000049e+00,3.512318699999999984e-17
1.211814799999999970e+00,7.024637499999999458e-17
1.211885399999999890e+00,7.024637499999999458e-17
1.211956100000000092e+00,7.024637499999999458e-17
1.212026700000000012e+00,7.024637499999999458e-17
1.212097299999999933e+00,7.024637499999999458e-17
1.212167900000000076e+00,7.024637499999999458e-17
1.212238499999999997e+00,7.024637499999999458e-17
1.212309099999999917e+00,7.024637499999999458e-17
1.212379700000000060e+00,7.024637499999999458e-17
1.212450299999999981e+00,1.053695600000000046e-16
1.212520899999999902e+00,1.053695600000000046e-16
1.212591500000000044e+00,1.404927499999999892e-16
1.212662200000000023e+00,1.404927499999999892e-16
1.212732799999999944e+00,1.404927499999999892e-16
1.212803400000000087e+00,1.404927499999999892e-16
1.212874000000000008e+00,1.756159399999999983e-16
1.212944599999999928e+00,1.756159399999999983e-16
1.213015200000000071e+00,2.107391200000000093e-16
1.213085799999999992e+00,2.107391200000000093e-16
1.213156399999999913e+00,2.107391200000000093e-16
1.213227000000000055e+00,2.809854999999999783e-16
1.213297599999999976e+00,2.809854999999999783e-16
1.213368299999999955e+00,2.809854999999999783e-16
1.213438900000000098e+00,3.512318699999999984e-16
1.213509500000000019e+00,3.512318699999999984e-16
1.213580099999999939e+00,3.863550599999999830e-16
1.213650700000000082e+00,4.214782500000000168e-16
1.213721300000000003e+00,4.566014400000000013e-16
1.213791899999999924e+00,4.917246199999999876e-16
1.213862500000000066e+00,5.619709999999999566e-16
1.213933099999999987e+00,5.619709999999999566e-16
1.214003699999999908e+00,6.322173700000000261e-16
1.214074400000000109e+00,7.024637499999999951e-16
1.214145000000000030e+00,7.375869399999999796e-16
1.214215599999999950e+00,8.078333100000000490e-16
1.214286200000000093e+00,8.780796900000000181e-16
1.214356800000000014e+00,9.483260600000000875e-16
1.214427399999999935e+00,1.053695599999999948e-15
1.214498000000000077e+00,1.123941999999999913e-15
1.214568599999999998e+00,1.194188400000000076e-15
1.214639199999999919e+00,1.334681100000000025e-15
1.214709899999999898e+00,1.404927499999999990e-15
1.214780500000000041e+00,1.545420199999999939e-15
1.214851099999999962e+00,1.685913000000000067e-15
1.214921700000000104e+00,1.826405700000000016e-15
1.214992300000000025e+00,1.966898499999999947e-15
1.215062899999999946e+00,2.107391199999999896e-15
1.215133500000000089e+00,2.318130399999999989e-15
1.215204100000000009e+00,2.493746299999999822e-15
1.215274699999999930e+00,2.704485399999999934e-15
1.215345300000000073e+00,2.950347699999999929e-15
1.215416000000000052e+00,3.161086900000000023e-15
1.215486599999999973e+00,3.442072399999999902e-15
1.215557199999999893e+00,3.723057899999999782e-15
1.215627800000000036e+00,4.039166600000000335e-15
1.215698399999999957e+00,4.355275200000000117e-15
1.215769000000000100e+00,4.706507099999999764e-15
1.215839600000000020e+00,5.127985399999999969e-15
1.215910199999999941e+00,5.549463600000000192e-15
1.215980800000000084e+00,5.970941899999999609e-15
1.216051400000000005e+00,6.462666500000000389e-15
1.216122099999999984e+00,7.024637500000000148e-15
1.216192699999999904e+00,7.586608500000000696e-15
1.216263300000000047e+00,8.218825900000000224e-15
1.216333899999999968e+00,8.886166399999999654e-15
1.216404500000000111e+00,9.623753400000000411e-15
1.216475100000000031e+00,1.039646299999999958e-14
1.216545699999999952e+00,1.123941999999999992e-14
1.216616300000000095e+00,1.215262300000000010e-14
1.216686900000000016e+00,1.313607200000000012e-14
1.216757599999999995e+00,1.418976799999999980e-14
1.216828199999999915e+00,1.534883300000000081e-14
1.216898800000000058e+00,1.657814400000000009e-14
1.216969399999999979e+00,1.791282599999999877e-14
1.217039999999999900e+00,1.938799900000000047e-14
1.217110600000000042e+00,2.093341999999999849e-14
1.217181199999999963e+00,2.261933299999999934e-14
1.217251800000000106e+00,2.441061499999999996e-14
1.217322400000000027e+00,2.637751399999999982e-14
1.217392999999999947e+00,2.848490500000000251e-14
1.217463699999999927e+00,3.076791200000000147e-14
1.217534300000000069e+00,3.322653499999999984e-14
1.217604899999999990e+00,3.586077399999999764e-14
1.217675499999999911e+00,3.870575300000000091e-14
1.217746100000000053e+00,4.179659299999999731e-14
1.217816699999999974e+00,4.509817299999999919e-14
1.217887299999999895e+00,4.868073800000000024e-14
1.217957900000000038e+00,5.254428800000000047e-14
1.218028499999999958e+00,5.668882499999999953e-14
1.218099100000000101e+00,6.114946899999999786e-14
1.218169800000000080e+00,6.596134600000000117e-14
1.218240400000000001e+00,7.115957799999999693e-14
1.218310999999999922e+00,7.674416499999999775e-14
1.218381600000000065e+00,8.275022999999999727e-14
1.218452199999999985e+00,8.924801899999999530e-14
1.218522799999999906e+00,9.623753400000000411e-14
1.218593400000000049e+00,1.037539000000000043e-13
1.218663999999999970e+00,1.118322300000000040e-13
1.218734599999999890e+00,1.205427799999999885e-13
1.218805300000000091e+00,1.299557899999999967e-13
1.218875900000000012e+00,1.400361500000000010e-13
1.218946499999999933e+00,1.508892100000000047e-13
1.219017100000000076e+00,1.625852300000000049e-13
1.219087699999999996e+00,1.751593400000000005e-13
1.219158299999999917e+00,1.886817599999999959e-13
1.219228900000000060e+00,2.032578899999999980e-13
1.219299499999999981e+00,2.188876999999999994e-13
1.219370099999999901e+00,2.357468300000000080e-13
1.219440700000000044e+00,2.538703999999999862e-13
1.219511400000000023e+00,2.733286400000000001e-13
1.219581999999999944e+00,2.942620600000000080e-13
1.219652600000000087e+00,3.168111499999999975e-13
1.219723200000000007e+00,3.409758999999999830e-13
1.219793799999999928e+00,3.670021900000000235e-13
1.219864400000000071e+00,3.949602400000000227e-13
1.219934999999999992e+00,4.249905699999999752e-13
1.220005599999999912e+00,4.572687799999999716e-13
1.220076200000000055e+00,4.919353600000000499e-13
1.220146799999999976e+00,5.292361900000000166e-13
1.220217499999999955e+00,5.692414999999999630e-13
1.220288100000000098e+00,6.122322799999999504e-13
1.220358700000000018e+00,6.583841500000000406e-13
1.220429299999999939e+00,7.079780900000000065e-13
1.220499900000000082e+00,7.611897200000000109e-13
1.220570500000000003e+00,8.183702699999999898e-13
1.220641099999999923e+00,8.796953500000000195e-13
1.220711700000000066e+00,9.455864499999999830e-13
1.220782299999999987e+00,1.016254300000000096e-12
1.220852899999999908e+00,1.092120400000000024e-12
