#wavelength,transmission
1.211249900000000101e+00,0.000000000000000000e+00
1.211331099999999994e+00,3.512310000000000072e-17
1.211412200000000050e+00,3.512310000000000072e-17
1.211493300000000106e+00,3.512310000000000072e-17
1.211574399999999940e+00,3.512310000000000072e-17
1.211655499999999996e+00,3.512310000000000072e-17
1.211736600000000053e+00,3.512310000000000072e-17
1.211817799999999945e+00,7.024620000000000143e-17
1.211898900000000001e+00,7.024620000000000143e-17
1.211980000000000057e+00,7.024620000000000143e-17
1.212061099999999891e+00,7.024620000000000143e-17
1.212142199999999947e+00,7.024620000000000143e-17
1.212223300000000004e+00,7.024620000000000143e-17
1.212304400000000060e+00,7.024620000000000143e-17
1.212385599999999952e+00,7.024620000000000143e-17
1.212466700000000008e+00,1.053693000000000021e-16
1.212547800000000064e+00,1.404924000000000029e-16
1.212628899999999899e+00,1.404924000000000029e-16
1.212709999999999955e+00,1.404924000000000029e-16
1.212791100000000011e+00,1.404924000000000029e-16
1.212872299999999903e+00,1.756155000000000036e-16
1.212953399999999959e+00,2.107386000000000043e-16
1.213034500000000016e+00,2.107386000000000043e-16
1.213115600000000072e+00,2.107386000000000043e-16
1.213196699999999906e+00,2.458617000000000050e-16
1.213277799999999962e+00,2.809848000000000057e-16
1.213359000000000076e+00,2.809848000000000057e-16
1.213440099999999910e+00,3.512310000000000072e-16
1.213521199999999967e+00,3.512310000000000072e-16
1.213602300000000023e+00,4.214772000000000086e-16
1.213683400000000079e+00,4.214772000000000086e-16
1.213764499999999913e+00,4.917234000000000100e-16
1.213845599999999969e+00,5.268465000000000107e-16
1.213926800000000084e+00,5.619696000000000115e-16
1.214007899999999918e+00,6.322158000000000129e-16
1.214088999999999974e+00,7.024620000000000143e-16
1.214170100000000030e+00,7.727082000000000158e-16
1.214251200000000086e+00,8.429544000000000172e-16
1.214332299999999920e+00,9.132006000000000186e-16
1.214413500000000035e+00,1.018569899999999922e-15
1.214494600000000091e+00,1.123939200000000023e-15
1.214575699999999925e+00,1.229308499999999926e-15
1.214656799999999981e+00,1.334677800000000027e-15
1.214737900000000037e+00,1.475170200000000030e-15
1.214819000000000093e+00,1.615662600000000033e-15
1.214900099999999927e+00,1.756155000000000036e-15
1.214981300000000042e+00,1.966893600000000040e-15
1.215062400000000098e+00,2.107386000000000043e-15
1.215143499999999932e+00,2.318124599999999850e-15
1.215224599999999988e+00,2.563986299999999954e-15
1.215305700000000044e+00,2.809848000000000057e-15
1.215386800000000100e+00,3.090832800000000063e-15
1.215467999999999993e+00,3.371817600000000069e-15
1.215549100000000049e+00,3.687925499999999977e-15
1.215630200000000105e+00,4.039156499999999787e-15
1.215711299999999939e+00,4.425510600000000287e-15
1.215792399999999995e+00,4.846987799999999902e-15
1.215873500000000051e+00,5.338711200000000109e-15
1.215954699999999944e+00,5.830434600000000316e-15
1.216035800000000000e+00,6.392404200000000328e-15
1.216116900000000056e+00,6.954373800000000339e-15
1.216197999999999890e+00,7.656835800000000748e-15
1.216279099999999946e+00,8.359297800000000368e-15
1.216360200000000003e+00,9.132005999999999792e-15
1.216441300000000059e+00,1.001008400000000041e-14
1.216522499999999951e+00,1.095840699999999947e-14
1.216603600000000007e+00,1.197697699999999977e-14
1.216684700000000063e+00,1.310091599999999983e-14
1.216765799999999897e+00,1.433022500000000105e-14
1.216846899999999954e+00,1.566490300000000044e-14
1.216928000000000010e+00,1.714007299999999952e-14
1.217009199999999902e+00,1.872061200000000152e-14
1.217090299999999958e+00,2.044164399999999986e-14
1.217171400000000014e+00,2.233829200000000078e-14
1.217252500000000071e+00,2.444567800000000122e-14
1.217333599999999905e+00,2.669355600000000133e-14
1.217414699999999961e+00,2.915217300000000079e-14
1.217495800000000017e+00,3.185665199999999951e-14
1.217576999999999909e+00,3.477186899999999775e-14
1.217658099999999965e+00,3.800319400000000140e-14
1.217739200000000022e+00,4.148038099999999800e-14
1.217820300000000078e+00,4.527367600000000002e-14
1.217901399999999912e+00,4.941820200000000105e-14
1.217982499999999968e+00,5.394908200000000103e-14
1.218063700000000082e+00,5.886631599999999995e-14
1.218144799999999917e+00,6.420502700000000403e-14
1.218225899999999973e+00,7.003546100000000051e-14
1.218307000000000029e+00,7.642786600000000149e-14
1.218388100000000085e+00,8.334711599999999495e-14
1.218469199999999919e+00,9.089858300000000537e-14
1.218550299999999975e+00,9.911738800000000147e-14
1.218631500000000090e+00,1.080386600000000010e-13
1.218712599999999924e+00,1.177677500000000007e-13
1.218793699999999980e+00,1.283398100000000079e-13
1.218874800000000036e+00,1.398601799999999896e-13
1.218955900000000092e+00,1.524342499999999924e-13
1.219036999999999926e+00,1.660620199999999910e-13
1.219118200000000041e+00,1.808839700000000125e-13
