#wavelength,transmission
9.215000300000000255e-01,7.084542199999999676e-12
9.216010799999999614e-01,7.826796799999999497e-12
9.217021300000000084e-01,8.645071700000000615e-12
9.218031800000000553e-01,9.546884199999999808e-12
9.219042299999999912e-01,1.054064500000000067e-11
9.220052800000000381e-01,1.163542099999999948e-11
9.221063299999999741e-01,1.284126700000000056e-11
9.222073800000000210e-01,1.416917800000000007e-11
9.223084299999999569e-01,1.563113500000000113e-11
9.224094800000000038e-01,1.724043399999999855e-11
9.225105300000000508e-01,1.901145199999999887e-11
9.226115799999999867e-01,2.096006999999999956e-11
9.227126300000000336e-01,2.310367199999999978e-11
9.228136799999999695e-01,2.546124000000000027e-11
9.229147399999999557e-01,2.805353900000000027e-11
9.230157900000000026e-01,3.090350000000000216e-11
9.231168400000000496e-01,3.403592900000000180e-11
9.232178899999999855e-01,3.747817100000000021e-11
9.233189400000000324e-01,4.125996700000000184e-11
9.234199899999999683e-01,4.541406500000000214e-11
9.235210400000000153e-01,4.997612599999999792e-11
9.236220899999999512e-01,5.498509899999999704e-11
9.237231399999999981e-01,6.048364600000000523e-11
9.238241900000000451e-01,6.651832900000000483e-11
9.239252399999999810e-01,7.314003100000000392e-11
9.240262900000000279e-01,8.040442900000000561e-11
9.241273399999999638e-01,8.837208400000000192e-11
9.242283900000000108e-01,9.710924400000000424e-11
9.243294399999999467e-01,1.066883600000000052e-10
9.244304899999999936e-01,1.171881700000000015e-10
9.245315400000000405e-01,1.286948600000000109e-10
9.246325899999999764e-01,1.413022900000000094e-10
9.247336499999999626e-01,1.551128400000000057e-10
9.248347000000000095e-01,1.702381900000000004e-10
9.249357499999999455e-01,1.867999400000000079e-10
9.250367999999999924e-01,2.049307700000000020e-10
9.251378500000000393e-01,2.247750999999999872e-10
9.252388999999999752e-01,2.464903500000000017e-10
9.253399500000000222e-01,2.702478500000000099e-10
9.254409999999999581e-01,2.962342299999999935e-10
9.255420500000000050e-01,3.246526000000000127e-10
9.256431000000000520e-01,3.557240700000000235e-10
9.257441499999999879e-01,3.896890999999999980e-10
9.258452000000000348e-01,4.268094399999999844e-10
9.259462499999999707e-01,4.673695299999999847e-10
9.260473000000000177e-01,5.116789100000000404e-10
9.261483499999999536e-01,5.600738800000000276e-10
9.262494000000000005e-01,6.129201700000000221e-10
9.263504500000000474e-01,6.706149299999999620e-10
9.264514999999999834e-01,7.335897200000000420e-10
9.265525599999999695e-01,8.023133899999999986e-10
9.266536100000000165e-01,8.772948699999999571e-10
9.267546599999999524e-01,9.590867900000000147e-10
9.268557099999999993e-01,1.048288999999999998e-09
9.269567600000000462e-01,1.145552299999999946e-09
9.270578099999999822e-01,1.251582900000000029e-09
9.271588600000000291e-01,1.367146699999999960e-09
9.272599099999999650e-01,1.493074400000000053e-09
9.273609600000000119e-01,1.630266499999999914e-09
9.274620099999999479e-01,1.779699199999999917e-09
9.275630599999999948e-01,1.942430299999999973e-09
9.276641100000000417e-01,2.119605999999999846e-09
9.277651599999999776e-01,2.312467900000000135e-09
9.278662100000000246e-01,2.522360400000000090e-09
9.279672599999999605e-01,2.750739499999999794e-09
9.280683100000000074e-01,2.999181099999999914e-09
9.281693600000000544e-01,3.269390799999999860e-09
9.282704200000000405e-01,3.563213800000000118e-09
9.283714699999999764e-01,3.882646499999999740e-09
9.284725200000000234e-01,4.229848100000000044e-09
9.285735699999999593e-01,4.607153000000000293e-09
9.286746200000000062e-01,5.017084900000000123e-09
9.287756700000000532e-01,5.462371599999999712e-09
9.288767199999999891e-01,5.945960399999999724e-09
9.289777700000000360e-01,6.471035200000000145e-09
9.290788199999999719e-01,7.041035399999999688e-09
9.291798700000000188e-01,7.659674200000000801e-09
9.292809199999999548e-01,8.330960699999999339e-09
9.293819700000000017e-01,9.059222099999999915e-09
9.294830200000000486e-01,9.849127900000000453e-09
9.295840699999999845e-01,1.070571600000000050e-08
9.296851200000000315e-01,1.163441899999999971e-08
9.297861699999999674e-01,1.264109699999999999e-08
9.298872200000000143e-01,1.373206699999999999e-08
9.299882699999999502e-01,1.491413800000000138e-08
9.300893300000000474e-01,1.619464800000000072e-08
9.301903799999999833e-01,1.758150299999999861e-08
9.302914300000000303e-01,1.908321799999999956e-08
9.303924799999999662e-01,2.070896399999999880e-08
9.304935300000000131e-01,2.246861500000000058e-08
9.305945799999999490e-01,2.437279800000000106e-08
9.306956299999999960e-01,2.643295100000000012e-08
9.307966800000000429e-01,2.866138100000000004e-08
9.308977299999999788e-01,3.107132500000000179e-08
9.309987800000000258e-01,3.367701900000000050e-08
9.310998299999999617e-01,3.649377200000000251e-08
9.312008800000000086e-01,3.953803700000000161e-08
9.313019299999999445e-01,4.282749699999999989e-08
9.314029799999999915e-01,4.638115500000000329e-08
9.315040300000000384e-01,5.021942099999999977e-08
9.316050799999999743e-01,5.436421599999999900e-08
9.317061300000000212e-01,5.883907800000000004e-08
9.318071799999999572e-01,6.366927500000000418e-08
9.319082400000000543e-01,6.888192600000000386e-08
9.320092899999999903e-01,7.450612799999999341e-08
9.321103400000000372e-01,8.057309800000000105e-08
9.322113899999999731e-01,8.711631500000000183e-08
9.323124400000000200e-01,9.417167800000000105e-08
9.324134899999999559e-01,1.017776699999999939e-07
9.325145400000000029e-01,1.099755500000000004e-07
9.326155900000000498e-01,1.188095000000000025e-07
9.327166399999999857e-01,1.283268700000000131e-07
9.328176900000000327e-01,1.385783899999999971e-07
9.329187399999999686e-01,1.496183599999999924e-07
9.330197900000000155e-01,1.615049100000000070e-07
9.331208399999999514e-01,1.743002699999999925e-07
9.332218899999999984e-01,1.880710299999999934e-07
9.333229400000000453e-01,2.028884099999999884e-07
9.334239899999999812e-01,2.188286099999999951e-07
9.335250400000000282e-01,2.359731200000000033e-07
9.336261000000000143e-01,2.544090200000000050e-07
9.337271499999999502e-01,2.742294200000000016e-07
9.338281999999999972e-01,2.955338199999999869e-07
9.339292500000000441e-01,3.184284900000000016e-07
9.340302999999999800e-01,3.430269699999999889e-07
9.341313500000000269e-01,3.694504899999999936e-07
9.342323999999999629e-01,3.978284800000000014e-07
9.343334500000000098e-01,4.282990900000000246e-07
9.344344999999999457e-01,4.610097500000000164e-07
9.345355499999999926e-01,4.961177500000000155e-07
9.346366000000000396e-01,5.337908500000000301e-07
9.347376499999999755e-01,5.742079499999999798e-07
9.348387000000000224e-01,6.175597999999999949e-07
9.349397499999999583e-01,6.640496999999999908e-07
9.350408000000000053e-01,7.138943099999999598e-07
9.351418500000000522e-01,7.673244500000000137e-07
9.352428999999999881e-01,8.245860000000000491e-07
9.353439500000000351e-01,8.859407799999999748e-07
9.354450100000000212e-01,9.516675499999999513e-07
9.355460599999999571e-01,1.022062999999999958e-06
9.356471100000000041e-01,1.097442999999999989e-06
9.357481600000000510e-01,1.178143299999999940e-06
9.358492099999999869e-01,1.264521400000000046e-06
9.359502600000000339e-01,1.356957200000000056e-06
9.360513099999999698e-01,1.455854800000000051e-06
9.361523600000000167e-01,1.561643500000000043e-06
9.362534099999999526e-01,1.674779899999999974e-06
9.363544599999999996e-01,1.795748599999999921e-06
9.364555100000000465e-01,1.925064699999999851e-06
9.365565599999999824e-01,2.063275200000000042e-06
9.366576100000000293e-01,2.210960599999999893e-06
9.367586599999999653e-01,2.368737400000000012e-06
9.368597100000000122e-01,2.537259599999999816e-06
9.369607599999999481e-01,2.717220999999999950e-06
9.370618099999999950e-01,2.909357899999999794e-06
9.371628600000000420e-01,3.114450599999999945e-06
9.372639200000000281e-01,3.333326800000000149e-06
9.373649699999999640e-01,3.566863600000000200e-06
9.374660200000000110e-01,3.815990500000000238e-06
9.375670699999999469e-01,4.081692399999999776e-06
9.376681199999999938e-01,4.365012399999999801e-06
9.377691700000000408e-01,4.667054999999999991e-06
9.378702199999999767e-01,4.988989900000000214e-06
9.379712700000000236e-01,5.332054699999999736e-06
9.380723199999999595e-01,5.697559500000000350e-06
9.381733700000000065e-01,6.086890100000000203e-06
9.382744200000000534e-01,6.501512199999999711e-06
9.383754699999999893e-01,6.942975899999999670e-06
9.384765200000000362e-01,7.412920000000000339e-06
9.385775699999999722e-01,7.913076399999999615e-06
9.386786200000000191e-01,8.445275599999999851e-06
9.387796699999999550e-01,9.011450999999999316e-06
9.388807200000000019e-01,9.613645000000000347e-06
9.389817799999999881e-01,1.025401400000000038e-05
9.390828300000000350e-01,1.093483499999999981e-05
9.391838799999999710e-01,1.165851199999999975e-05
9.392849300000000179e-01,1.242757799999999921e-05
9.393859799999999538e-01,1.324470999999999944e-05
9.394870300000000007e-01,1.411272900000000059e-05
9.395880800000000477e-01,1.503461000000000071e-05
9.396891299999999836e-01,1.601348799999999890e-05
9.397901800000000305e-01,1.705266899999999873e-05
9.398912299999999664e-01,1.815563600000000128e-05
9.399922800000000134e-01,1.932605700000000022e-05
9.400933299999999493e-01,2.056779700000000165e-05
9.401943799999999962e-01,2.188492300000000073e-05
9.402954300000000432e-01,2.328171899999999968e-05
9.403964799999999791e-01,2.476269100000000133e-05
9.404975300000000260e-01,2.633258299999999941e-05
9.405985799999999619e-01,2.799638199999999924e-05
9.406996300000000089e-01,2.975933500000000058e-05
9.408006899999999950e-01,3.162695700000000301e-05
9.409017400000000420e-01,3.360504600000000012e-05
9.410027899999999779e-01,3.569969600000000217e-05
9.411038400000000248e-01,3.791730799999999885e-05
9.412048899999999607e-01,4.026460599999999706e-05
9.413059400000000077e-01,4.274865099999999879e-05
9.414069900000000546e-01,4.537685699999999820e-05
9.415080399999999905e-01,4.815700300000000145e-05
9.416090900000000374e-01,5.109725499999999974e-05
9.417101399999999733e-01,5.420618000000000148e-05
9.418111900000000203e-01,5.749275999999999671e-05
9.419122399999999562e-01,6.096641800000000220e-05
9.420132900000000031e-01,6.463702699999999848e-05
9.421143400000000501e-01,6.851494099999999566e-05
9.422153899999999860e-01,7.261100200000000543e-05
9.423164400000000329e-01,7.693657399999999336e-05
9.424174899999999688e-01,8.150355299999999476e-05
9.425185400000000158e-01,8.632439800000000433e-05
9.426196000000000019e-01,9.141214999999999519e-05
9.427206500000000489e-01,9.678045500000000308e-05
9.428216999999999848e-01,1.024435899999999954e-04
9.429227500000000317e-01,1.084164899999999937e-04
9.430237999999999676e-01,1.147147800000000001e-04
9.431248500000000146e-01,1.213547800000000043e-04
9.432258999999999505e-01,1.283535600000000078e-04
9.433269499999999974e-01,1.357289499999999975e-04
9.434280000000000443e-01,1.434995799999999892e-04
9.435290499999999803e-01,1.516849099999999890e-04
9.436301000000000272e-01,1.603052600000000089e-04
9.437311499999999631e-01,1.693818299999999869e-04
9.438322000000000100e-01,1.789367600000000083e-04
9.439332499999999460e-01,1.889931300000000070e-04
9.440342999999999929e-01,1.995750500000000028e-04
9.441353500000000398e-01,2.107076199999999896e-04
9.442363999999999757e-01,2.224170499999999985e-04
9.443374599999999619e-01,2.347306200000000135e-04
9.444385100000000088e-01,2.476767799999999783e-04
9.445395599999999448e-01,2.612851799999999750e-04
9.446406099999999917e-01,2.755866599999999924e-04
9.447416600000000386e-01,2.906133599999999751e-04
9.448427099999999745e-01,3.063987400000000140e-04
9.449437600000000215e-01,3.229776200000000243e-04
9.450448099999999574e-01,3.403862100000000046e-04
9.451458600000000043e-01,3.586621899999999888e-04
9.452469100000000513e-01,3.778447399999999802e-04
9.453479599999999872e-01,3.979745999999999826e-04
9.454490100000000341e-01,4.190940899999999751e-04
9.455500599999999700e-01,4.412471999999999857e-04
9.456511100000000170e-01,4.644796400000000000e-04
9.457521599999999529e-01,4.888388600000000443e-04
9.458532099999999998e-01,5.143741299999999737e-04
9.459542600000000467e-01,5.411365999999999919e-04
9.460553099999999827e-01,5.691793300000000432e-04
9.461563699999999688e-01,5.985574000000000233e-04
9.462574200000000157e-01,6.293279099999999964e-04
9.463584699999999517e-01,6.615500700000000525e-04
9.464595199999999986e-01,6.952852700000000273e-04
9.465605700000000455e-01,7.305971199999999931e-04
9.466616199999999814e-01,7.675515100000000193e-04
9.467626700000000284e-01,8.062167199999999492e-04
9.468637199999999643e-01,8.466634399999999712e-04
9.469647700000000112e-01,8.889648400000000131e-04
9.470658199999999471e-01,9.331966499999999652e-04
9.471668699999999941e-01,9.794372400000000110e-04
9.472679200000000410e-01,1.027767699999999982e-03
9.473689699999999769e-01,1.078271700000000026e-03
9.474700200000000239e-01,1.131036100000000011e-03
9.475710699999999598e-01,1.186150300000000067e-03
9.476721200000000067e-01,1.243706800000000078e-03
9.477731700000000536e-01,1.303801399999999968e-03
9.478742199999999896e-01,1.366532599999999934e-03
9.479752799999999757e-01,1.432002300000000030e-03
9.480763300000000227e-01,1.500315799999999951e-03
9.481773799999999586e-01,1.571581600000000051e-03
9.482784300000000055e-01,1.645911600000000106e-03
9.483794800000000524e-01,1.723421099999999971e-03
9.484805299999999884e-01,1.804229299999999961e-03
9.485815800000000353e-01,1.888458800000000033e-03
9.486826299999999712e-01,1.976235900000000104e-03
9.487836800000000181e-01,2.067690799999999905e-03
9.488847299999999541e-01,2.162957599999999845e-03
9.489857800000000010e-01,2.262174200000000111e-03
9.490868300000000479e-01,2.365482700000000153e-03
9.491878799999999838e-01,2.473029099999999886e-03
9.492889300000000308e-01,2.584963799999999857e-03
9.493899799999999667e-01,2.701441299999999841e-03
9.494910300000000136e-01,2.822620400000000213e-03
9.495920799999999495e-01,2.948664399999999849e-03
9.496931400000000467e-01,3.079740999999999989e-03
9.497941899999999826e-01,3.216022399999999941e-03
9.498952400000000296e-01,3.357685600000000214e-03
9.499962899999999655e-01,3.504911900000000184e-03
9.500973400000000124e-01,3.657887700000000096e-03
9.501983899999999483e-01,3.816804100000000064e-03
9.502994399999999953e-01,3.981857000000000105e-03
9.504004900000000422e-01,4.153247199999999736e-03
9.505015399999999781e-01,4.331180700000000251e-03
9.506025900000000251e-01,4.515868299999999808e-03
9.507036399999999610e-01,4.707526099999999672e-03
9.508046900000000079e-01,4.906375299999999814e-03
9.509057400000000548e-01,5.112642300000000244e-03
9.510067899999999907e-01,5.326558700000000139e-03
9.511078400000000377e-01,5.548361600000000123e-03
9.512088899999999736e-01,5.778293200000000386e-03
9.513099400000000205e-01,6.016601400000000030e-03
9.514109899999999564e-01,6.263539299999999928e-03
9.515120500000000536e-01,6.519365499999999793e-03
9.516130999999999895e-01,6.784344099999999912e-03
9.517141500000000365e-01,7.058744999999999950e-03
