#wavelength,transmission
8.787500000000000311e-01,9.674646084256721937e-11
8.790142571285642914e-01,1.224026380253206929e-10
8.792785142571285517e-01,1.546633821014609267e-10
8.795427713856929230e-01,1.951753758611118883e-10
8.798070285142571834e-01,2.459821346612045648e-10
8.800712856428214437e-01,3.096159828519518090e-10
8.803355427713857040e-01,3.892105138181278686e-10
8.805997998999499643e-01,4.886378801582935694e-10
8.808640570285143356e-01,6.126767093661556125e-10
8.811283141570785959e-01,7.672154411775267756e-10
8.813925712856428563e-01,9.595004291096388133e-10
8.816568284142071166e-01,1.198436599958441207e-09
8.819210855427713769e-01,1.494951562541757498e-09
8.821853426713357482e-01,1.862436654898047633e-09
8.824495997999000085e-01,2.317279268471139796e-09
8.827138569284642688e-01,2.879505234254509353e-09
8.829781140570285292e-01,3.573552354030340604e-09
8.832423711855927895e-01,4.429200806121969312e-09
8.835066283141571608e-01,5.482690051961114364e-09
8.837708854427214211e-01,6.778058114775831200e-09
8.840351425712856814e-01,8.368744547349039160e-09
8.842993996998499417e-01,1.031950659924341162e-08
8.845636568284142021e-01,1.270870578773397564e-08
8.848279139569785734e-01,1.563103231849716290e-08
8.850921710855428337e-01,1.920074664263360309e-08
8.853564282141070940e-01,2.355552947697070597e-08
8.856206853426713543e-01,2.886104850108317653e-08
8.858849424712356146e-01,3.531636563192108592e-08
8.861491995997999860e-01,4.316033000995034418e-08
8.864134567283642463e-01,5.267912511208727589e-08
8.866777138569285066e-01,6.421516288712681670e-08
8.869419709854927669e-01,7.817755058314723991e-08
8.872062281140570272e-01,9.505438711143732178e-08
8.874704852426213986e-01,1.154271872583212479e-07
8.877347423711856589e-01,1.399877738728072529e-07
8.879989994997499192e-01,1.695580293670229111e-07
8.882632566283141795e-01,2.051129526725592509e-07
8.885275137568784398e-01,2.478075326939333179e-07
8.887917708854427001e-01,2.990080177456277860e-07
8.890560280140070715e-01,3.603282419439857377e-07
8.893202851425713318e-01,4.336717574049408946e-07
8.895845422711355921e-01,5.212806196697172822e-07
8.898487993996998524e-01,6.257917844421090125e-07
8.901130565282641127e-01,7.503021949739619525e-07
8.903773136568284841e-01,8.984437748271734348e-07
8.906415707853927444e-01,1.074469688921997473e-06
8.909058279139570047e-01,1.283353399800235550e-06
8.911700850425212650e-01,1.530902225088670534e-06
8.914343421710855253e-01,1.823887298391113759e-06
8.916985992996498966e-01,2.170192049316677085e-06
8.919628564282141570e-01,2.578981551115688915e-06
8.922271135567784173e-01,3.060895334694446746e-06
8.924913706853426776e-01,3.628266540711688748e-06
8.927556278139069379e-01,4.295370571577583788e-06
8.930198849424713092e-01,5.078706718875114829e-06
8.932841420710355695e-01,5.997316573358446590e-06
8.935483991995998299e-01,7.073143381447489003e-06
8.938126563281640902e-01,8.331436883141085659e-06
8.940769134567283505e-01,9.801208563103848043e-06
8.943411705852927218e-01,1.151574265820243248e-05
8.946054277138569821e-01,1.351316869362406793e-05
8.948696848424212424e-01,1.583710176585317807e-05
8.951339419709855028e-01,1.853735724661742591e-05
8.953981990995497631e-01,2.167074704839122703e-05
8.956624562281141344e-01,2.530196506551618608e-05
8.959267133566783947e-01,2.950456987502181327e-05
8.961909704852426550e-01,3.436207325465124023e-05
8.964552276138069153e-01,3.996914353003311733e-05
8.967194847423711757e-01,4.643293320918395886e-05
8.969837418709355470e-01,5.387454077839249060e-05
8.972479989994998073e-01,6.243061691802997699e-05
8.975122561280640676e-01,7.225512574180470980e-05
8.977765132566283279e-01,8.352127194984904893e-05
8.980407703851925882e-01,9.642360501444514052e-05
8.983050275137569596e-01,1.111803116647269745e-04
8.985692846423212199e-01,1.280357079999960900e-04
8.988335417708854802e-01,1.472629425165239479e-04
8.990977988994497405e-01,1.691669211759894099e-04
8.993620560280140008e-01,1.940874653500346432e-04
8.996263131565783722e-01,2.224027130383221691e-04
8.998905702851426325e-01,2.545327731522606602e-04
9.001548274137068928e-01,2.909436418765898530e-04
9.004190845422711531e-01,3.321513891410499348e-04
9.006833416708354134e-01,3.787266220458107677e-04
9.009475987993997848e-01,4.312992306699181761e-04
9.012118559279640451e-01,4.905634200340402767e-04
9.014761130565283054e-01,5.572830300814235688e-04
9.017403701850925657e-01,6.322971433634083649e-04
9.020046273136568260e-01,7.165259776686638826e-04
9.022688844422210863e-01,8.109770580992881278e-04
9.025331415707854577e-01,9.167516600782354974e-04
9.027973986993497180e-01,1.035051511460932791e-03
9.030616558279139783e-01,1.167185738324572107e-03
9.033259129564782386e-01,1.314578035125729639e-03
9.035901700850426099e-01,1.478774035759677962e-03
9.038544272136068702e-01,1.661448857637248810e-03
9.041186843421711306e-01,1.864414786236179246e-03
9.043829414707353909e-01,2.089629062704473524e-03
9.046471985992996512e-01,2.339201732029666438e-03
9.049114557278639115e-01,2.615403504066405021e-03
9.051757128564282828e-01,2.920673574382665061e-03
9.054399699849925431e-01,3.257627346485164697e-03
9.057042271135568035e-01,3.629063991574383013e-03
9.059684842421210638e-01,4.037973776608516467e-03
9.062327413706853241e-01,4.487545086199795467e-03
9.064969984992496954e-01,4.981171058785144670e-03
9.067612556278139557e-01,5.522455752684246426e-03
9.070255127563782160e-01,6.115219753165307762e-03
9.072897698849424764e-01,6.763505127549480044e-03
9.075540270135067367e-01,7.471579631808833444e-03
9.078182841420711080e-01,8.243940069111199351e-03
9.080825412706353683e-01,9.085314698444918804e-03
9.083467983991996286e-01,1.000066458990602272e-02
9.086110555277638889e-01,1.099518382251394970e-02
9.088753126563281493e-01,1.207429842066728987e-02
9.091395697848925206e-01,1.324366392659348003e-02
9.094038269134567809e-01,1.450916150849075950e-02
9.096680840420210412e-01,1.587689250757688339e-02
9.099323411705853015e-01,1.735317133197203376e-02
9.101965982991495618e-01,1.894451661136379444e-02
9.104608554277139332e-01,2.065764053370741302e-02
9.107251125562781935e-01,2.249943629386819827e-02
9.109893696848424538e-01,2.447696359412991282e-02
9.112536268134067141e-01,2.659743214781821324e-02
9.115178839419709744e-01,2.886818314998754881e-02
9.117821410705353458e-01,3.129666869306706178e-02
9.120463981990996061e-01,3.389042912054774509e-02
9.123106553276638664e-01,3.665706832815567723e-02
9.125749124562281267e-01,3.960422703931910926e-02
9.128391695847923870e-01,4.273955410010916306e-02
9.131034267133567583e-01,4.607067585795765474e-02
9.133676838419210187e-01,4.960516370824614302e-02
9.136319409704852790e-01,5.335049991315940487e-02
9.138961980990495393e-01,5.731404181770947265e-02
9.141604552276137996e-01,6.150298460852844651e-02
9.144247123561781709e-01,6.592432278151240388e-02
9.146889694847424312e-01,7.058481050454205874e-02
9.149532266133066916e-01,7.549092108108509946e-02
9.152174837418709519e-01,8.064880573911643868e-02
9.154817408704352122e-01,8.606425198745402960e-02
9.157459979989995835e-01,9.174264179781994877e-02
9.160102551275638438e-01,9.768890988559096600e-02
9.162745122561281041e-01,1.039075023750763993e-01
9.165387693846923645e-01,1.104023361458378177e-01
9.168030265132566248e-01,1.171767591651323159e-01
9.170672836418209961e-01,1.242335121175240642e-01
9.173315407703852564e-01,1.315746916460535931e-01
9.175957978989495167e-01,1.392017155199617440e-01
9.178600550275137770e-01,1.471152900414670894e-01
9.181243121560780374e-01,1.553153799987799510e-01
9.183885692846422977e-01,1.638011814639515618e-01
9.186528264132066690e-01,1.725710977225431153e-01
9.189170835417709293e-01,1.816227186073043620e-01
9.191813406703351896e-01,1.909528034903017757e-01
9.194455977988994499e-01,2.005572681669806623e-01
9.197098549274638213e-01,2.104311758420953082e-01
9.199741120560280816e-01,2.205687324009397987e-01
9.202383691845923419e-01,2.309632861205277166e-01
9.205026263131566022e-01,2.416073319440484868e-01
9.207668834417208625e-01,2.524925204088983577e-01
9.210311405702851228e-01,2.636096712836205613e-01
9.212953976988494942e-01,2.749487919328674201e-01
9.215596548274137545e-01,2.864991003921865120e-01
9.218239119559780148e-01,2.982490530966021569e-01
9.220881690845422751e-01,3.101863771686159121e-01
9.223524262131065354e-01,3.222981071333635428e-01
9.226166833416709068e-01,3.345706258910726705e-01
9.228809404702351671e-01,3.469897097404121555e-01
9.231451975987994274e-01,3.595405772112336140e-01
9.234094547273636877e-01,3.722079414315784263e-01
9.236737118559279480e-01,3.849760657226816707e-01
9.239379689844923194e-01,3.978288220867603475e-01
9.242022261130565797e-01,4.107497522263421352e-01
9.244664832416208400e-01,4.237221307110831114e-01
9.247307403701851003e-01,4.367290298882977040e-01
9.249949974987493606e-01,4.497533861176832293e-01
9.252592546273137319e-01,4.627780668984809442e-01
9.255235117558779923e-01,4.757859384491190946e-01
9.257877688844422526e-01,4.887599332953307396e-01
9.260520260130065129e-01,5.016831174224716250e-01
9.263162831415707732e-01,5.145387565519603523e-01
9.265805402701351445e-01,5.273103811097005211e-01
9.268447973986994048e-01,5.399818494663287671e-01
9.271090545272636652e-01,5.525374090450319020e-01
9.273733116558279255e-01,5.649617549118887139e-01
9.276375687843921858e-01,5.772400854866758246e-01
9.279018259129565571e-01,5.893581550378828027e-01
9.281660830415208174e-01,6.013023226544299549e-01
9.284303401700850777e-01,6.130595974179086083e-01
9.286945972986493381e-01,6.246176795323712394e-01
9.289588544272135984e-01,6.359649972040002375e-01
9.292231115557779697e-01,6.470907390993958508e-01
9.294873686843422300e-01,6.579848822486942250e-01
9.297516258129064903e-01,6.686382152978571636e-01
9.300158829414707506e-01,6.790423570524982688e-01
9.302801400700350110e-01,6.891897702937188619e-01
9.305443971985993823e-01,6.990737708836384234e-01
9.308086543271636426e-01,7.086885322146100341e-01
9.310729114557279029e-01,7.180290850911272837e-01
9.313371685842921632e-01,7.270913131665269757e-01
9.316014257128564235e-01,7.358719440879951668e-01
9.318656828414207949e-01,7.443685365322821879e-01
9.321299399699850552e-01,7.525794633410347600e-01
9.323941970985493155e-01,7.605038909885100118e-01
9.326584542271135758e-01,7.681417556352506670e-01
9.329227113556778361e-01,7.754937360393679979e-01
9.331869684842422075e-01,7.825612236118887344e-01
9.334512256128064678e-01,7.893462899143840472e-01
9.337154827413707281e-01,7.958516519057985406e-01
9.339797398699349884e-01,8.020806352508307313e-01
9.342439969984992487e-01,8.080371360048190787e-01
9.345082541270635090e-01,8.137255809896012382e-01
9.347725112556278804e-01,8.191508871715783568e-01
9.350367683841921407e-01,8.243184203472929683e-01
9.353010255127564010e-01,8.292339534334800533e-01
9.355652826413206613e-01,8.339036246477959935e-01
9.358295397698850326e-01,8.383338958537548402e-01
9.360937968984492930e-01,8.425315113287544788e-01
9.363580540270135533e-01,8.465034571979329625e-01
9.366223111555778136e-01,8.502569217589784900e-01
9.368865682841420739e-01,8.537992569044220437e-01
9.371508254127063342e-01,8.571379408283924528e-01
9.374150825412707055e-01,8.602805421846927425e-01
9.376793396698349659e-01,8.632346858425510305e-01
9.379435967983992262e-01,8.660080203657782860e-01
9.382078539269634865e-01,8.686081873204565262e-01
9.384721110555278578e-01,8.710427924960360002e-01
9.387363681840921181e-01,8.733193791048763366e-01
9.390006253126563784e-01,8.754454030061256109e-01
9.392648824412206388e-01,8.774282099814163516e-01
9.395291395697848991e-01,8.792750150724726321e-01
9.397933966983491594e-01,8.809928839742997564e-01
9.400576538269135307e-01,8.825887164624162118e-01
9.403219109554777910e-01,8.840692318185625620e-01
9.405861680840420513e-01,8.854409562066198891e-01
9.408504252126063117e-01,8.867102119390409820e-01
9.411146823411705720e-01,8.878831085640699339e-01
9.413789394697349433e-01,8.889655356953037879e-01
9.416431965982992036e-01,8.899631574977898696e-01
9.419074537268634639e-01,8.908814087388052805e-01
9.421717108554277242e-01,8.917254923066718630e-01
9.424359679839919846e-01,8.925003780974287704e-01
