#wavelength,transmission
1.000634999999999941e+00,2.589167599999999991e-13
1.000716500000000009e+00,2.820414199999999996e-13
1.000797900000000018e+00,3.071961099999999997e-13
1.000879300000000027e+00,3.345132200000000063e-13
1.000960700000000037e+00,3.642575299999999826e-13
1.001042100000000046e+00,3.965614500000000076e-13
1.001123599999999891e+00,4.317338799999999771e-13
1.001204999999999901e+00,4.699072200000000350e-13
1.001286399999999910e+00,5.113903900000000484e-13
1.001367799999999919e+00,5.564923099999999851e-13
1.001449299999999987e+00,6.054336200000000057e-13
1.001530699999999996e+00,6.586115100000000010e-13
1.001612100000000005e+00,7.164231599999999771e-13
1.001693500000000014e+00,7.791333600000000344e-13
1.001775000000000082e+00,8.472275400000000297e-13
1.001856400000000091e+00,9.211911500000000940e-13
1.001937800000000101e+00,1.001421399999999988e-12
1.002019200000000110e+00,1.088536000000000038e-12
1.002100599999999897e+00,1.183064700000000097e-12
1.002182099999999965e+00,1.285625199999999901e-12
1.002263499999999974e+00,1.396923699999999984e-12
1.002344899999999983e+00,1.517577900000000082e-12
1.002426299999999992e+00,1.648470500000000029e-12
1.002507800000000060e+00,1.790440100000000050e-12
1.002589200000000069e+00,1.944324999999999998e-12
1.002670600000000078e+00,2.111184400000000013e-12
1.002752000000000088e+00,2.292077499999999833e-12
1.002833499999999933e+00,2.488107500000000160e-12
1.002914899999999943e+00,2.700510199999999884e-12
1.002996299999999952e+00,2.930653499999999837e-12
1.003077699999999961e+00,3.180037999999999904e-12
1.003159099999999970e+00,3.450164000000000201e-12
1.003240600000000038e+00,3.742708600000000316e-12
1.003322000000000047e+00,4.059525299999999882e-12
1.003403400000000056e+00,4.402599999999999840e-12
1.003484800000000066e+00,4.774006700000000287e-12
1.003566299999999911e+00,5.176040399999999651e-12
1.003647699999999920e+00,5.611172400000000386e-12
1.003729099999999930e+00,6.082094599999999815e-12
1.003810499999999939e+00,6.591631499999999912e-12
1.003892000000000007e+00,7.142916299999999905e-12
1.003973400000000016e+00,7.739258999999999305e-12
1.004054800000000025e+00,8.384278100000000413e-12
1.004136200000000034e+00,9.081813200000000689e-12
1.004217600000000044e+00,9.836100799999999717e-12
1.004299099999999889e+00,1.065159800000000003e-11
1.004380499999999898e+00,1.153311499999999957e-11
1.004461899999999908e+00,1.248599300000000072e-11
1.004543299999999917e+00,1.351574600000000056e-11
1.004624799999999984e+00,1.462846599999999867e-11
1.004706199999999994e+00,1.583068399999999923e-11
1.004787600000000003e+00,1.712937199999999928e-11
1.004869000000000012e+00,1.853216499999999892e-11
1.004950500000000080e+00,2.004713900000000078e-11
1.005031900000000089e+00,2.168303199999999868e-11
1.005113300000000098e+00,2.344928799999999979e-11
1.005194700000000108e+00,2.535605799999999935e-11
1.005276199999999953e+00,2.741419700000000155e-11
1.005357599999999962e+00,2.963540000000000113e-11
1.005438999999999972e+00,3.203228800000000068e-11
1.005520399999999981e+00,3.461841099999999948e-11
1.005601799999999990e+00,3.740833100000000260e-11
1.005683300000000058e+00,4.041767000000000018e-11
1.005764700000000067e+00,4.366324199999999838e-11
1.005846100000000076e+00,4.716314199999999965e-11
1.005927500000000085e+00,5.093678700000000058e-11
1.006008999999999931e+00,5.500500599999999860e-11
1.006090399999999940e+00,5.939012999999999869e-11
1.006171799999999950e+00,6.411638699999999584e-11
1.006253199999999959e+00,6.920937300000000574e-11
1.006334700000000026e+00,7.469702199999999784e-11
1.006416100000000036e+00,8.060894799999999375e-11
1.006497500000000045e+00,8.697723199999999808e-11
1.006578900000000054e+00,9.383598900000000054e-11
1.006660300000000063e+00,1.012221100000000036e-10
1.006741799999999909e+00,1.091750100000000062e-10
1.006823199999999918e+00,1.177369999999999988e-10
1.006904599999999927e+00,1.269534999999999897e-10
1.006985999999999937e+00,1.368731900000000076e-10
1.007067500000000004e+00,1.475482600000000008e-10
1.007148900000000014e+00,1.590346400000000087e-10
1.007230300000000023e+00,1.713922999999999986e-10
1.007311700000000032e+00,1.846854999999999978e-10
1.007393200000000100e+00,1.989831600000000090e-10
1.007474600000000109e+00,2.143590699999999900e-10
1.007555999999999896e+00,2.308922299999999983e-10
1.007637399999999905e+00,2.486673299999999766e-10
1.007718799999999915e+00,2.677750899999999751e-10
1.007800299999999982e+00,2.883126199999999978e-10
1.007881699999999991e+00,3.103838699999999902e-10
1.007963100000000001e+00,3.341000600000000235e-10
1.008044500000000010e+00,3.595804400000000090e-10
1.008126000000000078e+00,3.869523600000000106e-10
1.008207400000000087e+00,4.163523599999999815e-10
1.008288800000000096e+00,4.479262600000000103e-10
1.008370200000000105e+00,4.818302799999999857e-10
1.008451699999999951e+00,5.182313199999999640e-10
1.008533099999999960e+00,5.573080199999999807e-10
1.008614499999999969e+00,5.992512600000000022e-10
1.008695899999999979e+00,6.442651800000000241e-10
1.008777400000000046e+00,6.925680000000000014e-10
1.008858800000000056e+00,7.443929299999999733e-10
1.008940200000000065e+00,7.999891499999999826e-10
1.009021600000000074e+00,8.596230599999999570e-10
