#wavelength,transmission
8.863500399999999502e-01,1.002732600000000012e-10
8.865112200000000442e-01,1.164572900000000037e-10
8.866724000000000272e-01,1.351826699999999955e-10
8.868335800000000102e-01,1.568367000000000060e-10
8.869947599999999932e-01,1.818641200000000060e-10
8.871559399999999762e-01,2.107748900000000048e-10
8.873171199999999592e-01,2.441537800000000155e-10
8.874783000000000532e-01,2.826706700000000036e-10
8.876394800000000362e-01,3.270925900000000135e-10
8.878006600000000192e-01,3.782974699999999758e-10
8.879618400000000022e-01,4.372894100000000048e-10
8.881230199999999853e-01,5.052162299999999963e-10
8.882841999999999683e-01,5.833893800000000181e-10
8.884453799999999513e-01,6.733061599999999798e-10
8.886065600000000453e-01,7.766755899999999488e-10
8.887677400000000283e-01,8.954465100000000087e-10
8.889289200000000113e-01,1.031840800000000075e-09
8.890901100000000445e-01,1.188389300000000054e-09
8.892512900000000275e-01,1.367974200000000080e-09
8.894124700000000106e-01,1.573874699999999911e-09
8.895736499999999936e-01,1.809820899999999937e-09
8.897348299999999766e-01,2.080052199999999945e-09
8.898960099999999596e-01,2.389384999999999809e-09
8.900571900000000536e-01,2.743287399999999942e-09
8.902183700000000366e-01,3.147964200000000051e-09
8.903795500000000196e-01,3.610452500000000049e-09
8.905407300000000026e-01,4.138728200000000084e-09
8.907019099999999856e-01,4.741826000000000330e-09
8.908630899999999686e-01,5.429974799999999892e-09
8.910242699999999516e-01,6.214748299999999736e-09
8.911854500000000456e-01,7.109234799999999737e-09
8.913466300000000286e-01,8.128226299999999402e-09
8.915078100000000116e-01,9.288431300000000360e-09
8.916689899999999946e-01,1.060871200000000008e-08
8.918301699999999776e-01,1.211035099999999997e-08
8.919913600000000109e-01,1.381734399999999939e-08
8.921525399999999939e-01,1.575673699999999896e-08
8.923137199999999769e-01,1.795898799999999837e-08
8.924748999999999599e-01,2.045838700000000123e-08
8.926360800000000539e-01,2.329350799999999868e-08
8.927972600000000369e-01,2.650772399999999957e-08
8.929584400000000199e-01,3.014977400000000272e-08
8.931196200000000029e-01,3.427439600000000023e-08
8.932807999999999859e-01,3.894303000000000299e-08
8.934419799999999690e-01,4.422459799999999820e-08
8.936031599999999520e-01,5.019637200000000108e-08
8.937643400000000460e-01,5.694493399999999687e-08
8.939255200000000290e-01,6.456724300000000639e-08
8.940867000000000120e-01,7.317181400000000194e-08
8.942478799999999950e-01,8.288002799999999404e-08
8.944090599999999780e-01,9.382757500000000497e-08
8.945702399999999610e-01,1.061660600000000051e-07
8.947314200000000550e-01,1.200647500000000031e-07
8.948926099999999773e-01,1.357125699999999943e-07
8.950537899999999603e-01,1.533202000000000099e-07
8.952149700000000543e-01,1.731224900000000106e-07
8.953761500000000373e-01,1.953810600000000003e-07
8.955373300000000203e-01,2.203872000000000109e-07
8.956985100000000033e-01,2.484650300000000245e-07
8.958596899999999863e-01,2.799749700000000143e-07
8.960208699999999693e-01,3.153176199999999896e-07
8.961820499999999523e-01,3.549379400000000189e-07
8.963432300000000463e-01,3.993299100000000074e-07
8.965044100000000293e-01,4.490415699999999805e-07
8.966655900000000123e-01,5.046805700000000461e-07
8.968267699999999953e-01,5.669203400000000127e-07
8.969879499999999783e-01,6.365066599999999809e-07
8.971491299999999613e-01,7.142650599999999766e-07
8.973103100000000554e-01,8.011087200000000203e-07
8.974714900000000384e-01,8.980472199999999986e-07
8.976326700000000214e-01,1.006196100000000038e-06
8.977938600000000546e-01,1.126787099999999956e-06
8.979550400000000376e-01,1.261179599999999999e-06
8.981162200000000206e-01,1.410873200000000100e-06
8.982774000000000036e-01,1.577520499999999968e-06
8.984385799999999866e-01,1.762942399999999953e-06
8.985997599999999697e-01,1.969143500000000165e-06
8.987609399999999527e-01,2.198329699999999936e-06
8.989221200000000467e-01,2.452926700000000135e-06
8.990833000000000297e-01,2.735600399999999874e-06
8.992444800000000127e-01,3.049279200000000114e-06
8.994056599999999957e-01,3.397177499999999968e-06
8.995668399999999787e-01,3.782821600000000021e-06
8.997280199999999617e-01,4.210077899999999599e-06
8.998891999999999447e-01,4.683183200000000370e-06
9.000503800000000387e-01,5.206777000000000276e-06
9.002115600000000217e-01,5.785937000000000335e-06
9.003727400000000047e-01,6.426217200000000121e-06
9.005339300000000380e-01,7.133688600000000138e-06
9.006951100000000210e-01,7.914983999999999163e-06
9.008562900000000040e-01,8.777344599999999805e-06
9.010174699999999870e-01,9.728672100000000566e-06
9.011786499999999700e-01,1.077758300000000011e-05
9.013398299999999530e-01,1.193346699999999990e-05
9.015010100000000470e-01,1.320655299999999966e-05
9.016621900000000300e-01,1.460797400000000028e-05
9.018233700000000130e-01,1.614983999999999851e-05
9.019845499999999960e-01,1.784531799999999928e-05
9.021457299999999790e-01,1.970871400000000153e-05
9.023069099999999620e-01,2.175556099999999884e-05
9.024680899999999451e-01,2.400271699999999959e-05
9.026292700000000391e-01,2.646846300000000124e-05
9.027904500000000221e-01,2.917261400000000082e-05
9.029516300000000051e-01,3.213663200000000080e-05
9.031128099999999881e-01,3.538375099999999752e-05
9.032739899999999711e-01,3.893910599999999764e-05
9.034351800000000043e-01,4.282987300000000083e-05
9.035963599999999873e-01,4.708541399999999981e-05
9.037575399999999703e-01,5.173743600000000221e-05
9.039187199999999534e-01,5.682015499999999876e-05
9.040799000000000474e-01,6.237047400000000419e-05
9.042410800000000304e-01,6.842816600000000359e-05
9.044022600000000134e-01,7.503606999999999595e-05
9.045634399999999964e-01,8.224030400000000365e-05
9.047246199999999794e-01,9.009047599999999508e-05
9.048857999999999624e-01,9.863992200000000423e-05
9.050469799999999454e-01,1.079459499999999960e-04
9.052081600000000394e-01,1.180700800000000051e-04
9.053693400000000224e-01,1.290783500000000107e-04
9.055305200000000054e-01,1.410415500000000049e-04
9.056916999999999884e-01,1.540355599999999967e-04
9.058528799999999714e-01,1.681416400000000058e-04
9.060140599999999544e-01,1.834467699999999912e-04
9.061752400000000485e-01,2.000439900000000105e-04
9.063364299999999707e-01,2.180327199999999984e-04
9.064976099999999537e-01,2.375192100000000017e-04
9.066587900000000477e-01,2.586168399999999828e-04
9.068199700000000307e-01,2.814466099999999769e-04
9.069811500000000137e-01,3.061374899999999935e-04
9.071423299999999967e-01,3.328269000000000236e-04
9.073035099999999797e-01,3.616611700000000175e-04
9.074646899999999627e-01,3.927959800000000237e-04
9.076258699999999457e-01,4.263968900000000232e-04
9.077870500000000398e-01,4.626397999999999882e-04
9.079482300000000228e-01,5.017115200000000445e-04
9.081094100000000058e-01,5.438103000000000338e-04
9.082705899999999888e-01,5.891463699999999583e-04
9.084317699999999718e-01,6.379425200000000485e-04
9.085929499999999548e-01,6.904347099999999515e-04
9.087541300000000488e-01,7.468726599999999521e-04
9.089153100000000318e-01,8.075204799999999728e-04
9.090764900000000148e-01,8.726572999999999839e-04
9.092376800000000481e-01,9.425779200000000083e-04
9.093988600000000311e-01,1.017593499999999967e-03
9.095600400000000141e-01,1.098032199999999939e-03
9.097212199999999971e-01,1.184239899999999998e-03
9.098823999999999801e-01,1.276580800000000088e-03
9.100435799999999631e-01,1.375438500000000048e-03
9.102047599999999461e-01,1.481216000000000043e-03
9.103659400000000401e-01,1.594337099999999958e-03
9.105271200000000231e-01,1.715247100000000073e-03
9.106883000000000061e-01,1.844412799999999974e-03
9.108494799999999891e-01,1.982324199999999786e-03
9.110106599999999721e-01,2.129494500000000175e-03
9.111718399999999551e-01,2.286461400000000185e-03
9.113330200000000492e-01,2.453787199999999877e-03
9.114942000000000322e-01,2.632060199999999937e-03
9.116553800000000152e-01,2.821894699999999943e-03
9.118165599999999982e-01,3.023932400000000145e-03
9.119777399999999812e-01,3.238842699999999828e-03
9.121389300000000144e-01,3.467323200000000088e-03
9.123001099999999974e-01,3.710100799999999869e-03
9.124612899999999804e-01,3.967932000000000403e-03
9.126224699999999634e-01,4.241603600000000245e-03
9.127836499999999464e-01,4.531933200000000210e-03
9.129448300000000405e-01,4.839769899999999715e-03
9.131060100000000235e-01,5.165994699999999946e-03
9.132671900000000065e-01,5.511520800000000060e-03
9.134283699999999895e-01,5.877294199999999989e-03
9.135895499999999725e-01,6.264294000000000112e-03
9.137507299999999555e-01,6.673532900000000122e-03
9.139119100000000495e-01,7.106057100000000293e-03
9.140730900000000325e-01,7.562946699999999883e-03
9.142342700000000155e-01,8.045315900000000672e-03
9.143954499999999985e-01,8.554312999999999154e-03
9.145566299999999815e-01,9.091120299999999946e-03
9.147178099999999645e-01,9.656954199999999780e-03
9.148789899999999475e-01,1.025306500000000044e-02
9.150401799999999808e-01,1.088073600000000023e-02
9.152013599999999638e-01,1.154128500000000009e-02
9.153625399999999468e-01,1.223606099999999947e-02
9.155237200000000408e-01,1.296644800000000021e-02
9.156849000000000238e-01,1.373385799999999983e-02
9.158460800000000068e-01,1.453973700000000049e-02
9.160072599999999898e-01,1.538556100000000072e-02
9.161684399999999728e-01,1.627283300000000044e-02
9.163296199999999558e-01,1.720308699999999885e-02
9.164908000000000499e-01,1.817788199999999937e-02
9.166519800000000329e-01,1.919880499999999934e-02
9.168131600000000159e-01,2.026746499999999840e-02
9.169743399999999989e-01,2.138549600000000037e-02
9.171355199999999819e-01,2.255455199999999855e-02
9.172966999999999649e-01,2.377630799999999947e-02
9.174578799999999479e-01,2.505245600000000072e-02
