#wavelength,transmission
7.885000100000000289e-01,1.409452200000000006e-09
7.885914299999999821e-01,1.526752300000000036e-09
7.886828500000000464e-01,1.653536499999999980e-09
7.887742699999999996e-01,1.790548300000000063e-09
7.888656899999999528e-01,1.938586899999999862e-09
7.889571100000000170e-01,2.098512399999999963e-09
7.890485400000000205e-01,2.271249499999999830e-09
7.891399599999999737e-01,2.457792399999999988e-09
7.892313800000000379e-01,2.659209699999999865e-09
7.893227999999999911e-01,2.876650100000000019e-09
7.894142200000000553e-01,3.111347700000000108e-09
7.895056400000000085e-01,3.364628600000000166e-09
7.895970599999999617e-01,3.637917000000000063e-09
7.896884800000000260e-01,3.932742600000000216e-09
7.897798999999999792e-01,4.250748000000000219e-09
7.898713200000000434e-01,4.593696399999999647e-09
7.899627399999999966e-01,4.963480599999999682e-09
7.900541599999999498e-01,5.362131700000000098e-09
7.901455800000000140e-01,5.791829300000000031e-09
7.902369999999999672e-01,6.254911300000000273e-09
7.903284299999999707e-01,6.753885600000000387e-09
7.904198500000000349e-01,7.291441399999999826e-09
7.905112699999999881e-01,7.870462100000000393e-09
7.906026900000000524e-01,8.494038700000000582e-09
7.906941100000000056e-01,9.165484100000000142e-09
7.907855299999999588e-01,9.888348300000000782e-09
7.908769500000000230e-01,1.066643500000000071e-08
7.909683699999999762e-01,1.150381799999999986e-08
7.910597900000000404e-01,1.240486199999999992e-08
7.911512099999999936e-01,1.337423899999999960e-08
7.912426299999999468e-01,1.441695200000000057e-08
7.913340500000000111e-01,1.553835500000000057e-08
7.914254699999999643e-01,1.674417899999999841e-08
7.915168900000000285e-01,1.804055599999999996e-08
7.916083099999999817e-01,1.943404599999999863e-08
7.916997399999999852e-01,2.093166600000000116e-08
7.917911600000000494e-01,2.254092000000000078e-08
7.918825800000000026e-01,2.426983100000000066e-08
7.919739999999999558e-01,2.612697699999999892e-08
7.920654200000000200e-01,2.812152499999999942e-08
7.921568399999999732e-01,3.026327100000000142e-08
7.922482600000000375e-01,3.256268300000000002e-08
7.923396799999999907e-01,3.503094199999999920e-08
7.924311000000000549e-01,3.767999000000000070e-08
7.925225200000000081e-01,4.052257899999999976e-08
7.926139399999999613e-01,4.357232399999999873e-08
7.927053600000000255e-01,4.684375899999999840e-08
7.927967799999999787e-01,5.035239199999999906e-08
7.928882000000000430e-01,5.411477500000000290e-08
7.929796300000000464e-01,5.814856300000000307e-08
7.930710499999999996e-01,6.247259000000000130e-08
7.931624699999999528e-01,6.710694000000000070e-08
7.932538900000000170e-01,7.207302899999999890e-08
7.933453099999999703e-01,7.739368700000000085e-08
7.934367300000000345e-01,8.309324599999999403e-08
7.935281499999999877e-01,8.919763900000000311e-08
7.936195700000000519e-01,9.573449200000000016e-08
7.937109900000000051e-01,1.027332399999999946e-07
7.938024099999999583e-01,1.102252200000000000e-07
7.938938300000000226e-01,1.182438300000000019e-07
7.939852499999999758e-01,1.268245899999999941e-07
7.940766700000000400e-01,1.360053300000000118e-07
7.941680899999999932e-01,1.458263199999999944e-07
7.942595199999999966e-01,1.563303999999999928e-07
7.943509399999999498e-01,1.675631299999999981e-07
7.944423600000000141e-01,1.795729999999999894e-07
7.945337799999999673e-01,1.924115600000000080e-07
7.946252000000000315e-01,2.061336200000000093e-07
7.947166199999999847e-01,2.207974699999999994e-07
7.948080400000000489e-01,2.364650299999999965e-07
7.948994600000000021e-01,2.532021199999999785e-07
7.949908799999999554e-01,2.710786799999999923e-07
7.950823000000000196e-01,2.901689899999999993e-07
7.951737199999999728e-01,3.105519500000000176e-07
7.952651400000000370e-01,3.323113299999999963e-07
7.953565599999999902e-01,3.555360799999999872e-07
7.954479800000000544e-01,3.803206199999999795e-07
7.955394099999999469e-01,4.067651399999999816e-07
7.956308300000000111e-01,4.349759600000000039e-07
