#wavelength,transmission
8.171899900000000327e-01,5.574234600000000321e-10
8.172565499999999705e-01,5.916393999999999494e-10
8.173231199999999586e-01,6.278996499999999639e-10
8.173896800000000074e-01,6.663227699999999634e-10
8.174562399999999451e-01,7.070340299999999484e-10
8.175228100000000442e-01,7.501657600000000397e-10
8.175893699999999820e-01,7.958577600000000304e-10
8.176559300000000308e-01,8.442575499999999825e-10
8.177225000000000188e-01,8.955208100000000154e-10
8.177890599999999566e-01,9.498121699999999999e-10
8.178556200000000054e-01,1.007305200000000030e-09
8.179221899999999934e-01,1.068183000000000053e-09
8.179887500000000422e-01,1.132639100000000054e-09
8.180553099999999800e-01,1.200877599999999952e-09
8.181218799999999680e-01,1.273113799999999930e-09
8.181884400000000168e-01,1.349575000000000067e-09
8.182549999999999546e-01,1.430500699999999988e-09
8.183215700000000536e-01,1.516143999999999929e-09
8.183881299999999914e-01,1.606771599999999915e-09
8.184546900000000402e-01,1.702664700000000042e-09
8.185212600000000283e-01,1.804120100000000002e-09
8.185878199999999660e-01,1.911450400000000180e-09
8.186543800000000148e-01,2.024985699999999926e-09
8.187209500000000029e-01,2.145073599999999821e-09
8.187875100000000517e-01,2.272080800000000127e-09
8.188540699999999894e-01,2.406393599999999907e-09
8.189206399999999775e-01,2.548419199999999926e-09
8.189872000000000263e-01,2.698586900000000133e-09
8.190537599999999641e-01,2.857348999999999952e-09
8.191203299999999521e-01,3.025181999999999904e-09
8.191868900000000009e-01,3.202587899999999952e-09
8.192534500000000497e-01,3.390095599999999950e-09
8.193200200000000377e-01,3.588262300000000086e-09
8.193865799999999755e-01,3.797674700000000028e-09
8.194531400000000243e-01,4.018950700000000288e-09
8.195197100000000123e-01,4.252741300000000351e-09
8.195862699999999501e-01,4.499731500000000200e-09
8.196528299999999989e-01,4.760642799999999872e-09
8.197193999999999869e-01,5.036234599999999904e-09
8.197859600000000357e-01,5.327306300000000352e-09
8.198525199999999735e-01,5.634699399999999800e-09
8.199190899999999615e-01,5.959299500000000138e-09
8.199856500000000104e-01,6.302038399999999784e-09
8.200522099999999481e-01,6.663896600000000275e-09
8.201187800000000472e-01,7.045905799999999614e-09
8.201853399999999850e-01,7.449151299999999656e-09
8.202519000000000338e-01,7.874775000000000447e-09
8.203184700000000218e-01,8.323977400000000033e-09
8.203850299999999596e-01,8.798021600000000699e-09
8.204515900000000084e-01,9.298235600000000601e-09
8.205181599999999964e-01,9.826016099999999945e-09
8.205847200000000452e-01,1.038283100000000013e-08
8.206512799999999830e-01,1.097022500000000055e-08
8.207178400000000318e-01,1.158981900000000009e-08
8.207844100000000198e-01,1.224332000000000028e-08
8.208509699999999576e-01,1.293251999999999992e-08
8.209175300000000064e-01,1.365930300000000072e-08
8.209840999999999944e-01,1.442564799999999990e-08
8.210506600000000432e-01,1.523363499999999875e-08
8.211172199999999810e-01,1.608544899999999897e-08
8.211837899999999690e-01,1.698338500000000090e-08
8.212503500000000178e-01,1.792985399999999887e-08
8.213169099999999556e-01,1.892738899999999960e-08
8.213834800000000547e-01,1.997864699999999974e-08
8.214500399999999924e-01,2.108642199999999987e-08
8.215166000000000412e-01,2.225364500000000127e-08
8.215831700000000293e-01,2.348339499999999943e-08
8.216497299999999671e-01,2.477890100000000126e-08
8.217162900000000159e-01,2.614355700000000011e-08
8.217828600000000039e-01,2.758092000000000157e-08
8.218494200000000527e-01,2.909472799999999945e-08
8.219159799999999905e-01,3.068889900000000193e-08
8.219825499999999785e-01,3.236754700000000025e-08
8.220491100000000273e-01,3.413498700000000009e-08
8.221156699999999651e-01,3.599574500000000162e-08
8.221822399999999531e-01,3.795456999999999997e-08
8.222488000000000019e-01,4.001644200000000106e-08
8.223153600000000507e-01,4.218658199999999828e-08
8.223819300000000387e-01,4.447046900000000111e-08
8.224484899999999765e-01,4.687384400000000326e-08
8.225150500000000253e-01,4.940272800000000170e-08
