#wavelength,transmission
7.701650300000000282e-01,4.791794999999999995e-09
7.703032800000000346e-01,5.385297699999999685e-09
7.704415300000000411e-01,6.049988500000000051e-09
7.705797899999999867e-01,6.794112599999999818e-09
7.707180399999999931e-01,7.626834499999999591e-09
7.708563000000000498e-01,8.558335900000000801e-09
7.709945499999999452e-01,9.599923600000000397e-09
7.711328100000000019e-01,1.076414900000000081e-08
7.712710600000000083e-01,1.206493899999999959e-08
7.714093100000000147e-01,1.351774000000000051e-08
7.715475699999999604e-01,1.513967600000000119e-08
7.716858199999999668e-01,1.694972600000000157e-08
7.718240800000000235e-01,1.896891100000000073e-08
7.719623300000000299e-01,2.122050800000000056e-08
7.721005800000000363e-01,2.373027700000000036e-08
7.722388399999999820e-01,2.652671999999999998e-08
7.723770899999999884e-01,2.964135300000000055e-08
7.725153500000000450e-01,3.310901600000000068e-08
7.726536000000000515e-01,3.696820000000000144e-08
7.727918499999999469e-01,4.126142099999999989e-08
7.729301100000000035e-01,4.603560999999999753e-08
7.730683600000000100e-01,5.134255999999999729e-08
7.732066199999999556e-01,5.723939800000000169e-08
7.733448699999999620e-01,6.378911099999999533e-08
7.734831300000000187e-01,7.106111700000000439e-08
7.736213800000000251e-01,7.913188699999999719e-08
7.737596300000000316e-01,8.808563099999999695e-08
7.738978899999999772e-01,9.801503600000000605e-08
7.740361399999999836e-01,1.090220799999999942e-07
7.741744000000000403e-01,1.212189000000000029e-07
7.743126500000000467e-01,1.347288000000000040e-07
7.744509000000000531e-01,1.496872299999999962e-07
7.745891599999999988e-01,1.662429799999999954e-07
7.747274100000000052e-01,1.845594000000000002e-07
7.748656699999999509e-01,2.048157499999999922e-07
7.750039199999999573e-01,2.272086700000000006e-07
7.751421699999999637e-01,2.519537499999999740e-07
7.752804300000000204e-01,2.792873099999999910e-07
7.754186800000000268e-01,3.094682199999999796e-07
7.755569399999999725e-01,3.427799399999999970e-07
7.756951899999999789e-01,3.795327900000000203e-07
7.758334500000000356e-01,4.200662399999999947e-07
7.759717000000000420e-01,4.647515900000000263e-07
7.761099500000000484e-01,5.139947000000000147e-07
7.762482099999999940e-01,5.682390900000000456e-07
7.763864600000000005e-01,6.279691400000000345e-07
7.765247199999999461e-01,6.937137099999999942e-07
7.766629699999999525e-01,7.660499199999999817e-07
7.768012199999999590e-01,8.456073000000000125e-07
7.769394800000000156e-01,9.330722500000000389e-07
7.770777300000000221e-01,1.029192899999999898e-06
7.772159899999999677e-01,1.134784100000000051e-06
7.773542399999999741e-01,1.250733300000000036e-06
7.774924899999999806e-01,1.378006599999999991e-06
7.776307500000000372e-01,1.517654599999999945e-06
7.777690000000000436e-01,1.670820400000000050e-06
7.779072599999999893e-01,1.838746199999999951e-06
7.780455099999999957e-01,2.022781799999999977e-06
7.781837700000000524e-01,2.224393300000000088e-06
7.783220199999999478e-01,2.445172199999999852e-06
7.784602699999999542e-01,2.686845500000000142e-06
7.785985300000000109e-01,2.951286399999999811e-06
7.787367800000000173e-01,3.240525800000000137e-06
7.788750399999999630e-01,3.556764599999999892e-06
7.790132899999999694e-01,3.902386899999999600e-06
