groov_density,resolution,alpha,dimension,wavemin,wavemax,wavecenter
Z4000,368,4000,10.3,32.801,0.8107,0.9967,0.8989
Y4000,319,4000,10.3,32.801,0.9330,1.1510,1.0362
J4000,264,4000,10.3,32.801,1.1350,1.3890,1.2555
H4000,203,4000,10.3,32.801,1.4740,1.8000,1.6288
K4000,151,4000,10.3,32.801,1.9750,2.4120,2.1825
HK4000,170,4000,10.3,32.801,1.5720,2.4120,1.9472
YJ4000,297,4000,10.3,32.801,0.9250,1.3400,1.1133
Z8000,751,8000,21.46,43.96,0.8107,0.9967,0.8989
Y8000,652,8000,21.46,43.96,0.9330,1.1510,1.0362
J8000,537,8000,21.46,43.96,1.1350,1.3890,1.2584
H8000,415,8000,21.46,43.96,1.4740,1.8000,1.6288
K8000,305,8000,21.46,43.96,1.9750,2.4120,2.2161
Z10000,937,10000,27.12,49.62,0.8107,0.9967,0.8989
Y10000,813,10000,27.12,49.62,0.9330,1.1510,1.0362
J10000,671,10000,27.12,49.62,1.1350,1.3890,1.2555
H10000,517,10000,27.12,49.62,1.4740,1.8000,1.6288
K10000,386,10000,27.12,49.62,1.9750,2.4120,2.1825
