# Creation date:  11.06.2004
# Author:         Pascal Ballester, ESO/DMD
# Description:    Calibrated intensities of emission sky lines     
#                 in the wavelength domain 0.3-2.6 microns
#
# Table of sky emission lines in the range 0.3-2.5 um.
#
# Concerning the optical lines (in this file: lambda < 0.92 microns)
#------------------------------------------------------------------------ 
# Source: the UVES Sky Emission Atlas (Hanuschik, 2003, A&A, 407,
# 1157)
#
# Concerning the OH lines (in this file: lambda > 0.92 microns)
#--------------------------------------------------------------------
# This file contains most of the OH lines appearing in the sky.
# All the lines belonging to the sequence Delta V=2 to 5, up
# to V'=9 are included. All the levels with the rotational quantum 
# number J equal or inferior to 16.5 have been considered.
# 
# These data have been computed by Philippe Rousselot (Observatory of
# Besancon, France). The calculations are based on the energy levels
# published by Abrams et al. (1994, ApJS, 93, 351) and on the
# transition probabilities published by Mies (1974, J. of Mol. Spec.,
# 53, 150). The upper relative populations have been computed by
# assuming a Boltzmann distribution with a rotational temperature
# equal to 190 K and a vibrational temperature equal to 9000 K. These
# values are approximates and the resulting relative intensities
# should be regarded as indicative. The accuracy of the wavelengths is
# of the order of a few hundredth of Angstroems.
# 
# If you have any questions or comments concerning this list you
# can send an E-mail to philippe@obs-besancon.fr.
#
# If you use this list for your work and puslish it, please refer to:
# Rousselot et al. (2000, A&A, 354, 1134).
#
# Concerning the merged data
#---------------------------
# The OH lines table, initially in relative units proportional to the
# flux of photons, has been scaled to match the UVES spectrum (in units
# of 1e-16*ergs/cm2/s/arcsec2) in the region 0.7-1.0 microns. 
#
# For this purpose, the OH lines intensities have been divided by the
# wavelength to bring them in units relatives to the UVES ones, then
# scaled to obtain a good agreement in the region 0.7-1.0 micron.
#
# Then the values have been converted from 1e-16 ergs/cm2/s/arcsec2
# to photons/s/m2/arcsec2 by multiplying by 1e-16 * 1e-3, then 
# dividing by the photon energy in Joules (1.985e-19/lambda [microns]).  
# (calculations done on the table all-sky-emission.tbl) 
#
#
# Wavelength [um]  Flux [photons/m2/s/arcsec2]
   0.314268   0.01896211
   0.314338   0.01097508
   0.314368   0.02276611
   0.314409   0.03128475
   0.314551   0.03129217
   0.314592   0.01655471
   0.314721   0.00601060
   0.314779   0.02655403
   0.314799   0.01009113
   0.314820   0.01696066
   0.315049   0.02706405
   0.315070   0.01070202
   0.315091   0.02069797
   0.315366   0.02135489
   0.315384   0.00812981
   0.315408   0.01852909
   0.316405   0.00808697
   0.316961   0.01285775
   0.317166   0.01208305
   0.320948   0.01520015
   0.320977   0.04461650
   0.321076   0.00913273
   0.321175   0.02281487
   0.321198   0.01000335
   0.321218   0.02121390
   0.321360   0.01830242
   0.321381   0.00895617
   0.321403   0.01438727
   0.321588   0.01638758
   0.321608   0.00922093
   0.321631   0.01596354
   0.321857   0.01033707
   0.321864   0.00743941
   0.321879   0.00590733
   0.321903   0.01436756
   0.322172   0.00871219
   0.322189   0.01862710
   0.322220   0.01561369
   0.322987   0.00752610
   0.323630   0.00525022
   0.323650   0.00579299
   0.323882   0.00628942
   0.325851   0.00790316
   0.325873   0.00496032
   0.325887   0.00951785
   0.326035   0.00362125
   0.326052   0.00963235
   0.326097   0.00414757
   0.326227   0.00831534
   0.326247   0.00587325
   0.326270   0.01546337
   0.326497   0.00958862
   0.326516   0.01117569
   0.326538   0.00940931
   0.326707   0.00733653
   0.326862   0.01330782
   0.327189   0.03453730
   0.327612   0.01189457
   0.327633   0.01242127
   0.328088   0.00459125
   0.328100   0.00245842
   0.328114   0.01210202
   0.328140   0.01687382
   0.328160   0.00610716
   0.328180   0.00276412
   0.328575   0.01050909
   0.328670   0.01171658
   0.328694   0.00393285
   0.328717   0.00558762
   0.328858   0.00737791
   0.328882   0.00506977
   0.328903   0.00631020
   0.329088   0.00679418
   0.329284   0.00322560
   0.329313   0.00728988
   0.329524   0.01986375
   0.329546   0.01046381
   0.329566   0.01487530
   0.329719   0.02123390
   0.329763   0.02079090
   0.329961   0.01665328
   0.330006   0.01669384
   0.330252   0.03381499
   0.330270   0.00869252
   0.330296   0.01282633
   0.330586   0.01194320
   0.330608   0.00694322
   0.330634   0.01149561
   0.330968   0.00701492
   0.330992   0.00583624
   0.331016   0.01512789
   0.331042   0.00747678
   0.331086   0.00485337
   0.331144   0.00397291
   0.331308   0.00479841
   0.331329   0.01328137
   0.331400   0.00740103
   0.331412   0.00582339
   0.331909   0.01312868
   0.332385   0.01248156
   0.332653   0.00780834
   0.332814   0.00933145
   0.332881   0.00296222
   0.333015   0.00579008
   0.333061   0.01088388
   0.333315   0.00576006
   0.333482   0.00521939
   0.333589   0.00521169
   0.336850   0.01062750
   0.336890   0.01734874
   0.336906   0.01063904
   0.336946   0.01215802
   0.337011   0.01752951
   0.337035   0.00656927
   0.337057   0.01443677
   0.337207   0.01845855
   0.337234   0.01156193
   0.337254   0.01397831
   0.337319   0.00828002
   0.337359   0.00624578
   0.337451   0.02123819
   0.337475   0.00503490
   0.337497   0.01638289
   0.337594   0.01084257
   0.337639   0.01366645
   0.337741   0.01241161
   0.337747   0.01022046
   0.337761   0.00906559
   0.337790   0.01529139
   0.337800   0.00491452
   0.337975   0.00661376
   0.338075   0.00248782
   0.338086   0.00734502
   0.338099   0.00494617
   0.338126   0.01381074
   0.338170   0.00730966
   0.338185   0.00443746
   0.338377   0.00519264
   0.338459   0.00634199
   0.338474   0.00042648
   0.338512   0.00980866
   0.338546   0.00808592
   0.342033   0.00840731
   0.342081   0.00858276
   0.342320   0.00702268
   0.342369   0.00752220
   0.343062   0.00735606
   0.343111   0.00649931
   0.343459   0.00534314
   0.343532   0.00701924
   0.343566   0.02570901
   0.344985   0.00692526
   0.345067   0.00433494
   0.345129   0.00822779
   0.345152   0.00643688
   0.345171   0.01004944
   0.345274   0.01377416
   0.345300   0.00471171
   0.345324   0.00931699
   0.345447   0.01131840
   0.345473   0.00808575
   0.345496   0.00673170
   0.345522   0.00868878
   0.345609   0.00331742
   0.345697   0.00506404
   0.345717   0.01417221
   0.345741   0.00733897
   0.345768   0.00927039
   0.346010   0.01756408
   0.346034   0.00729811
   0.346061   0.00840818
   0.346404   0.00810798
   0.347796   0.00549477
   0.347827   0.00845704
   0.347874   0.00873685
   0.347903   0.00948389
   0.347936   0.00959722
   0.347961   0.01006457
   0.347996   0.00434351
   0.348016   0.00925952
   0.348040   0.00589160
   0.348058   0.00540483
   0.348075   0.00768999
